CARD.,DECK.,BALLOT.,,Q.1.,Q.2.,Q.3.,Q.4A.,Q.4B.,Q.5A.,Q.5B.,Q.6A.,Q.6B.,Q.7A.,Q.7B.,Q.8A.,Q.8B.,Q.9A.,Q.9B.,Q.10A.,Q.10B.,Q.11A.,Q.11B.,Q.12A.,Q.12B.,Q.13A.,Q.13B.,Q.14A.,Q.14B.,Q.15A.,Q.15B.,Q.16A.,Q.16B.,Q.17A.,Q.17B.,Q.18A.,Q.18B.,Q.19A.,Q.19B.,Q.20A.,Q.20B.,Q.21A.,Q.21B.,Q.22A.,Q.22B.,Q.23A.,Q.23B.,Q.24A.,Q.24B.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40A.,Q.40B.,Q.41A.,Q.41B.,Q.42A.,Q.42B.,Q.43A.,Q.43B.,Q.44A.,Q.44B.,Q.45A.,Q.45B.,CARD..1,DECK..1,BALLOT..1,NA.1,Q.46A.,Q.46B.,Q.47A.,Q.47B.,V.49A.,V.49B.,V.50A.,V.50B.,V.51A.,V.51B.,V.52.
1,195,11,2,3,4,8,2,1,2,1,2,3,1,1,2,1,2,2,3,1,2,1,3,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,5,5,4,4,3,3,4,3,4,5,4,4,4,4,3,4,1,4,2,2,1,2,1,1,2,1,3,2,195,11,2,3,1,2,1,7,0,4,7,4,4,1
1,195,12,2,3,3,6,2,1,2,1,2,3,3,3,3,2,3,1,3,1,2,1,3,1,1,1,2,1,2,1,1,1,2,1,2,1,1,1,0,0,2,2,2,1,1,3,1,2,5,4,4,3,2,4,3,2,3,4,2,4,4,2,3,4,1,3,1,2,1,2,1,3,1,1,3,2,195,12,2,3,1,3,3,3,6,3,6,6,6,1
1,195,13,2,2,5,1,2,1,1,1,3,3,1,1,2,1,3,1,3,1,2,1,3,1,1,1,2,1,2,1,1,1,2,1,2,1,0,0,0,0,0,0,2,1,2,1,1,1,1,1,3,2,2,2,2,4,2,4,2,2,4,3,2,4,3,3,3,2,1,2,3,1,3,1,3,2,195,13,2,3,2,2,1,0,7,3,8,5,1,1
1,195,14,2,1,2,7,3,1,3,1,3,3,2,2,2,1,4,1,4,1,1,1,5,1,2,1,1,2,2,1,2,2,2,1,2,1,2,2,1,2,1,2,2,2,1,2,1,1,5,2,4,4,3,3,3,1,3,5,4,3,4,4,3,4,1,3,1,2,1,2,1,1,1,1,1,2,195,14,2,3,1,2,1,3,4,1,7,5,7,1
1,195,15,2,2,4,3,2,1,2,1,4,1,1,1,2,1,3,1,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,5,1,1,1,1,1,4,4,1,3,1,2,2,2,1,1,1,2,1,1,1,1,1,1,3,2,2,195,15,2,2,2,3,2,0,0,2,9,0,4,2
1,195,16,2,1,5,4,2,1,3,1,4,1,1,1,2,1,1,1,4,1,2,1,5,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,4,5,2,3,3,3,2,4,4,5,2,3,4,2,2,1,3,0,0,2,3,0,0,0,0,0,0,2,195,16,2,0,0,2,3,5,9,2,9,1,0,1
1,195,17,2,1,5,3,3,1,3,1,5,1,3,0,3,0,4,1,5,1,3,0,4,1,1,0,1,1,2,1,1,1,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,4,5,0,2,3,3,2,5,2,2,2,1,2,1,1,4,1,0,0,2,1,0,0,0,0,0,0,2,195,17,2,0,0,1,0,2,3,0,6,2,2,1
1,195,18,2,2,4,6,3,1,2,1,5,1,1,1,2,1,4,1,4,1,3,1,5,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,4,4,3,2,2,3,3,4,3,3,2,2,3,2,2,4,1,0,1,2,1,2,1,1,1,1,1,2,195,18,2,4,1,2,1,6,0,1,9,3,7,1
1,195,19,2,3,2,3,1,2,1,1,1,1,3,2,2,1,1,1,3,1,2,2,3,1,1,1,2,1,2,1,1,2,2,1,2,1,1,3,1,2,1,1,2,1,1,1,2,1,4,4,2,3,3,4,2,4,2,3,2,3,4,2,2,3,2,4,3,2,1,1,3,1,1,4,2,2,195,19,2,4,3,2,2,4,8,6,6,2,2,2
1,195,20,2,3,3,6,3,1,3,1,5,1,1,1,2,1,4,1,4,1,2,1,5,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1,0,0,0,0,2,1,2,1,0,1,5,5,5,4,3,3,5,2,3,4,3,3,4,4,3,4,1,2,1,2,1,2,1,0,0,0,0,2,195,20,2,4,1,2,1,0,8,1,9,3,5,1
1,195,21,2,2,4,5,3,1,3,1,5,1,1,1,2,1,4,1,4,1,1,1,5,1,2,2,1,2,1,2,2,1,2,1,2,1,1,1,2,1,2,1,2,1,1,1,2,2,5,1,5,4,1,3,5,4,4,4,4,4,4,4,3,2,2,2,1,2,2,3,3,1,3,1,3,2,195,21,2,2,2,3,2,6,7,0,9,1,1,2
1,195,22,2,1,3,5,1,2,3,1,3,1,2,1,2,1,2,1,3,1,2,1,3,1,2,1,1,1,2,1,2,1,2,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,5,4,5,4,3,3,4,2,4,5,4,2,4,5,3,4,1,3,1,2,1,1,2,1,1,3,2,2,195,22,2,4,1,3,1,5,0,5,8,3,5,1
1,195,23,2,3,3,4,2,2,3,1,3,1,1,1,2,1,3,1,4,1,1,1,5,1,1,1,2,1,2,1,1,1,2,1,2,1,2,1,1,1,2,1,2,1,1,3,1,1,5,4,4,3,3,3,4,2,4,5,3,4,5,3,3,4,1,3,3,2,1,2,2,1,3,0,3,2,195,23,2,4,3,3,3,3,9,0,8,4,2,1
1,195,24,2,1,5,6,3,1,3,1,3,1,1,1,2,1,4,1,4,1,1,1,5,1,1,2,2,1,2,1,2,1,2,1,2,1,2,1,1,1,1,1,2,1,2,1,1,1,5,4,4,4,3,3,4,2,4,5,3,4,5,3,3,4,3,3,1,2,1,0,0,0,0,0,0,2,195,24,2,4,2,2,1,1,0,0,9,3,2,2
1,195,25,2,1,5,7,3,1,3,1,5,1,1,1,2,1,4,1,4,1,1,1,5,1,2,1,2,3,2,3,2,1,2,1,2,1,2,1,2,3,2,1,2,1,2,1,2,3,2,4,2,2,3,3,2,3,2,2,2,2,2,2,2,4,1,3,1,2,1,2,1,1,3,1,2,2,195,25,2,3,1,2,1,2,6,0,9,5,5,1
1,195,26,2,1,3,7,3,1,3,1,1,1,2,1,2,1,4,1,4,1,1,1,5,1,3,1,2,1,2,1,1,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,1,1,5,1,4,4,3,3,4,2,4,5,4,4,4,4,3,4,1,3,2,2,1,2,1,1,2,4,2,2,195,26,2,3,1,2,1,0,0,2,9,6,4,1
1,195,27,2,3,3,8,1,1,3,1,1,1,2,1,2,1,1,1,3,1,2,1,3,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,0,0,1,1,2,1,1,3,0,0,5,3,4,2,3,4,4,1,3,5,3,5,4,5,3,4,1,4,1,2,1,2,1,3,1,4,1,2,195,27,2,3,1,2,1,1,7,6,9,6,7,2
1,195,28,2,2,3,7,3,1,3,1,5,1,1,1,2,1,3,1,4,1,1,1,5,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,5,4,5,4,3,3,2,5,2,2,2,2,2,2,1,3,3,1,1,2,1,2,2,3,3,4,3,2,195,28,2,3,2,2,3,9,8,0,9,5,2,2
1,195,29,2,3,5,6,2,1,1,1,2,2,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,5,3,2,2,1,1,4,3,3,1,1,2,2,1,4,1,4,1,2,1,2,1,1,2,1,2,2,195,29,2,3,1,4,3,9,0,5,8,4,5,1
1,195,30,2,3,3,7,1,2,2,1,2,2,2,2,1,3,1,1,1,1,2,1,2,1,1,2,1,1,1,2,1,2,1,2,1,2,1,1,0,0,1,2,1,2,1,2,0,0,2,4,4,2,3,1,3,4,3,3,2,2,3,5,2,4,1,3,1,2,1,2,1,1,1,4,1,2,195,30,2,4,2,2,1,7,2,8,5,5,6,2
1,195,31,2,3,3,7,2,1,1,2,2,2,1,1,2,1,1,1,2,1,2,1,1,1,1,2,2,1,2,1,1,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,4,4,3,2,2,2,4,4,3,4,3,2,3,3,2,4,1,3,1,2,1,2,1,1,3,2,3,2,195,31,2,3,2,3,1,2,9,4,7,5,4,2
1,195,32,2,1,4,8,2,2,1,1,2,2,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,2,1,3,2,1,1,3,2,2,1,2,1,2,2,1,1,2,1,1,2,1,2,4,3,2,2,1,3,3,2,3,2,3,4,3,3,4,2,3,1,2,1,2,1,1,3,1,3,2,195,32,2,3,1,3,1,9,3,5,6,5,4,2
1,195,33,2,3,4,7,1,1,1,1,1,1,3,3,1,1,1,1,2,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,2,1,1,2,1,2,2,1,1,1,1,2,2,4,2,2,2,2,2,5,2,2,2,2,2,3,2,4,2,3,1,2,1,2,2,3,2,3,3,2,195,33,2,3,1,2,2,2,7,7,8,6,3,2
1,195,34,2,3,2,4,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,4,2,2,3,4,2,1,3,4,3,2,2,3,3,4,1,3,1,2,1,2,1,3,1,1,3,2,195,34,2,3,2,3,2,5,0,8,9,6,5,1
1,195,35,2,3,3,7,1,1,1,1,1,1,1,2,3,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,2,1,1,1,2,2,2,1,2,4,1,1,1,1,1,5,1,1,1,2,1,1,1,4,1,3,1,2,1,2,1,3,1,0,0,2,195,35,2,3,1,2,1,7,9,7,8,6,6,2
1,195,36,2,3,3,7,1,1,1,1,1,1,2,1,3,3,2,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,1,2,2,2,1,4,3,4,3,2,2,2,1,1,2,0,0,2,195,36,2,3,2,3,2,1,4,8,8,4,1,2
1,195,37,2,3,3,6,1,1,1,1,1,1,3,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1,2,1,1,3,2,2,2,1,1,1,2,3,1,4,2,2,2,2,2,5,2,2,2,2,2,2,1,4,1,2,2,2,2,2,1,1,3,1,3,2,195,37,2,4,2,0,0,5,7,7,7,3,2,1
1,195,38,2,2,5,4,1,2,2,2,3,3,2,3,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,1,1,1,2,1,2,1,2,1,1,1,1,1,2,1,1,1,2,1,5,4,4,3,3,2,3,2,2,4,3,2,3,3,2,4,2,0,0,0,0,0,0,0,0,0,0,2,195,38,2,3,1,0,0,4,0,7,4,2,1,1
1,195,39,2,1,5,5,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,2,1,2,1,2,1,1,1,2,1,2,2,2,1,2,1,2,1,2,2,4,1,1,2,1,1,4,2,2,2,1,2,2,1,4,2,3,2,2,2,2,2,1,3,1,3,2,195,39,2,3,3,3,2,9,1,8,9,5,0,1
1,195,40,2,3,3,6,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,5,4,4,3,3,3,3,2,3,4,3,5,3,3,2,4,1,3,2,2,1,2,1,1,1,3,3,2,195,40,2,3,1,2,1,9,0,9,9,5,5,2
1,195,41,2,3,5,5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1,2,1,1,5,1,1,1,1,1,4,2,5,2,2,2,4,1,4,1,3,3,2,1,2,1,2,3,1,3,2,195,41,2,3,1,3,1,4,0,9,9,5,4,2
1,195,42,2,3,3,3,1,2,2,2,1,1,2,1,1,1,1,1,1,1,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1,1,1,3,4,2,1,2,2,2,3,1,2,2,2,2,2,1,4,1,3,1,2,1,2,1,1,2,1,2,2,195,42,2,3,1,3,1,2,0,9,7,5,5,2
1,195,43,2,3,2,7,1,2,1,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,2,2,1,2,1,1,3,1,2,1,2,2,2,2,2,2,1,2,4,2,1,2,1,1,4,2,2,2,2,1,1,1,4,1,4,2,2,1,2,1,3,1,4,1,2,195,43,2,3,1,3,1,4,5,9,8,6,6,2
1,195,44,2,1,4,6,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,2,1,0,0,1,1,0,0,2,1,1,1,2,1,2,1,2,1,1,1,1,1,3,4,2,2,3,2,2,3,3,3,2,2,3,2,3,4,1,0,1,2,1,2,1,3,3,1,3,2,195,44,2,3,1,3,1,3,8,9,9,5,5,1
1,195,45,2,1,5,3,2,2,2,2,1,1,1,1,3,1,3,1,4,1,1,1,4,1,1,1,1,1,1,2,1,1,1,2,2,1,1,2,1,2,1,1,2,2,1,1,0,0,2,5,2,2,3,2,3,4,3,2,1,2,2,2,2,3,2,4,2,3,2,4,3,1,3,2,3,2,195,45,2,2,3,2,2,6,4,2,7,0,0,1
1,195,46,2,2,3,3,2,1,3,1,1,1,1,1,1,1,4,1,4,1,2,1,4,1,1,1,2,1,2,1,1,1,2,1,2,0,2,1,1,0,1,2,1,1,1,1,1,1,1,4,3,3,3,1,2,3,4,5,3,2,4,1,3,1,1,0,0,2,3,0,0,1,2,1,2,2,195,46,2,4,2,3,2,3,7,3,9,1,1,1
1,195,47,2,2,5,5,2,1,2,1,3,1,3,1,2,1,3,1,4,1,1,1,4,1,1,1,2,1,2,1,1,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,2,3,3,4,4,3,2,1,3,3,3,5,2,3,3,3,2,4,1,3,1,2,1,2,1,3,3,4,3,2,195,47,2,3,2,2,1,2,9,1,9,7,4,2
1,195,48,2,1,2,7,3,1,3,1,5,1,3,1,2,1,4,1,4,1,1,1,4,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,2,5,3,3,2,3,3,3,3,2,3,2,2,3,3,2,4,1,3,1,2,1,2,1,3,1,4,1,2,195,48,2,3,1,2,1,1,9,0,9,7,7,1
1,195,49,2,2,4,5,3,1,3,1,5,1,1,1,2,1,4,1,4,1,1,1,4,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,4,4,5,3,3,3,2,1,4,5,3,4,5,2,3,4,1,3,1,2,1,2,1,3,1,4,1,2,195,49,2,3,1,2,1,1,0,0,9,7,7,1
1,195,50,2,1,2,6,2,1,3,1,4,1,1,1,2,1,2,1,4,1,1,1,4,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1,0,0,1,1,2,1,1,1,0,0,5,3,3,3,3,3,4,3,0,3,3,3,3,4,0,3,2,0,0,2,1,2,1,1,1,0,0,2,195,50,2,2,1,3,2,1,8,1,9,2,4,2
1,195,51,2,1,1,7,2,1,2,2,3,2,3,2,2,1,3,2,4,1,1,1,4,1,2,1,1,2,1,2,2,2,1,2,2,1,1,2,1,1,1,3,1,2,1,3,1,3,5,3,4,3,3,3,4,3,4,4,3,2,4,3,3,4,1,3,1,2,1,2,1,3,3,4,1,2,195,51,2,3,1,0,1,7,2,1,5,7,6,1
1,195,52,2,2,4,3,2,2,2,2,2,2,2,1,1,1,4,1,1,1,3,2,4,2,2,2,1,1,1,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,1,1,2,1,2,5,2,2,3,1,1,1,2,2,1,1,2,2,1,4,1,4,1,0,0,0,0,0,0,0,0,2,195,52,2,0,0,3,2,5,6,4,4,1,2,1
1,195,53,2,3,3,8,2,1,2,1,5,1,1,1,2,1,2,3,4,1,1,1,4,2,1,2,2,2,2,1,1,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,2,3,3,2,4,3,5,2,2,3,2,2,4,1,4,1,2,1,2,1,0,0,4,1,2,195,53,2,3,1,3,1,0,1,2,7,5,6,1
1,195,54,2,3,5,6,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,3,3,2,1,1,2,2,2,1,2,3,2,1,2,1,1,3,1,3,1,2,2,2,1,3,2,2,2,4,3,2,2,2,2,3,2,3,2,2,2,2,2,4,1,3,1,2,1,2,1,1,3,4,3,2,195,54,2,3,1,2,1,4,3,5,1,6,5,2
1,195,55,2,2,3,5,2,2,2,2,2,2,3,2,2,1,3,2,4,1,1,2,3,2,2,2,1,2,2,1,2,2,2,1,1,2,1,2,1,2,1,2,2,2,1,2,2,2,4,4,4,3,2,3,3,3,3,5,2,3,3,3,2,4,1,3,1,2,1,2,1,1,2,1,2,2,195,55,2,3,1,2,1,6,2,2,2,5,5,1
1,195,56,2,2,3,8,2,1,1,2,2,2,1,1,2,1,2,2,3,1,2,2,2,2,2,1,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,1,1,2,2,2,4,5,4,3,3,2,4,4,4,5,2,2,4,4,2,3,1,1,1,2,2,2,1,1,2,4,3,2,195,56,2,3,2,3,2,3,7,4,4,4,3,2
1,195,57,2,1,2,7,1,2,2,2,3,2,1,1,1,2,3,2,3,1,2,2,4,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,2,1,2,1,1,1,1,1,2,4,4,2,3,3,3,4,2,4,3,2,4,3,2,4,2,4,1,2,1,3,2,1,3,1,3,2,195,57,2,4,1,2,1,7,9,4,2,2,3,2
1,195,58,2,3,4,1,2,2,1,1,3,2,1,2,1,1,3,2,1,1,2,2,3,2,2,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,2,1,2,2,1,2,5,3,4,2,3,2,3,2,4,2,0,2,2,2,3,3,4,3,1,3,2,195,58,2,2,3,3,1,6,0,5,3,2,0,2
1,195,59,2,3,2,6,2,1,3,1,3,2,1,1,2,1,2,2,3,1,3,1,2,2,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,2,1,5,3,4,4,3,3,3,3,3,5,3,4,4,4,3,4,2,4,1,4,2,4,2,1,1,4,1,2,195,59,2,4,2,3,1,7,7,2,6,2,3,1
1,195,60,2,2,4,7,0,1,2,2,0,0,1,1,2,1,3,1,3,1,1,1,3,2,1,1,1,1,2,3,1,2,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,4,5,3,2,3,3,2,4,2,2,2,2,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,195,60,2,0,0,0,0,3,9,2,6,0,0,1
1,195,61,2,3,5,5,1,2,1,1,2,3,3,2,1,2,3,3,4,1,2,2,2,2,1,1,1,1,2,1,1,1,2,1,2,1,2,2,2,1,1,1,2,1,1,1,2,2,1,4,1,1,2,2,1,4,2,2,1,3,1,2,1,4,2,3,1,2,1,2,3,3,1,4,1,2,195,61,2,3,1,2,1,3,8,5,2,7,5,1
1,195,62,2,2,3,7,2,1,3,1,4,2,1,1,2,1,2,3,3,1,2,2,3,2,2,1,1,3,2,1,2,3,2,1,2,1,1,3,1,3,1,3,2,2,2,1,1,1,4,5,5,2,3,3,3,3,4,5,4,4,5,3,2,4,1,3,1,2,1,2,1,1,3,4,3,2,195,62,2,3,2,3,1,3,5,3,5,6,4,1
1,195,63,2,1,2,1,3,3,3,3,5,3,3,3,1,1,4,3,1,3,1,3,5,1,3,3,2,1,2,1,2,3,2,1,2,1,2,1,2,1,1,1,2,1,2,1,1,1,5,2,5,3,3,3,3,3,4,4,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,195,63,2,0,0,0,0,0,0,2,2,0,0,1
1,195,64,2,3,5,0,2,1,1,1,1,0,1,1,2,1,5,2,4,3,1,1,3,1,1,1,1,2,2,1,1,1,2,1,2,1,2,1,2,1,1,1,2,1,1,3,2,3,1,5,4,4,3,1,1,1,2,4,2,2,4,5,2,4,1,2,1,2,1,2,1,3,3,4,3,2,195,64,2,3,3,3,1,3,7,4,6,6,4,1
1,195,65,2,3,5,5,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,2,2,1,1,2,1,2,1,1,2,2,1,1,1,2,1,2,1,2,1,2,1,1,1,2,1,4,4,4,2,3,2,3,3,2,4,2,2,3,3,3,4,1,3,1,2,1,2,1,1,3,4,3,2,195,65,2,3,1,3,2,4,0,8,7,6,5,1
1,195,66,2,3,3,5,2,1,1,2,2,1,1,1,2,1,1,1,2,2,3,2,2,2,1,1,2,2,2,1,2,2,2,1,2,1,2,1,2,2,2,1,2,1,1,1,1,1,1,4,5,4,3,3,5,5,4,5,3,5,5,3,2,4,1,4,1,2,1,2,1,1,3,1,3,2,195,66,2,3,1,3,1,2,8,3,5,4,5,1
1,195,67,2,3,3,5,1,1,2,1,2,1,1,2,1,2,2,1,2,1,2,2,0,0,0,0,0,0,0,0,1,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,2,1,4,4,4,3,3,4,3,1,3,4,2,3,2,3,2,4,1,3,2,2,1,2,1,3,1,4,3,2,195,67,2,3,1,2,1,2,8,5,5,7,5,2
1,195,68,2,2,2,6,3,1,3,1,5,1,1,1,2,1,4,1,4,1,3,1,3,3,1,1,2,1,2,1,2,1,2,1,2,1,0,1,0,1,0,1,2,1,1,1,0,1,0,5,4,3,3,3,3,4,3,4,0,3,4,2,0,4,1,3,1,2,1,2,1,3,3,1,2,2,195,68,2,3,1,3,1,1,0,1,8,6,5,1
1,195,69,2,0,5,1,3,2,2,3,1,1,2,3,2,3,4,3,3,1,2,1,3,3,1,1,2,3,2,2,1,2,2,1,1,1,2,1,1,3,2,3,2,2,1,1,2,3,4,3,4,1,3,3,5,4,3,1,0,4,4,3,1,4,1,4,3,2,1,1,1,1,1,2,1,2,195,69,2,2,1,1,1,5,4,5,3,2,6,1
1,195,70,2,2,5,5,2,2,2,2,4,2,1,1,2,1,3,2,4,1,3,3,3,3,2,3,2,1,2,1,1,1,2,1,2,1,2,1,2,1,1,1,2,1,1,3,2,3,5,3,4,3,3,4,3,3,3,5,3,2,4,3,2,0,2,0,2,2,2,2,2,1,3,1,3,2,195,70,2,3,2,3,2,2,8,2,3,3,0,2
