COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72
1,205,1,3,2,18,3,11,98,1,6,9,1,4,2,2,3,3,1,1,3,2,3,1,2,2,1,1,2,1,2,2,1,1,1,1,1,2,1,2,3,3,3,1,3,3,2,3,3,2,2,2,2,1,2,6,2,6,6,1,1,1,3,1,,22,500,0,13,4,3,1
1,205,2,3,2,18,3,11,98,1,6,5,1,4,2,3,4,5,1,1,3,3,3,2,3,1,1,1,2,1,2,1,1,1,1,1,1,2,2,2,3,3,3,1,1,2,2,3,2,4,3,1,3,2,3,6,2,9,9,2,1,1,5,1,,22,500,0,23,5,2,6
1,205,3,3,2,18,3,11,98,1,6,1,2,2,2,3,4,4,3,3,2,2,3,1,2,2,1,1,2,1,2,2,1,2,1,1,1,2,1,2,3,3,3,1,3,3,2,3,3,5,2,1,2,3,2,6,2,8,8,1,1,1,6,1,,22,500,0,33,13,2,6
1,205,4,3,2,19,3,11,98,1,6,1,1,4,1,3,4,5,1,1,3,4,5,1,1,2,1,1,2,1,2,2,1,2,2,1,1,2,2,3,3,3,3,1,1,1,2,3,2,4,3,3,2,1,2,6,2,2,9,2,1,3,1,1,,22,500,0,43,13,1,9
1,205,5,3,2,21,3,1,1,1,6,16,2,3,2,3,4,5,1,1,2,3,5,2,2,2,1,1,2,1,2,2,1,2,1,1,1,2,1,2,3,3,3,1,1,3,3,3,2,3,1,2,2,2,2,7,2,8,9,3,1,1,6,10,,22,500,0,53,5,3,4
1,205,6,3,2,21,3,11,98,1,6,5,2,3,1,3,3,4,2,1,2,3,4,2,2,3,1,1,3,1,3,3,1,2,1,1,1,1,2,2,3,3,3,1,3,2,3,3,3,3,2,2,2,1,2,7,2,10,9,3,1,3,5,9,,22,500,0,63,6,3,0
1,205,7,3,2,21,3,1,1,1,6,16,2,2,2,2,4,4,2,3,3,2,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,2,3,3,3,1,1,2,3,3,3,4,2,1,2,1,2,7,2,12,7,3,1,1,6,3,,22,500,0,73,4,3,8
1,205,8,3,2,22,2,2,0,1,6,1,1,3,2,3,3,4,2,1,3,3,3,2,2,2,1,1,2,1,2,2,1,2,1,1,1,2,2,2,3,3,3,1,3,3,3,3,3,3,2,2,2,1,2,7,2,10,8,3,2,3,1,1,,22,500,0,83,4,4,0
1,205,9,3,2,22,2,4,0,1,6,1,1,2,2,2,2,4,2,1,3,4,5,2,1,2,1,1,2,1,2,2,1,1,1,1,1,2,2,2,3,2,2,1,3,3,2,3,3,5,2,2,2,1,2,7,2,10,7,3,2,2,6,1,,22,500,0,93,4,3,9
1,205,10,3,2,22,3,1,1,1,6,7,1,4,1,3,3,5,2,1,2,3,4,2,3,2,1,1,2,1,2,2,1,2,1,1,1,2,2,2,3,3,3,1,3,3,2,3,2,3,2,1,2,1,2,8,2,14,9,3,1,1,6,9,,22,500,1,3,4,4,2
1,205,11,3,2,22,2,3,3,1,6,7,1,4,2,3,4,5,1,1,3,3,7,2,3,2,1,1,2,1,2,2,1,2,1,1,1,2,2,2,3,3,3,1,3,3,3,3,3,2,2,2,4,1,3,8,2,14,8,1,2,3,6,7,,22,500,1,13,4,5,0
1,205,12,3,2,20,2,4,0,2,2,1,1,4,2,3,3,4,1,1,2,2,2,1,2,2,1,1,2,1,2,2,1,1,1,1,1,2,1,4,2,3,2,1,4,4,2,3,3,3,3,1,2,2,2,6,3,9,8,3,1,3,7,7,,22,500,1,23,4,3,9
1,205,13,3,2,20,3,11,98,2,6,14,1,4,2,3,3,4,3,3,3,3,4,1,2,1,1,1,2,1,2,2,1,2,1,1,1,2,2,2,3,3,3,2,1,3,2,3,3,4,1,1,2,1,2,6,3,3,8,4,1,3,5,9,,22,500,1,33,4,2,2
