COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85,COL86,COL87,COL88,COL89,COL90,COL91,COL92,COL93,COL94,COL95,COL96,COL97,COL98,COL99,COL100,COL101,COL102,COL103,COL104,COL105,COL106
1,86,18,1,5,3,2,9,58,5,4,4,4,3,4,3,3,2,3,4,4,9,2,2,1,1,3,3,2,1,2,1,1,1,3,3,2,3,4,2,2,4,2,2,1,1,0,2,3,4,3,4,3,2,5,1,2,2,3,0,3,3,1,1,1,,208,6001,8,1,2,1,1,4,1,1,1,1,5,1,2,1,1,2,3,5,4,2,3,2,1,0,1,3,0,10,10,41,1,3,4,6,0,20,51,9
1,86,19,2,4,3,2,9,34,5,5,4,3,3,4,3,3,1,2,4,4,9,2,1,2,2,2,2,2,3,3,1,1,2,3,4,1,1,4,1,2,2,2,2,1,1,1,2,4,5,5,4,5,5,4,2,2,2,3,7,4,2,1,1,1,,208,6001,9,1,2,1,2,2,1,1,1,1,5,2,3,1,2,2,3,4,3,1,1,5,1,0,1,4,0,10,40,51,1,3,4,4,0,20,21,4
1,86,20,1,5,3,2,9,41,4,4,5,3,3,4,3,2,1,3,4,4,9,2,1,2,1,1,1,1,1,3,3,1,1,1,2,2,4,3,2,2,4,2,2,1,1,1,2,2,5,4,4,5,4,5,1,2,2,3,7,3,3,1,1,1,,208,6002,0,1,2,1,2,1,1,1,1,1,5,2,3,1,1,2,3,5,2,1,2,2,1,2,1,4,3,40,50,80,9,3,4,4,0,11,11,4
1,86,21,1,5,1,2,4,91,4,4,5,2,3,4,3,2,3,6,4,6,9,3,1,2,1,1,2,2,3,3,4,3,2,3,3,1,2,4,1,3,3,2,2,1,2,1,4,1,4,6,4,3,6,2,1,3,2,4,7,3,4,1,1,1,,208,6002,1,1,2,1,4,2,1,1,2,2,3,2,2,1,2,3,4,2,1,1,2,0,1,2,1,4,5,40,10,41,1,3,4,6,0,11,10,3
1,86,22,1,4,3,2,7,56,4,6,1,1,1,4,3,2,1,2,0,4,9,1,1,2,1,3,3,1,2,3,2,2,4,1,2,1,3,3,1,2,4,2,2,1,1,2,3,5,2,4,2,5,3,1,2,2,2,3,7,4,4,1,1,1,,208,6002,2,1,2,1,6,1,1,1,2,1,4,2,3,2,1,2,3,5,2,2,3,2,1,2,1,3,2,40,40,50,8,3,4,5,0,11,10,5
1,86,23,1,4,3,2,6,41,5,5,1,1,1,4,3,2,1,3,14,4,9,3,1,2,1,1,3,2,2,3,2,2,3,2,2,2,4,3,1,2,4,2,2,1,2,2,2,3,5,4,5,4,2,3,2,2,2,4,1,3,2,3,3,6,,208,6002,3,1,2,1,2,2,1,1,1,1,5,2,4,2,2,2,3,3,1,1,2,3,1,2,1,4,3,40,50,80,9,3,4,5,0,20,52,3
1,86,24,1,4,3,2,6,47,3,5,4,2,3,4,3,3,1,2,14,4,9,2,3,1,1,3,3,2,2,1,3,2,3,1,2,3,4,4,2,2,5,2,2,1,1,2,3,1,2,1,2,1,1,3,2,2,2,2,5,3,1,3,1,0,,208,6002,4,1,2,1,1,4,1,1,1,1,5,3,4,4,2,2,3,6,4,1,2,5,1,2,1,1,6,40,20,51,1,3,4,5,0,20,52,5
1,86,25,1,4,3,2,7,93,5,5,4,3,3,4,3,3,2,2,4,4,9,2,1,2,1,1,0,1,2,3,1,1,3,1,1,2,2,4,1,3,4,2,2,1,1,2,2,3,3,1,3,5,6,3,2,2,2,3,7,3,3,1,1,1,,208,6002,5,1,2,1,2,1,2,1,2,1,3,3,2,2,2,3,2,2,2,2,3,5,1,2,1,2,4,20,91,1,1,3,4,5,0,20,22,3
1,86,26,1,3,3,2,10,31,5,5,1,1,1,4,3,3,1,1,14,4,9,1,1,2,4,2,3,2,2,3,2,2,3,1,2,2,2,5,1,2,2,2,2,1,2,2,3,1,2,3,2,4,2,5,2,3,2,3,7,3,3,1,1,1,,208,6002,6,1,2,1,5,1,1,1,1,1,5,2,2,1,1,4,2,4,2,1,2,7,2,2,1,5,6,20,70,91,2,3,4,5,0,60,41,4
1,86,27,1,4,3,2,9,93,5,4,5,2,3,4,3,3,1,5,4,6,9,2,3,3,4,3,2,2,2,3,4,1,3,1,3,3,3,4,3,2,3,2,2,1,1,1,2,6,5,6,6,5,5,5,1,2,2,3,7,3,3,1,1,1,,208,6002,7,2,1,4,2,2,2,2,2,2,1,4,4,2,1,2,4,3,2,1,2,5,1,2,3,0,0,0,40,61,1,3,1,4,0,10,20,8
