CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5A.,Q.5B.,Q.6.,Q.7.,Q.8A.,Q.8B.,Q.8C.,Q.8D.,Q.8E.,Q.9A.,Q.9B.,Q.9C.,Q.9D.,Q.9E.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,V.16.,V.17.
1,122,1,1,1,3,2,4,5,2,1,1,1,1,1,1,1,2,1,1,1,5,6,1,1,4,2,3,3858
1,122,2,1,1,3,2,4,9,2,1,1,3,4,2,2,2,2,3,3,2,1,1,2,2,2,2,3,2953
1,122,3,1,2,3,2,4,5,2,1,1,2,1,1,1,2,2,1,1,2,1,4,1,2,2,1,3,2701
1,122,4,1,4,3,2,4,9,2,1,1,1,1,1,1,1,1,1,1,1,5,6,1,2,4,2,3,1161
1,122,5,1,1,3,2,4,9,2,1,2,1,2,2,2,2,1,2,2,2,1,1,1,1,2,2,3,2636
1,122,6,1,1,3,2,4,9,2,1,2,1,1,2,1,1,2,2,1,1,1,4,1,1,2,2,3,1205
1,122,7,1,2,3,2,4,11,2,1,2,1,1,2,2,3,1,3,2,2,1,6,1,2,3,2,3,4884
1,122,8,1,1,3,2,4,3,2,1,2,1,1,2,1,1,1,2,1,1,4,1,1,1,2,2,3,1447
1,122,9,1,1,3,2,4,9,2,1,2,2,2,2,1,3,1,3,1,1,1,3,1,1,4,2,3,2018
1,122,10,1,1,3,2,4,5,2,1,4,4,1,2,3,1,2,3,1,2,2,4,1,1,4,2,3,1270
1,122,11,1,2,3,2,4,11,2,1,4,2,3,2,3,3,3,2,1,2,2,4,2,1,2,2,3,2626
1,122,12,1,1,3,2,4,12,2,1,4,4,4,4,4,3,11,3,3,3,1,1,1,1,2,2,3,6707
1,122,13,1,1,3,2,4,6,2,1,4,4,3,3,3,2,2,12,2,2,1,4,1,1,4,2,3,2151
1,122,14,1,1,3,2,4,9,2,1,3,1,1,3,1,1,2,3,1,4,1,3,2,5,2,0,3,5002
1,122,15,1,1,3,2,4,5,2,1,3,3,2,4,3,2,2,2,2,3,1,6,1,2,3,1,3,5060
1,122,16,1,2,3,2,4,5,2,1,3,3,2,2,3,3,5,6,3,1,3,1,1,4,4,1,3,5043
1,122,17,1,1,2,4,4,12,2,1,3,1,2,3,1,1,11,2,1,2,1,3,1,1,4,2,8,4628
1,122,18,1,1,2,3,4,6,2,1,1,2,1,2,1,1,8,6,1,2,4,5,2,2,2,1,8,5387
1,122,19,1,1,2,1,4,9,2,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,3,2,3,3923
1,122,20,1,2,3,1,4,3,2,1,4,3,3,3,2,2,2,2,2,3,2,3,1,1,3,2,3,2179
1,122,21,1,1,3,3,4,11,2,1,1,2,1,1,2,1,2,1,2,2,1,2,1,1,4,1,8,5144
1,122,22,1,2,3,4,4,9,4,1,1,1,1,1,1,1,1,1,1,1,5,6,4,5,5,2,8,4315
1,122,23,1,2,2,3,4,5,4,1,2,3,2,2,2,3,3,3,2,1,1,1,1,3,1,2,8,6921
1,122,24,1,1,1,2,4,9,4,1,3,1,3,3,2,3,1,3,3,3,1,3,2,2,3,2,3,2890
1,122,25,1,1,2,2,4,9,4,1,3,3,3,3,3,3,3,3,3,3,1,2,1,2,1,2,3,2954
1,122,26,1,1,3,3,4,3,3,1,2,3,3,4,3,2,6,6,3,2,2,3,1,3,3,1,8,5402
1,122,27,1,2,3,3,4,9,3,1,3,3,3,3,2,3,3,3,5,4,1,1,1,2,2,2,8,2627
