CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.15.,Q.16.,Q.18.,Q.19.,Q.20.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.26..1,Q.26..2,Q.26..3,Q.26..4,Q.26..5,Q.26..6,Q.26..7,Q.26..8,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40A.,Q.40B.,Q.40C.,Q.40D.,Q.40.,Q.40F.,Q.40G.,Q.41.,Q.42A.,Q.42B.,Q.42C.,Q.42D.,Q.42E.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.51..1,Q.51..2,Q.51..3,Q.51..4,Q.51..5,CARD..1,DECK..1,BALLOT..1,X.,X..1,X..2,Q.52.,Q.53.,Q.54.,Q.55.,Q.56.,Q.57.,Q.58.,Q.59.,Q.60.,Q.61.,Q.62.,Q.63.,Q.64.,Q.65.,Q.66.,Q.67.,Q.68.,Q.69A.,Q.69B.,Q.69C.,Q.69D.,Q.69E.,V.71.
1,146,1,1,5,5,5,4,1,1,2,5,6,5,3,1,2,3,2,2,4,1,1,1,2,2,2,2,2,1,2,2,2,1,3,3,1,1,5,3,3,3,4,1,1,1,2,1,2,1,1,2,2,1,0,1,0,1,0,4,6,1,2,2,1,1,1,2,2,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,146,1,2,22,3,2,2,1,1,2,2,4,1,13,3,2,2,1,5,3,2,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,146,2,4,9,4,6,1,1,1,1,5,6,5,3,2,3,3,2,1,4,1,2,1,2,2,2,1,2,1,2,2,2,1,3,3,1,1,5,4,4,2,3,3,1,1,2,1,1,1,1,1,2,1,3,3,3,3,1,5,6,1,2,3,1,2,1,1,2,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,146,2,2,22,3,3,2,1,1,2,2,4,1,11,4,2,2,3,2,3,2,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,146,3,2,8,4,5,2,1,1,2,6,6,5,3,2,2,2,4,3,4,1,1,1,2,2,2,2,2,2,1,2,2,1,2,3,1,4,2,3,2,2,3,0,1,1,2,2,2,1,1,2,1,1,3,0,3,1,3,4,6,1,2,4,1,2,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,146,3,1,22,3,3,4,2,0,1,1,1,1,11,4,2,1,1,4,3,2,1,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,146,4,3,6,5,5,2,1,1,2,6,6,5,3,3,3,2,2,1,4,1,2,1,2,2,2,2,2,1,2,2,2,1,2,3,1,2,5,3,3,3,3,2,1,1,2,1,2,2,1,1,2,1,1,3,1,1,1,3,6,1,1,4,1,2,1,1,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,146,4,2,22,2,3,2,2,3,1,1,3,1,13,3,2,2,3,2,3,2,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,146,5,3,7,5,6,5,1,1,1,5,6,5,3,2,3,3,2,1,4,1,1,1,1,2,1,1,1,1,1,2,2,1,3,3,1,1,5,3,2,2,2,5,2,1,2,2,2,1,1,2,2,1,3,1,3,1,1,4,6,1,2,4,1,1,1,1,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,146,5,2,22,4,3,4,2,6,2,1,3,1,13,1,2,2,3,5,3,2,1,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
