COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85
1,79,1059,2,4,4,7,1,4,2,2,1,4,3,2,1,2,2,1,2,2,2,3,3,2,1,1,2,2,4,4,5,2,3,2,2,3,2,2,3,2,2,1,5,2,2,2,7,2,1,2,2,3,1,2,2,2,2,2,1,3,1,1,2,2,2,2,,207,9105,9,2,3,2,4,2,3,4,1,2,2,3,2,2,200112
1,79,1060,1,4,5,7,3,1,5,3,1,5,2,2,2,1,3,2,2,2,1,1,3,4,2,2,5,2,3,4,4,1,1,1,2,1,2,1,3,4,3,2,3,3,1,0,4,9,0,4,6,2,2,4,2,2,2,3,1,4,3,1,3,3,1,5,,207,9106,0,4,4,3,3,3,3,4,4,4,4,3,2,1,100888
1,79,1061,1,4,4,3,3,1,5,3,1,3,3,1,2,1,1,2,2,2,1,2,2,2,1,3,2,2,4,4,5,2,1,1,3,2,2,3,1,1,1,1,1,3,1,10,6,10,4,4,4,1,2,2,2,1,2,1,1,1,2,2,2,2,4,1,,207,9106,1,2,1,1,1,1,1,4,5,4,5,3,2,2,300716
1,79,1062,1,4,8,7,1,4,2,2,2,4,2,4,2,1,0,2,3,3,3,3,2,4,1,3,5,1,2,4,4,4,7,0,2,0,2,2,2,2,2,1,3,3,1,10,6,2,3,4,5,3,3,4,2,2,2,0,0,2,3,3,3,2,2,2,,207,9106,2,2,2,2,0,2,3,4,2,4,2,3,2,2,337
1,79,1063,3,4,5,4,3,4,1,2,1,5,1,2,1,2,2,1,2,2,3,3,2,1,1,1,2,1,4,4,1,1,3,1,2,2,2,3,1,2,2,1,2,2,2,4,1,4,1,3,3,4,4,3,2,2,3,2,2,2,2,2,2,3,2,2,,207,9106,3,2,2,2,2,2,3,4,5,2,2,3,2,2,401187
1,79,1064,2,4,6,4,1,1,5,3,1,5,1,2,1,1,2,3,2,2,3,2,3,4,2,1,2,1,4,2,3,3,2,2,2,2,2,1,1,2,3,1,3,1,3,4,5,4,1,4,5,3,1,3,2,2,2,2,2,2,2,2,3,1,1,3,,207,9106,4,3,4,3,4,4,3,4,1,4,2,3,2,2,400577
1,79,1065,2,3,7,3,3,1,5,3,2,3,1,3,3,1,1,1,2,2,2,2,1,2,2,4,3,3,3,3,2,2,2,1,2,2,3,1,1,3,5,2,4,3,1,10,1,1,2,3,5,2,1,2,2,2,2,1,1,2,1,2,2,1,1,2,,207,9106,5,4,4,4,2,4,1,2,2,3,3,3,2,2,400265
1,79,1066,1,3,4,7,2,1,5,3,1,2,3,4,2,1,3,3,2,2,2,2,3,2,1,2,3,1,3,4,4,1,4,1,1,1,2,3,1,1,2,1,2,2,2,1,2,1,1,1,5,1,4,2,2,1,1,3,3,1,2,1,4,2,3,2,,207,9106,6,2,2,1,1,1,3,2,1,4,1,3,2,1,101464
1,79,1067,1,3,5,6,1,1,5,3,1,3,2,1,1,1,3,3,2,2,2,1,3,4,2,3,3,1,2,4,2,3,2,1,2,2,3,1,3,2,4,1,4,2,2,1,3,1,1,4,4,2,3,3,2,2,2,2,2,2,2,1,3,2,2,2,,207,9106,7,2,4,4,5,4,3,3,1,4,1,3,2,2,400838
1,79,1068,1,3,3,0,4,1,5,3,1,3,3,4,2,1,3,3,2,3,3,3,2,4,2,5,3,3,3,3,3,3,4,1,2,11,2,3,1,3,4,3,3,2,2,4,4,4,1,4,4,4,3,2,2,2,2,2,2,3,1,2,3,1,3,3,,207,9106,8,3,4,4,4,3,1,3,1,4,5,3,1,1,100235
