CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6A.,Q.6B.,Q.6C.,Q.6D.,Q.6E.,Q.6F.,Q.6G.,Q.6H.,Q.6I.,Q.6J.,Q.6K.,Q.6L.,Q.7.,Q.8A.,Q.8B.,Q.8C.,Q.9.,V.9A.,Q.10.,Q.11.,Q.12.,V.13.,V.14.
1,189,49,3,3,3,3,2,0,2,0,1,0,0,0,1,1,0,0,1,0,2,2,2,1,4,3,5,1,0,12
1,189,50,3,3,3,2,2,1,3,3,1,1,0,1,1,1,3,3,3,1,2,2,2,3,3,6,5,2,0,13
1,189,51,3,3,4,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,2,2,2,3,4,3,5,1,0,12
1,189,52,3,4,4,1,1,1,0,2,1,1,2,3,1,1,3,3,1,3,3,2,2,3,4,8,5,1,0,10
1,189,53,3,4,5,3,2,1,2,2,1,2,2,2,1,1,2,2,1,1,5,2,2,2,2,8,5,2,0,12
1,189,54,3,4,5,2,2,1,4,3,1,2,4,4,1,3,4,4,4,3,2,2,2,2,2,6,5,2,0,13
1,189,55,2,2,2,3,2,1,1,2,1,2,2,3,1,1,3,1,1,1,2,2,2,1,3,8,6,2,0,10
1,189,56,2,2,2,2,2,1,2,2,1,2,2,2,1,1,2,2,1,1,2,2,2,2,2,6,6,2,3,13
1,189,57,2,2,1,3,2,1,2,2,1,1,2,2,1,2,2,2,1,1,1,1,2,2,1,6,6,1,0,13
1,189,58,2,3,3,2,2,1,3,3,1,3,2,3,1,3,2,3,3,1,2,2,2,2,2,8,6,1,0,10
1,189,59,2,3,2,2,2,1,1,2,1,2,2,3,1,3,3,2,1,1,3,2,2,1,3,8,6,1,3,12
1,189,60,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,6,6,2,1,13
1,189,61,2,3,3,3,2,3,2,1,1,4,4,1,1,4,2,4,1,1,1,2,2,2,1,6,6,2,1,13
1,189,62,2,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,3,6,6,2,0,13
1,189,63,2,4,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,3,2,2,2,1,6,6,2,0,13
1,189,64,2,4,5,2,2,1,3,2,1,2,2,3,3,1,3,2,3,3,3,2,2,3,4,6,6,2,0,13
1,189,65,2,4,3,3,2,1,0,0,1,1,0,0,1,0,0,0,1,1,2,3,2,3,4,6,6,2,3,13
1,189,66,2,4,5,1,1,1,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,2,2,6,6,2,0,13
1,189,67,2,1,1,3,3,1,2,2,1,1,1,1,1,1,2,2,1,1,2,0,0,2,2,6,7,2,0,13
1,189,68,2,2,3,3,3,1,2,2,1,1,1,1,1,1,2,2,1,1,3,2,1,2,2,6,7,2,0,13
1,189,69,2,3,2,3,2,1,3,2,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,8,7,2,0,10
1,189,70,2,4,4,1,2,1,2,2,1,1,1,1,1,1,2,2,2,1,3,2,2,2,4,8,7,1,0,12
1,189,71,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10
1,189,72,2,2,3,3,3,1,2,2,1,2,2,2,1,1,2,2,2,1,2,1,2,2,2,6,0,0,0,13
1,189,73,2,3,1,3,3,1,2,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,3,6,0,0,0,13
1,189,74,2,2,3,2,2,1,3,3,1,1,3,3,1,1,3,3,1,1,1,2,1,1,4,8,1,1,0,10
1,189,75,2,4,4,1,2,1,2,1,1,1,2,1,1,1,2,2,2,1,1,2,2,3,3,8,2,2,3,10
1,189,76,2,1,1,3,2,1,0,0,1,0,0,0,1,1,0,0,1,1,1,2,2,1,4,6,4,2,0,13
1,189,77,2,2,3,3,2,1,0,0,1,0,2,0,1,1,3,0,1,1,1,1,2,2,2,6,4,2,0,13
1,189,78,2,3,3,2,2,0,0,0,0,0,0,0,1,0,3,0,0,1,2,0,0,1,4,6,4,2,0,13
1,189,79,2,4,5,4,2,1,2,3,1,1,3,3,1,1,1,2,1,1,2,2,2,2,4,8,4,2,0,10
1,189,80,2,1,2,0,2,1,2,2,1,1,1,1,1,3,3,3,3,2,1,2,2,1,4,8,5,2,0,10
1,189,81,2,2,2,3,2,1,4,3,1,3,3,1,1,3,2,3,1,1,2,2,2,1,3,8,5,2,0,12
1,189,82,2,2,1,3,2,1,3,2,1,2,2,3,1,1,2,2,1,1,2,2,2,2,2,6,5,2,3,13
1,189,83,2,3,1,3,2,1,1,3,1,3,3,1,1,1,1,1,1,1,2,1,2,3,3,8,5,2,0,10
1,189,84,2,3,5,2,0,1,1,3,1,3,3,1,1,1,1,3,1,1,2,2,2,3,4,8,5,1,0,12
1,189,85,2,3,3,3,3,1,2,2,1,1,2,2,1,1,2,2,1,1,1,1,2,2,2,6,5,2,0,13
1,189,86,2,3,1,3,2,1,3,3,1,2,2,1,1,1,2,2,1,1,1,2,2,2,4,6,5,2,0,13
1,189,87,2,3,2,3,2,0,0,0,0,0,0,0,1,1,0,0,0,1,2,2,2,3,4,6,5,2,0,13
1,189,88,2,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,6,5,2,0,13
1,189,89,2,3,5,1,2,1,4,2,1,3,3,4,1,1,3,1,1,1,3,2,2,3,3,6,5,2,0,13
1,189,90,2,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,4,6,5,2,0,13
1,189,91,2,4,5,2,2,1,0,0,1,0,0,0,1,0,0,0,0,1,1,2,2,2,2,6,5,2,0,13
1,189,92,2,4,5,3,2,1,1,3,1,0,4,4,1,3,4,4,1,1,2,0,2,1,4,6,5,0,0,13
1,189,93,1,1,1,3,3,1,2,2,1,2,2,2,1,2,2,2,2,1,5,2,1,1,4,8,6,2,1,12
1,189,94,1,3,2,2,2,1,3,3,1,3,3,3,1,1,3,3,1,1,2,2,2,1,4,8,6,2,0,9
1,189,95,0,2,3,3,3,1,2,2,1,2,2,1,1,1,2,2,1,1,2,2,2,2,4,8,5,1,0,10
1,189,96,0,1,2,4,3,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,3,0,4,0,4,2,0,12
1,189,97,1,1,1,3,2,1,3,3,1,2,2,0,1,1,2,2,2,1,2,2,1,2,2,5,7,1,0,2
1,189,98,1,1,1,3,3,1,2,2,1,1,1,1,1,1,2,2,1,1,4,2,1,3,3,5,7,1,3,2
1,189,99,1,1,2,3,2,1,2,2,1,1,3,3,2,1,1,4,3,1,2,2,2,3,3,5,6,1,3,2
1,189,100,1,1,2,3,3,1,2,3,1,1,1,2,1,1,4,2,4,1,2,1,2,3,4,5,6,2,3,2
1,189,101,1,1,1,3,2,1,3,3,1,3,3,1,1,1,2,3,1,1,1,1,1,2,3,5,6,1,3,2
1,189,102,1,1,1,3,2,1,2,1,1,2,2,1,1,1,2,2,1,1,1,1,2,2,2,5,5,1,0,2
1,189,103,2,1,2,3,3,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,3,5,7,1,3,2
1,189,104,2,1,1,3,2,1,2,2,1,1,2,1,1,1,2,2,1,1,1,2,2,2,1,5,7,1,2,2
1,189,105,2,1,2,3,2,3,2,2,1,2,4,4,1,1,2,2,1,1,3,2,2,2,1,5,6,1,2,2
1,189,106,2,1,1,3,3,1,2,3,3,2,2,3,1,2,4,2,2,1,2,2,1,2,1,5,5,2,1,1
1,189,107,2,1,2,3,2,1,3,0,1,1,1,1,1,1,3,1,1,1,2,2,2,1,3,5,5,1,0,2
1,189,108,3,1,3,2,2,1,2,2,1,1,2,1,1,1,2,2,1,1,1,2,2,1,4,5,7,1,0,1
1,189,109,3,1,2,3,3,1,2,2,1,2,2,1,1,1,2,2,1,1,2,1,1,2,2,5,7,2,2,1
1,189,110,3,1,1,3,2,1,2,1,1,1,2,1,1,1,2,1,1,1,1,2,2,3,4,5,7,2,0,1
1,189,111,3,1,2,3,2,1,2,3,3,2,2,4,1,3,3,2,1,1,3,2,2,1,3,5,7,2,3,1
1,189,112,3,1,1,3,2,1,2,3,1,3,3,1,1,1,3,2,1,1,0,0,0,0,4,0,7,2,2,1
1,189,113,3,1,1,3,3,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,2,2,5,7,2,2,1
1,189,114,3,1,1,3,3,1,2,3,1,2,2,3,1,3,2,2,2,1,2,2,1,2,2,5,7,2,2,1
1,189,115,3,1,2,3,2,1,2,3,1,1,1,3,1,1,3,2,1,1,2,1,2,2,2,5,7,2,0,1
1,189,116,3,1,1,2,2,1,2,2,1,2,2,1,1,1,2,2,3,3,2,2,2,2,1,5,7,2,2,1
1,189,117,3,1,1,3,3,1,2,3,1,3,3,3,1,1,2,2,1,1,2,1,1,2,2,5,7,2,2,1
1,189,118,3,1,1,3,3,1,2,2,1,1,2,2,1,1,2,2,1,1,5,2,1,2,2,5,7,2,2,1
1,189,119,3,1,2,3,3,1,2,3,1,2,2,1,1,1,2,2,3,1,2,1,2,2,2,5,7,1,0,2
