CARD.,DECK.,BALLOT.,,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27A.,Q.27B.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.54..1,Q.54..2,Q.54..3,Q.54..4,Q.54..5,Q.54..6,Q.54..7,Q.54..8,Q.54..9,Q.54..10,Q.54..11,CARD..1,DECK..1,BALLOT..1,NA.1,X.,X..1,X..2,X..3,Q.55.,Q.56.,Q.57.,Q.60.,Q.61.,Q.62.,Q.63.,Q.64.,Q.65A.,Q.66.,Q.67.,Q.68.,Q.69.,Q.70.,Q.71.,Q.72.,Q.73.,Q.74.,Q.75.,Q.76.,Q.77.,Q.78A.,Q.78B.,Q.78C.,V.82.,V.83.,V.84.
1,115,20,3,2,9,2,1,1,4,7,4,6,28,1,28,1,1,1,2,2,2,1,3,2,4,1,1,1,1,1,5,2,1,3,2,1,11,1,1,3,1,2,6,2,1,1,1,2,2,1,1,1,2,0,4,2,2,2,2,1,2,2,1,1,2,2,1,2,2,115,20,3,2,2,2,2,2,3,4,1,2,3,1,2,1,1,4,4,4,3,4,6,0,3,2,2,1,1,1,1,1,9,2
1,115,21,3,4,3,2,3,1,1,1,5,5,6,1,1,1,2,1,1,2,1,1,2,2,4,2,1,2,2,1,5,0,1,3,2,1,5,2,1,3,2,2,1,4,3,2,4,1,1,3,2,3,1,1,2,2,2,1,2,1,2,1,1,2,2,2,1,1,2,115,21,3,2,2,2,2,3,1,3,5,2,3,2,1,1,1,1,3,4,5,4,4,10,1,5,3,1,1,1,1,1,11,5
1,115,22,3,1,5,3,5,1,4,7,3,1,1,1,1,1,1,1,2,2,1,2,4,3,1,1,2,2,2,1,3,2,1,4,2,1,2,2,3,3,1,2,4,1,1,1,2,1,1,1,2,1,1,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,115,22,3,2,2,2,2,2,1,3,1,1,3,2,1,1,1,4,4,1,5,0,4,0,3,3,2,1,1,1,1,1,10,4
1,115,23,3,2,2,4,1,1,1,1,5,5,6,1,2,3,1,1,1,2,3,2,1,3,4,1,2,1,1,1,4,1,1,2,2,2,8,1,1,3,3,2,3,1,1,1,1,1,1,3,2,2,1,2,4,1,2,1,1,2,2,1,1,2,1,2,2,1,2,115,23,3,1,2,2,2,4,3,4,5,1,2,3,1,1,1,4,4,4,5,1,4,5,1,1,2,1,1,1,2,1,13,3
1,115,24,3,2,3,4,1,1,1,1,5,5,7,1,1,1,1,1,1,2,1,1,4,3,4,1,1,1,1,1,1,2,2,2,4,3,5,1,3,3,2,3,1,1,1,1,1,1,1,3,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,115,24,3,2,2,1,2,2,3,2,5,2,3,2,1,1,1,1,2,5,5,4,4,4,1,3,3,1,1,1,1,1,11,3
1,115,25,3,4,5,4,1,1,1,1,5,5,7,1,2,1,2,1,1,2,1,1,4,3,4,2,1,1,1,1,5,1,1,1,2,1,5,1,3,3,1,2,4,1,1,1,1,2,1,3,1,1,2,1,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,115,25,3,1,2,2,2,2,1,2,1,1,3,2,1,1,1,2,3,2,5,4,4,7,1,4,3,1,1,1,1,1,11,14
1,115,26,3,1,1,4,1,1,4,8,3,1,1,1,1,1,1,1,1,2,1,1,2,3,4,2,1,1,2,1,5,2,1,1,1,2,11,2,2,3,1,4,1,5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,115,26,3,2,2,2,2,2,2,0,5,1,3,2,1,1,1,2,2,5,5,0,4,2,1,3,2,1,1,1,1,1,10,5
1,115,27,3,1,2,4,3,2,4,7,3,1,1,1,1,1,1,1,2,2,4,1,4,3,3,2,1,1,2,1,4,2,5,4,3,2,3,1,1,3,2,4,4,1,2,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,2,2,1,1,2,2,2,2,2,115,27,3,2,2,2,2,2,2,4,1,2,3,2,2,1,1,4,4,2,5,0,2,9,1,2,3,1,1,1,1,1,10,3
1,115,28,3,2,5,4,1,1,4,8,4,8,8,1,8,1,1,3,2,2,2,2,3,2,3,3,3,1,2,2,3,1,2,5,4,1,5,3,1,3,1,3,1,3,4,4,3,2,2,1,1,3,2,1,3,2,2,2,2,2,2,1,1,2,2,2,2,2,2,115,28,3,1,2,1,2,4,3,4,5,1,3,2,1,1,1,1,4,5,5,4,4,4,2,5,2,1,2,1,2,1,10,13
1,115,29,3,2,9,4,2,1,4,4,4,7,1,1,1,1,2,1,2,2,3,1,3,3,4,2,2,1,1,1,3,1,5,4,2,2,4,1,1,3,0,2,3,5,4,2,2,2,2,1,2,1,2,1,4,2,1,1,2,2,2,2,1,2,2,2,2,2,2,115,29,3,2,2,2,2,2,1,2,3,2,3,2,1,1,1,2,2,5,5,4,4,3,1,4,3,1,1,2,1,1,10,7
1,115,30,3,2,8,4,4,2,4,8,4,7,1,1,1,1,1,1,1,2,1,1,4,2,3,1,1,1,1,3,3,3,1,1,4,2,5,1,2,3,1,2,1,1,1,1,1,2,2,1,3,2,2,2,4,2,1,1,2,1,1,2,2,2,2,2,1,2,2,115,30,3,2,2,2,2,4,2,4,1,2,3,2,1,1,1,2,1,2,5,4,4,0,3,6,3,1,1,1,1,1,9,13
1,115,31,3,1,4,7,4,1,4,7,3,1,1,1,1,2,3,2,2,2,3,2,4,2,4,2,2,4,0,1,4,4,2,3,2,3,3,4,1,3,0,4,4,4,2,2,2,1,1,1,2,1,2,1,2,2,1,2,2,2,2,2,1,1,1,2,2,1,2,115,31,3,2,1,2,2,3,2,0,5,1,3,1,1,3,1,2,2,4,5,0,2,5,2,5,3,1,2,2,2,1,10,14
1,115,32,3,5,10,8,4,1,4,8,1,7,1,1,1,2,1,2,2,2,3,2,4,2,2,3,4,4,2,1,3,1,1,2,2,2,9,4,3,3,2,3,4,2,2,4,2,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,115,32,3,2,2,2,2,2,1,3,1,1,3,2,1,1,3,1,3,2,5,4,4,5,1,6,3,1,1,1,1,1,12,3
1,115,33,3,1,4,5,5,1,1,11,5,5,7,1,1,1,1,2,2,2,4,3,4,2,2,2,1,1,1,1,5,1,4,2,4,2,4,1,2,3,3,2,3,3,4,4,4,2,2,3,3,3,2,2,2,3,2,1,2,1,2,1,1,2,2,2,2,2,2,115,33,3,2,2,2,2,3,2,4,5,2,2,3,1,1,1,1,3,5,5,4,4,6,1,2,3,1,1,2,2,1,11,8
1,115,34,3,1,2,5,5,2,4,8,3,1,1,1,1,1,1,3,2,2,3,2,4,3,3,2,2,1,1,1,3,1,5,3,2,2,3,4,1,3,3,4,4,3,4,4,4,2,2,1,3,2,2,2,4,3,2,2,2,1,2,2,2,2,2,2,2,2,2,115,34,3,2,2,2,2,4,2,2,5,1,3,2,1,1,1,2,5,3,5,4,1,10,2,1,2,1,1,1,1,1,14,9
1,115,35,3,1,8,4,2,1,4,8,5,4,12,1,12,1,1,1,1,2,1,1,1,3,4,1,1,1,1,1,2,1,1,1,2,1,5,4,1,3,1,3,1,4,1,1,1,2,1,1,1,1,2,1,4,3,2,1,2,1,1,2,1,2,2,2,1,2,2,115,35,3,2,1,2,2,2,1,1,1,2,1,4,1,1,1,4,4,1,2,4,3,5,1,2,3,1,1,1,1,1,3,98
1,115,36,3,1,0,4,4,1,4,8,3,1,1,1,1,2,1,2,2,3,4,2,4,3,3,2,1,1,1,1,5,1,2,5,4,2,4,3,5,3,2,2,5,5,2,2,4,1,1,1,3,3,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,115,36,3,2,2,2,2,3,2,1,5,3,3,2,1,1,2,4,4,3,5,4,0,4,2,5,2,1,1,2,2,1,8,181
1,115,37,3,2,7,4,2,1,4,4,4,8,12,1,1,1,2,3,1,2,3,1,4,4,4,2,1,1,1,1,5,1,1,3,2,2,4,4,1,3,3,2,2,2,2,2,2,1,1,1,2,2,1,1,2,1,2,1,2,2,2,2,1,2,2,1,1,2,2,115,37,3,1,1,2,2,2,1,2,5,1,3,1,1,1,1,1,2,5,5,4,4,3,1,6,3,1,1,1,1,1,3,15
1,115,38,3,1,6,4,4,1,3,3,5,4,1,1,1,1,2,1,1,2,4,1,1,2,4,1,1,1,1,3,5,1,1,1,1,1,3,2,2,3,0,2,3,1,1,1,1,2,1,1,2,1,2,1,2,1,2,1,2,2,1,2,1,2,2,2,1,2,2,115,38,3,2,2,2,2,2,1,1,5,3,2,1,1,1,1,1,2,2,1,0,4,7,1,3,3,1,1,1,1,1,7,1
1,115,39,3,1,9,4,2,1,1,1,3,1,2,1,2,1,2,2,2,2,2,1,3,2,4,2,1,2,2,1,5,1,2,5,2,2,3,4,3,3,2,3,4,1,3,2,3,2,2,3,2,1,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,115,39,3,2,2,2,2,3,3,2,1,3,3,2,1,1,1,1,2,5,5,4,4,6,2,6,2,1,1,2,2,1,7,47
1,115,40,3,1,4,4,4,1,4,5,4,8,12,1,1,1,1,1,2,2,2,2,3,3,2,2,2,2,1,1,5,1,2,1,2,1,5,1,3,3,3,2,3,2,2,2,2,1,1,1,3,2,1,2,1,3,1,1,2,2,1,1,1,2,1,2,2,2,2,115,40,3,2,2,2,2,2,1,2,5,3,3,2,1,1,1,4,5,2,5,4,4,5,2,6,1,1,2,2,2,1,3,74
1,115,41,3,1,6,4,3,1,4,7,3,3,12,1,1,2,1,2,1,2,2,2,2,3,4,2,2,2,2,1,3,1,2,3,2,2,5,2,3,3,3,3,2,5,2,2,3,2,1,1,3,2,1,1,2,2,1,2,1,2,2,2,2,1,2,1,1,1,2,115,41,3,2,2,2,2,2,3,2,1,1,2,2,1,1,1,2,5,3,5,4,4,5,1,2,3,1,2,2,2,1,3,21
1,115,42,3,1,9,4,1,1,4,1,4,9,12,1,1,2,3,2,3,2,3,2,3,3,4,3,2,2,1,1,5,1,1,2,2,3,3,2,1,3,4,3,1,1,1,4,3,1,1,1,2,3,1,2,2,3,1,2,2,1,2,2,2,1,2,2,2,2,2,115,42,3,2,2,2,2,2,2,2,5,1,2,2,1,1,1,2,5,3,5,4,4,4,1,10,3,1,1,1,2,1,3,85
1,115,43,3,1,5,4,2,1,4,3,4,7,12,1,12,2,1,1,2,2,3,2,3,2,3,2,2,2,1,1,3,3,2,2,2,1,5,3,3,3,2,3,5,2,2,1,1,2,2,1,3,1,1,1,2,3,1,1,2,2,1,2,1,1,2,2,1,2,2,115,43,3,2,1,2,2,2,3,2,5,2,1,2,1,1,2,0,0,3,2,4,4,9,1,2,3,1,1,1,1,1,3,18
1,115,44,3,1,9,4,1,1,4,7,5,5,12,1,1,2,1,1,2,2,2,1,4,4,4,1,3,2,1,1,3,1,1,1,2,1,3,2,2,3,1,2,3,5,1,1,4,2,2,1,3,2,1,1,2,1,2,1,2,1,2,2,1,1,2,2,1,2,2,115,44,3,2,2,2,2,2,2,3,5,2,2,3,1,1,1,1,2,5,4,4,4,1,2,2,3,1,1,1,1,1,3,58
1,115,45,3,1,9,4,4,1,4,6,4,8,12,1,1,2,1,2,2,2,2,2,4,3,4,1,2,2,2,1,4,1,2,3,2,2,3,4,1,3,1,2,2,4,4,4,4,2,1,1,2,1,2,1,2,3,2,1,2,2,2,2,1,1,2,2,1,2,2,115,45,3,1,2,2,2,2,2,2,3,2,3,3,1,1,1,2,5,2,5,4,4,5,2,5,3,1,1,1,1,1,3,69
1,115,46,3,1,4,4,3,2,4,9,4,8,12,1,1,2,1,1,2,1,3,2,4,2,2,3,2,2,1,1,3,1,2,2,2,1,5,2,2,3,2,3,2,2,4,3,3,2,2,1,2,2,2,1,2,2,1,1,2,1,2,2,1,1,2,2,2,2,2,115,46,3,2,2,2,2,2,2,2,5,3,3,3,1,1,1,1,1,2,5,4,4,5,1,3,3,1,1,2,1,1,3,26
1,115,47,3,1,9,4,2,2,4,4,3,1,1,1,1,2,1,1,1,2,3,1,4,3,4,1,1,2,1,1,5,1,1,2,4,2,5,1,3,3,2,1,6,3,1,1,1,1,1,1,1,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,1,2,2,115,47,3,2,2,2,2,2,1,3,3,2,3,3,1,1,1,1,3,5,5,4,4,4,1,5,1,1,1,1,1,1,8,58
