CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6A.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.13A.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48A.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.60.,Q.61.,Q.62.,Q.63.,Q.64.,Q.65.,Q.65..1,Q.65..2,Q.65..3,Q.65..4,Q.65..5,Q.65..6,Q.65..7,Q.65..8,Q.65..9,CARD..1,DECK..1,BALLOT..1,X.,X..1,Q.66.,Q.67.,Q.68.,Q.69.,Q.70.,Q.71.,Q.71..1,Q.71..2,Q.71..3,Q.71..4,Q.72.,Q.73.,Q.74.,Q.75.,Q.76.,Q.76..1,Q.76..2,Q.76..3,Q.76..4,Q.76..5,Q.76..6,Q.76..7,Q.76..8,Q.76..9,Q.76..10,Q.76..11,Q.76..12,Q.76..13,V.78.,V.79.
1,233,1,1,3,3,3,4,1,3,5,1,2,1,7,4,5,2,4,1,3,3,2,1,8,3,6,5,4,8,6,6,6,1,4,1,4,3,1,5,3,3,2,1,1,2,1,1,5,1,2,1,3,2,2,2,8,8,0,2,2,1,2,2,2,2,1,1,2,2,2,233,1,2,2,3,4,6,7,5,1,2,2,2,2,1,2,3,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,16,59
1,233,2,1,3,2,1,3,3,3,4,1,2,4,8,1,2,2,1,1,1,2,1,1,3,1,1,2,3,2,1,5,4,1,2,1,2,2,2,3,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,8,8,8,5,2,1,2,2,1,2,2,2,2,1,2,233,2,2,2,1,2,1,1,3,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,17,54
1,233,3,1,3,2,3,1,1,3,3,1,3,1,7,1,1,5,1,1,2,2,1,1,1,2,2,4,3,5,1,1,1,1,2,3,4,1,5,5,1,1,6,2,1,1,3,2,5,1,3,2,2,2,1,2,8,8,5,3,1,1,2,2,2,2,2,2,2,2,2,233,3,2,2,1,1,2,1,3,2,1,2,2,2,2,3,4,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,18,5
1,233,4,1,3,2,1,2,8,2,3,1,2,5,8,2,1,2,1,1,2,2,1,1,8,3,6,5,4,8,6,6,6,4,0,6,8,5,0,0,1,1,0,2,2,2,1,1,3,3,2,1,2,2,1,2,8,8,0,5,2,2,2,2,2,2,2,2,2,2,2,233,4,2,1,1,1,2,1,5,2,1,2,2,2,2,1,2,3,2,2,2,2,1,2,2,2,1,2,2,2,2,2,19,18
1,233,5,1,3,3,1,1,3,2,3,1,2,5,8,2,2,4,1,2,2,3,1,1,8,3,6,5,4,8,6,6,6,1,2,6,8,1,1,4,1,1,0,1,2,1,1,1,2,3,4,1,1,3,1,2,8,8,6,1,2,2,2,2,2,2,2,2,2,2,2,233,5,2,1,2,1,2,1,6,2,2,1,2,2,7,2,4,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,19,26
1,233,6,1,4,5,4,4,1,3,3,2,0,6,8,2,3,2,1,3,2,2,1,0,2,2,2,1,3,2,2,2,5,1,2,1,5,1,2,5,3,6,1,1,2,1,1,1,3,2,2,2,0,2,2,2,8,8,1,5,2,1,2,2,2,2,2,2,2,2,2,233,6,2,2,1,5,6,7,1,1,1,2,2,2,1,0,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,12
1,233,7,1,4,1,1,1,6,2,4,2,3,1,7,2,2,2,3,3,3,2,3,3,3,2,1,1,2,7,1,4,3,1,2,1,1,1,5,1,3,6,0,1,2,3,2,3,1,3,2,2,2,3,2,2,8,8,5,2,2,2,2,2,1,2,2,2,2,2,2,233,7,2,2,2,6,5,5,5,1,2,2,2,2,1,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18
1,233,8,2,4,3,3,4,1,3,4,2,4,6,0,3,4,3,1,2,3,2,1,1,8,3,6,5,4,8,6,6,6,3,3,6,8,5,2,2,1,1,4,1,2,1,1,1,3,3,2,1,2,2,1,2,8,8,6,1,2,2,2,2,2,2,2,2,2,2,2,233,8,2,1,4,0,6,1,6,1,2,2,2,2,1,1,4,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,41
1,233,9,1,4,2,3,4,3,3,3,2,1,1,7,2,2,4,4,2,2,2,2,2,3,2,2,3,3,7,1,5,5,1,2,1,4,1,1,5,1,6,1,1,2,1,1,1,2,2,2,1,3,2,2,2,8,8,1,4,1,1,2,2,2,2,1,2,2,2,2,233,9,2,2,2,1,5,7,2,2,2,1,2,2,2,4,4,4,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,43
1,233,10,3,4,5,3,3,1,3,4,1,4,5,8,3,3,5,2,2,3,3,1,2,3,1,2,3,3,6,1,5,5,1,2,1,4,1,2,2,1,1,3,1,2,1,1,2,2,1,2,1,2,2,2,2,8,8,6,1,2,2,2,1,2,1,2,2,2,2,2,233,10,2,2,2,1,4,3,5,1,2,2,2,2,1,2,3,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,45
