COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85,COL86,COL87,COL88,COL89,COL90,COL91,COL92,COL93,COL94,COL95,COL96,COL97,COL98,COL99,COL100,COL101,COL102,COL103,COL104,COL105,COL106,COL107,COL108,COL109,COL110,COL111,COL112,COL113,COL114,COL115,COL116,COL117,COL118,COL119,COL120,COL121,COL122,COL123,COL124,COL125,COL126,COL127,COL128,COL129,COL130
1,64,2023,1,5,5,0,1,1,5,3,1,3,2,3,2,2,5,2,2,1,2,1,2,1,1,3,2,3,1,2,2,2,2,4,4,2,2,3,2,2,1,2,3,1,2,2,2,2,3,4,2,2,1,3,2,3,1,3,3,3,1,2,1,2,1,,206,4202,3,1,1,2,3,3,2,2,2,5,1,1,3,2,1,3,2,2,3,2,2,2,2,2,2,4,3,2,2,3,2,3,2,2,2,2,3,2,21,1,1,3,1,3,2,2,2,3,20,60,7,0,2,2,6,4,2,1,2,0,39
1,64,2024,1,6,5,0,5,1,5,3,1,3,2,3,4,9,3,2,1,1,2,1,1,1,1,1,2,2,1,2,2,2,9,2,1,1,2,1,11,2,11,3,1,1,2,3,2,2,3,4,3,2,2,2,1,2,1,2,3,1,1,1,1,2,1,,206,4202,4,1,1,1,2,3,2,1,1,1,1,1,2,2,1,2,1,2,2,1,3,3,4,2,1,3,2,3,1,2,2,2,2,2,2,2,4,1,21,1,1,4,1,3,3,3,2,4,20,20,9,0,3,3,7,4,6,1,2,5,37
1,64,2025,1,6,5,3,1,1,5,3,2,3,2,1,9,9,5,1,2,1,2,2,2,1,1,3,2,2,2,2,2,2,9,3,1,2,2,3,1,2,2,2,1,1,2,1,1,2,2,1,4,3,2,2,2,1,1,1,1,1,1,2,1,2,2,,206,4202,5,2,2,1,1,3,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,2,2,1,2,2,1,2,2,4,2,1,1,1,3,2,10,1,1,1,3,3,3,6,7,3,30,71,0,3,2,2,6,3,2,0,0,4,30
1,64,2026,1,3,5,1,4,1,5,3,1,3,1,2,13,11,2,2,2,3,2,1,2,1,2,3,2,2,3,2,2,2,11,3,3,2,1,3,2,2,3,1,1,1,1,3,2,3,2,4,2,2,1,2,3,2,1,1,1,1,1,2,1,2,1,,206,4202,6,1,2,1,2,2,1,3,1,1,1,1,1,2,1,2,2,5,2,1,2,2,3,1,2,4,2,2,1,3,2,2,2,2,1,3,4,2,20,2,4,3,1,3,3,4,5,4,30,50,8,1,3,2,5,3,3,2,2,1,11
1,64,2027,1,3,5,6,1,1,5,3,1,3,3,1,11,1,3,1,1,2,2,1,2,1,1,2,3,2,1,2,2,2,16,5,2,2,4,3,1,2,4,2,3,1,1,1,4,2,1,4,2,5,2,5,5,2,1,1,3,1,1,2,1,2,1,,206,4202,7,1,1,1,2,3,3,4,1,5,1,1,1,2,1,1,1,1,1,2,1,3,1,1,1,1,3,2,1,3,2,4,1,1,1,3,3,1,10,3,1,6,2,3,2,6,4,3,20,71,2,4,4,1,6,5,3,1,2,3,50
1,64,2028,1,9,5,0,4,1,5,3,1,3,3,3,4,4,5,1,1,2,2,1,1,1,3,1,3,2,1,1,2,2,4,5,1,2,3,2,1,2,6,3,2,1,1,3,3,4,3,4,2,5,1,2,1,2,1,1,3,1,2,2,1,1,1,,206,4202,8,1,1,6,1,1,3,1,1,1,1,1,1,3,1,3,1,1,1,1,3,3,3,2,1,1,2,2,1,3,2,1,1,1,6,1,4,1,21,1,2,5,1,3,3,4,3,3,20,31,1,2,3,4,5,5,4,1,2,4,40
1,64,2029,1,2,5,7,1,1,5,3,1,3,2,1,9,9,2,1,1,3,2,1,1,1,2,1,2,3,3,2,2,1,9,5,1,3,2,2,1,2,4,2,3,1,1,2,1,2,2,4,5,1,3,2,2,2,2,1,3,1,1,2,1,2,1,,206,4202,9,1,2,1,2,2,1,1,1,1,1,1,2,2,1,2,2,2,3,3,2,2,2,2,2,2,2,2,1,3,3,4,1,1,1,2,1,1,10,5,3,2,2,3,3,4,5,5,10,60,9,4,3,3,6,3,5,1,2,4,20
1,64,2030,1,7,3,2,1,5,2,2,2,6,2,2,6,10,7,4,2,1,1,1,2,1,1,2,2,2,2,3,2,2,10,4,3,2,1,3,1,2,6,3,3,1,2,1,1,1,1,2,4,2,1,3,1,4,1,1,3,1,2,1,1,1,1,,206,4203,0,1,2,1,2,3,2,3,1,2,1,1,2,3,2,3,3,3,3,4,2,2,4,3,2,4,3,3,2,3,1,1,2,2,1,2,2,6,30,1,2,5,3,0,1,0,3,4,10,40,6,1,2,3,5,3,4,2,2,1,15
1,64,2031,1,4,4,3,4,1,5,3,1,4,1,3,3,10,4,3,2,3,1,2,2,1,2,2,2,2,1,3,2,1,4,3,3,2,3,4,1,3,3,3,2,1,1,3,2,2,2,4,3,2,1,2,1,2,1,1,3,1,1,2,1,2,1,,206,4203,1,1,2,1,2,2,1,1,1,1,1,1,1,3,1,4,3,3,2,2,3,2,2,2,2,2,3,2,1,3,3,2,2,1,2,2,3,1,21,1,2,2,2,0,4,2,5,4,20,50,9,1,3,4,4,4,1,0,2,1,26
1,64,2032,9,12,9,0,6,1,5,3,2,4,3,4,9,9,4,4,1,3,2,1,1,1,2,1,3,2,3,2,2,2,9,2,3,2,1,1,3,3,7,3,2,1,3,4,2,2,2,1,2,2,1,1,2,1,1,1,2,1,1,2,1,1,1,,206,4203,2,1,2,1,2,2,1,1,1,2,2,1,2,3,1,2,2,2,2,2,2,3,3,2,2,4,3,1,2,3,1,2,2,2,2,3,1,3,11,1,4,4,2,3,3,2,6,4,10,40,7,1,3,6,6,3,7,2,2,2,17
1,64,2033,2,6,5,6,1,1,5,3,1,3,1,3,13,11,1,2,1,3,2,2,3,1,2,1,3,3,3,1,2,2,11,2,1,2,2,1,1,3,1,1,1,2,3,4,3,3,1,4,2,3,2,2,2,2,1,3,3,1,1,2,1,2,2,,206,4203,3,2,1,2,2,2,1,2,1,1,1,1,2,3,2,3,2,2,4,2,2,3,4,4,4,4,3,2,1,3,2,4,2,2,1,1,3,2,10,2,3,5,0,3,3,0,2,3,20,30,3,2,2,3,3,3,6,0,0,5,10
1,64,2034,2,9,4,6,1,4,1,2,1,4,2,4,5,5,4,1,2,2,1,1,2,1,2,3,2,4,2,2,2,2,5,4,2,2,3,4,2,3,3,1,1,2,2,3,3,3,2,4,5,2,2,2,2,2,2,1,1,2,2,2,2,2,1,,206,4203,4,1,1,1,2,2,2,2,1,1,1,1,2,4,1,3,1,1,1,4,1,4,4,3,3,1,3,3,1,2,1,2,2,3,2,2,2,1,30,8,1,5,0,2,1,3,3,2,30,40,8,0,3,4,4,3,0,1,2,3,37
1,64,2035,2,11,4,2,5,1,5,3,1,3,2,3,5,5,3,1,1,2,2,1,2,1,1,3,2,2,1,1,2,2,5,3,2,2,2,3,3,3,4,3,1,2,1,2,2,2,1,4,1,3,2,1,2,2,1,2,2,3,2,1,1,1,2,,206,4203,5,2,1,2,3,3,1,1,2,2,2,2,2,2,1,2,2,2,1,2,3,2,4,1,2,2,4,2,2,2,1,2,2,2,2,2,3,2,20,1,1,3,1,3,4,4,0,2,10,31,0,0,4,6,6,5,2,1,0,3,37
1,64,2036,2,2,4,7,3,4,2,2,1,3,3,2,8,9,4,1,1,1,3,2,2,1,1,3,2,2,2,1,2,2,9,3,1,2,2,2,2,2,5,3,2,1,1,1,3,4,3,4,2,3,2,2,1,3,2,3,2,3,6,6,6,6,6,,206,4203,6,6,6,6,5,5,4,5,2,2,1,1,1,1,1,3,2,4,3,3,1,2,3,1,1,2,3,1,1,3,3,4,1,2,2,2,3,2,20,3,3,4,2,2,1,4,0,2,10,61,1,3,4,5,5,3,3,0,2,4,20
1,64,2037,2,10,3,7,3,4,3,2,2,3,2,2,9,9,6,1,1,1,2,1,1,1,1,3,2,4,2,1,2,1,9,3,3,2,3,4,1,3,11,3,1,1,1,3,1,3,2,4,1,3,2,2,4,1,1,1,3,1,1,2,1,1,2,,206,4203,7,2,2,1,2,2,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,2,2,2,2,4,1,1,3,1,3,1,1,1,2,3,1,11,1,4,4,2,3,4,5,6,3,10,80,9,4,5,3,7,2,0,1,0,1,27
1,64,2038,2,4,4,9,1,1,5,3,1,3,2,3,4,9,3,1,1,1,2,1,2,1,1,2,2,2,2,1,2,2,9,1,1,2,2,3,11,2,11,2,1,1,2,3,1,3,2,4,2,4,2,2,4,3,1,2,2,1,1,1,1,2,1,,206,4203,8,1,2,1,3,3,2,1,1,2,1,1,2,2,1,3,1,2,2,2,2,2,2,2,2,2,3,1,1,1,2,1,2,4,2,1,3,6,20,1,4,5,2,3,3,3,3,2,20,60,9,1,3,1,6,3,3,1,2,6,10
1,64,2039,2,11,1,2,5,1,5,3,1,4,3,2,8,8,3,2,1,3,3,3,1,1,1,1,3,3,3,3,2,1,9,5,1,2,1,1,3,2,3,2,2,1,1,1,1,4,2,5,5,1,1,3,3,1,1,1,1,1,1,2,1,2,2,,206,4203,9,2,2,1,1,1,3,2,1,1,1,1,2,2,1,1,4,1,3,1,1,1,1,1,2,2,3,2,1,3,3,4,2,1,1,3,4,1,20,4,1,4,4,0,1,4,7,5,40,91,0,3,4,1,6,3,7,1,0,4,26
1,64,2040,2,6,4,9,1,1,5,3,1,5,2,3,4,9,3,1,1,1,2,1,2,1,1,2,2,4,1,3,2,2,9,2,1,2,2,10,4,2,5,2,3,1,2,2,2,2,2,4,1,3,1,1,2,1,1,1,3,1,1,2,1,2,1,,206,4204,0,1,2,1,2,2,1,2,1,1,1,1,2,2,1,2,2,2,3,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,3,2,10,3,4,4,1,2,3,4,6,3,20,70,9,0,2,4,6,3,3,1,2,5,20
1,64,2041,2,11,3,0,3,1,5,3,1,3,2,1,12,12,5,1,2,1,2,1,2,1,2,3,2,2,1,1,2,1,12,4,4,2,1,4,2,1,3,2,1,3,1,1,2,4,1,4,2,3,1,3,2,4,1,1,1,1,1,1,1,2,1,,206,4204,1,1,1,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,3,2,3,4,3,3,1,1,4,3,1,3,2,4,2,1,1,2,3,1,10,1,3,5,2,3,3,6,2,3,30,31,0,3,4,2,5,4,2,2,2,0,37
