CARD.,DECK.,BALLOT.,,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,V.12A.,Q.13.,Q.14.,Q.15.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44A.,Q.44B.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.55.,Q.56.,Q.56..1,Q.56..2,Q.57.,Q.58.,CARD..1,DECK..1,BALLOT..1,NA.1,Q.59.,Q.63.,Q.64A.,Q.65.,Q.66.,Q.67.,Q.68.,Q.69.,Q.70.,Q.70..1,Q.70..2,Q.70..3,Q.70..4,Q.70..5,Q.70..6,Q.71.,Q.72A.,Q.72B.,Q.72C.,Q.72D.,Q.72E.,Q.72F.,Q.73.,Q.74.,Q.75.,Q.76.,Q.77.,Q.77..1,Q.77..2,Q.77..3,Q.77..4,Q.77..5,Q.77..6,Q.77..7,Q.77..8,Q.77..9,Q.77..10,Q.77..11,Q.77..12,Q.77..13,Q.77..14,Q.77..15,Q.78.,Q.79.,Q.80.,Q.81.,Q.82A.,Q.82B.,Q.83A.,Q.83B.,Q.83B..1,Q.83B..2,Q.83B..3,Q.83B..4,Q.83B..5,Q.83B..6,Q.83B..7,Q.83B..8,Q.83B..9,Q.83B..10,Q.83B..11,Q.83B..12,Q.83B..13,Q.83B..14,Q.83B..15,Q.83B..16,Q.83B..17,CARD..2,DECK..2,BALLOT..2,NA.2,X.,X..1,X..2,X..3,Q.84.,V.86.,V.87.,V.88.,V.89.
1,115,1,1,1,5,6,3,2,2,10,8,2,2,6,1,1,6,1,2,2,1,3,2,2,3,2,1,2,1,1,3,3,2,2,4,2,4,4,2,2,3,3,3,4,2,2,1,3,3,3,4,2,2,1,2,4,1,2,2,3,2,1,1,2,2,115,1,1,2,1,2,2,1,1,4,5,2,1,2,2,2,2,2,5,1,1,1,1,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,5,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,115,1,1,2,2,2,2,2,1,15,19,5
1,115,2,1,4,5,6,5,4,2,6,6,4,4,5,1,1,3,4,1,1,2,2,2,2,2,1,1,2,3,1,3,6,9,2,3,1,4,2,2,2,4,2,1,4,2,1,1,3,11,3,8,3,3,1,4,3,3,1,2,3,3,3,3,1,2,115,2,1,3,2,1,2,1,1,3,5,2,2,2,1,2,2,2,4,2,1,1,1,2,1,2,4,4,3,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,5,3,1,11,1,3,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,115,2,1,2,2,2,2,4,1,4,37,2
1,115,3,1,3,5,6,6,4,2,7,8,2,4,12,1,1,12,3,1,2,3,1,2,2,2,2,1,2,2,1,3,3,1,2,3,3,2,2,3,1,2,4,3,4,2,2,1,3,3,2,5,3,3,1,2,3,2,2,2,1,1,3,2,1,2,115,3,1,2,3,3,2,1,1,4,5,2,2,2,1,2,2,2,4,1,2,1,1,2,1,1,2,3,4,1,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,5,6,1,3,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,115,3,1,2,2,2,2,2,1,8,33,4
1,115,4,1,2,5,6,7,5,2,7,3,2,4,14,1,1,4,3,1,2,1,2,2,1,3,2,2,2,2,1,2,3,2,2,3,3,2,1,1,2,4,3,2,4,2,1,2,1,2,2,4,3,2,1,3,3,1,1,3,3,1,1,3,1,2,115,4,1,2,2,1,2,1,1,4,5,2,2,2,1,2,2,2,4,1,1,2,1,2,1,1,2,2,3,1,1,2,1,2,1,2,2,2,2,2,2,2,1,2,2,8,4,1,3,1,3,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,115,4,1,2,2,2,2,2,1,8,5,4
1,115,5,1,2,5,6,7,5,2,7,3,2,4,14,1,1,4,3,1,2,1,2,2,1,3,2,2,2,2,1,2,3,2,2,3,3,2,1,1,2,4,3,2,4,2,1,2,1,2,2,4,3,2,1,3,3,1,1,3,3,1,1,3,1,2,115,5,1,2,2,1,2,1,1,4,5,2,2,2,1,2,2,2,4,1,1,2,1,2,1,1,2,2,3,1,1,2,1,2,1,2,2,2,2,2,2,2,1,2,2,8,4,1,3,1,3,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,115,5,1,2,2,2,2,2,1,8,5,4
1,115,6,1,5,6,6,3,2,2,4,8,2,5,13,1,1,8,3,1,2,3,2,2,1,2,2,2,2,3,1,4,2,1,2,3,2,4,3,1,4,4,1,3,3,2,2,2,1,2,1,4,3,1,1,3,2,2,2,2,3,3,3,3,1,2,115,6,1,3,2,1,1,1,1,4,5,1,2,2,2,2,2,2,4,1,1,2,1,2,2,2,2,2,2,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,6,5,1,4,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,115,6,1,2,2,2,2,2,1,17,13,3
1,115,7,1,4,6,6,2,3,2,8,8,2,5,6,1,1,6,3,0,1,2,2,2,2,1,1,1,2,3,1,4,3,1,2,3,1,4,1,3,2,4,2,2,3,2,2,2,3,3,0,4,3,2,1,2,5,1,1,2,3,3,3,3,1,2,115,7,1,3,2,1,2,1,2,4,5,1,2,2,2,2,2,2,5,1,2,2,1,2,2,1,2,3,4,1,1,2,2,1,2,2,1,1,2,1,2,1,2,2,2,10,5,1,2,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,115,7,1,2,2,2,2,5,1,11,144,1
1,115,8,1,4,6,6,3,4,2,9,9,1,6,24,1,1,24,4,1,1,3,2,2,2,2,1,1,1,2,1,4,2,1,2,2,1,2,1,2,4,4,3,3,3,1,3,2,1,2,2,3,3,3,1,2,4,1,2,2,1,3,3,2,2,2,115,8,1,2,3,3,2,2,2,4,5,2,2,2,1,2,2,2,6,2,2,2,1,2,1,3,1,2,4,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,10,4,2,3,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,115,8,1,2,2,2,2,1,1,13,129,5
1,115,9,1,3,6,6,5,1,2,6,6,2,4,11,1,1,6,2,2,1,1,2,2,2,2,1,1,2,2,1,2,6,10,2,2,1,1,2,3,2,4,3,2,3,2,2,2,1,2,3,4,2,1,3,2,3,1,2,2,1,1,1,3,2,2,115,9,1,4,2,1,1,1,2,4,5,2,2,2,1,2,2,2,4,2,1,2,1,2,2,2,2,3,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,10,4,1,5,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,115,9,1,2,2,2,2,3,1,15,2,2
1,115,10,1,4,7,6,5,3,2,8,8,2,5,19,1,1,12,2,1,1,2,2,2,2,2,3,1,2,2,1,3,3,1,2,4,2,3,2,2,4,3,2,4,4,2,4,2,1,2,2,10,3,1,1,4,3,2,2,2,1,3,3,2,1,2,115,10,1,2,2,1,2,1,2,4,5,1,2,2,2,2,2,2,5,1,1,2,1,1,1,1,1,4,4,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,6,4,1,2,1,3,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,115,10,1,2,2,2,2,5,1,11,154,1
