CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7B.,Q.7C.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.16A.,Q.16B.,Q.17A.,Q.17B.,Q.19.,Q.20.,Q.21A.,Q.21B.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29A.,Q.0.,Q.29B.,Q.29C.,Q.29D.,Q.29E.,Q.29F.,Q.29G.,Q.30A.,Q.30B.,Q.31.,Q.32A.,Q.32B.,Q.32C.,Q.33.,Q.34.,Q.35.,Q.36A.,Q.37.,Q.38.,Q.39.,Q.41.,Q.42.,Q.42..1,Q.43A.,Q.43B.,Q.43C.,Q.44.,Q.45A.,Q.45B.,Q.46A.,Q.46B.,Q.48.,CARD..1,DECK..1,BALLOT..1,FORM..1,Q.49A.,Q.49B.,Q.49C.,Q.49D.,Q.49E.,Q.49F.,Q.49G.,Q.49H.,Q.50A.,Q.50B.,Q.50C.,Q.53A.,Q.53B.,Q.53C.,Q.54.,Q.55A.,Q.55B.,V.57.,V.58.
1,100,15,3,5,1,4,3,1,5,54,17,1,1,2,2,1,3,2,0,3,2,2,3,1,2,0,5,6,0,3,3,1,3,5,0,1,1,0,5,1,2,1,1,0,1,2,2,2,2,0,3,3,2,1,4,1,2,3,1,3,2,1,1,2,2,3,2,100,15,3,2,0,1,1,0,2,2,2,1,2,2,1,2,1,2,0,0,2,36
1,100,16,3,5,1,4,3,1,2,60,14,1,2,1,1,1,3,2,1,1,2,1,2,1,2,1,5,0,1,3,1,3,3,2,0,1,1,1,1,1,1,3,1,1,8,5,1,1,2,1,3,1,3,2,4,1,3,3,1,1,3,2,3,2,0,1,2,100,16,3,1,3,1,1,2,1,2,2,4,2,0,0,0,0,0,0,0,3,31
1,100,17,3,6,1,5,3,3,0,999,21,1,2,2,2,1,3,2,2,2,2,1,1,1,2,0,2,3,4,3,1,1,3,4,0,1,1,5,5,1,1,2,2,1,1,3,2,1,1,1,0,3,2,1,4,12,3,4,2,2,1,1,3,0,0,4,2,100,17,3,2,2,1,1,2,1,1,1,3,1,2,1,2,1,2,2,2,3,25
1,100,18,3,4,2,2,1,1,4,75,21,1,2,2,1,1,1,3,3,3,4,3,1,8,2,2,2,2,4,3,3,3,3,2,0,1,1,1,1,1,5,1,1,1,8,5,1,1,1,1,0,1,1,2,4,11,1,4,1,2,2,1,3,2,1,1,2,100,18,3,1,2,1,2,2,1,2,1,4,1,1,1,1,1,2,0,2,10,41
1,100,19,3,5,1,4,3,1,6,63,21,1,2,1,2,1,1,2,3,1,2,1,2,2,0,2,2,3,2,3,2,1,1,6,0,1,1,2,2,1,1,2,1,3,1,4,5,3,2,1,5,0,4,1,4,1,2,3,1,2,4,1,3,2,2,0,2,100,19,3,1,2,1,1,3,1,2,3,3,2,2,1,2,0,2,1,0,3,24
1,100,20,3,6,1,3,3,1,2,55,12,1,2,2,2,1,1,2,3,2,3,2,3,1,2,2,2,3,4,3,3,3,3,5,0,5,5,5,0,1,5,0,0,0,1,2,2,3,2,2,3,2,4,2,4,9,1,4,1,1,4,1,3,2,1,3,2,100,20,3,2,3,1,1,2,2,2,1,4,2,2,2,2,2,2,2,1,4,21
1,100,21,3,5,1,4,4,1,3,60,21,1,2,2,1,2,1,2,2,1,2,1,3,4,2,1,2,2,4,3,3,1,1,5,0,1,1,5,1,1,1,1,2,1,1,3,4,3,1,2,3,2,2,2,4,2,4,3,1,1,4,1,2,2,1,3,2,100,21,3,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,1,1,7,43
1,100,22,3,6,1,2,4,1,2,50,27,1,1,1,1,1,1,3,2,1,1,1,1,7,1,2,2,4,2,3,3,1,3,5,0,1,1,1,1,5,5,1,1,2,1,2,2,2,1,1,2,3,4,1,4,9,1,4,1,2,2,1,1,2,2,4,2,100,22,3,2,2,2,1,3,2,3,3,4,2,2,1,2,2,2,1,2,8,28
1,100,23,3,5,1,5,1,1,3,49,21,1,2,1,2,1,1,2,3,3,2,3,2,1,1,2,3,5,4,3,3,3,3,2,0,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,3,2,2,1,4,8,1,4,1,2,2,0,0,2,2,3,2,100,23,3,1,2,1,1,2,1,1,2,2,2,2,1,1,1,2,2,2,1,38
1,100,24,3,5,1,3,3,1,1,40,13,1,2,1,1,1,2,2,3,1,3,1,3,1,1,3,3,4,4,3,3,3,3,2,0,3,1,2,2,1,1,2,2,3,1,4,4,3,2,2,1,2,3,1,4,4,3,2,1,2,4,1,3,1,1,2,2,100,24,3,2,2,1,1,1,2,2,3,3,2,2,2,2,3,2,0,0,1,40
1,100,25,3,6,1,3,2,1,6,45,2,1,2,1,1,1,1,2,2,1,2,1,3,1,2,3,3,6,3,3,3,3,3,2,0,2,1,1,1,1,1,1,2,2,7,3,2,2,2,2,0,1,2,1,4,9,1,4,1,1,3,1,1,2,1,3,2,100,25,3,2,2,1,1,2,1,2,1,5,2,2,1,2,2,2,1,2,1,55
1,100,26,3,6,1,4,4,1,3,999,999,1,2,2,2,1,1,2,3,1,3,1,3,8,2,1,3,3,2,3,3,3,3,1,0,2,2,4,2,1,1,1,3,1,1,2,5,2,3,0,3,3,3,2,4,1,2,3,1,2,3,2,3,2,2,3,2,100,26,3,1,3,1,1,2,3,3,3,3,2,2,2,2,0,2,1,1,5,65
1,100,27,3,5,3,2,2,1,4,999,15,1,2,2,1,2,2,2,2,2,2,2,3,0,3,2,3,6,2,3,2,0,1,2,0,2,3,1,1,1,1,1,3,1,1,3,5,2,2,2,3,3,4,1,4,10,3,1,1,4,3,2,3,1,1,2,2,100,27,3,1,2,1,1,1,1,2,3,3,2,2,1,1,2,2,2,2,10,36
1,100,28,3,5,1,4,3,1,3,77,7,2,2,1,2,3,1,2,4,2,3,2,1,8,2,2,1,4,3,3,2,1,1,2,0,5,1,2,4,1,1,1,2,0,9,2,4,2,3,1,1,1,2,1,4,3,4,4,2,1,3,1,3,2,2,3,2,100,28,3,1,2,1,1,2,2,2,2,4,1,2,1,2,2,2,0,0,5,63
1,100,29,3,5,1,4,3,1,5,50,12,2,2,1,2,1,1,2,4,0,2,2,2,8,2,2,1,4,4,2,3,1,1,2,0,5,1,5,2,5,1,3,1,0,0,0,5,0,2,1,3,1,3,1,4,1,2,3,1,2,2,1,4,2,2,4,2,100,29,3,2,2,1,2,2,1,3,2,1,3,2,1,1,1,2,1,2,2,42
1,100,30,3,5,1,4,4,1,5,75,12,2,2,1,2,1,1,3,1,1,2,1,3,8,1,3,2,4,4,3,2,1,3,3,0,5,1,3,1,1,1,2,2,1,0,5,2,2,2,2,3,2,3,1,4,1,2,4,1,1,2,0,3,2,2,3,2,100,30,3,1,2,1,1,3,1,3,1,2,1,1,1,1,1,2,2,2,2,47
1,100,31,3,4,1,3,5,1,3,100,30,2,2,2,2,1,1,2,2,2,2,2,3,0,2,2,3,2,1,3,3,1,1,5,0,2,2,2,3,3,2,2,2,1,1,3,5,2,2,2,3,2,2,1,4,2,5,3,1,2,3,1,3,2,1,2,2,100,31,3,2,2,1,1,2,1,1,2,3,2,2,1,3,2,2,0,0,11,33
1,100,32,3,4,1,4,4,1,7,100,14,3,3,1,1,1,1,3,4,2,4,2,2,8,3,2,3,6,4,3,3,3,3,5,0,4,5,5,5,1,5,0,1,0,10,5,3,2,1,2,3,1,4,2,4,1,2,4,1,1,4,1,4,2,1,1,2,100,32,3,1,3,1,1,3,1,2,1,4,3,2,1,2,2,2,1,2,1,36
1,100,33,3,4,1,4,3,1,5,50,25,2,2,1,2,1,1,2,0,2,2,1,2,1,2,2,3,0,1,3,1,1,3,2,0,1,1,3,2,1,1,0,1,0,1,3,5,3,2,2,3,1,4,1,4,1,2,2,1,1,2,1,3,2,2,3,2,100,33,3,2,3,1,1,2,1,3,2,3,1,0,1,2,3,2,1,0,2,41
1,100,34,3,4,1,3,4,1,4,76,23,0,2,2,2,2,1,2,3,2,3,2,2,8,2,0,3,3,4,2,3,1,1,2,0,5,1,5,5,5,5,2,2,1,1,2,5,3,2,0,0,0,2,2,4,1,2,3,1,2,4,1,2,2,1,2,2,100,34,3,2,2,1,1,2,1,0,3,4,0,2,3,2,2,2,0,0,10,34
1,100,35,3,4,1,3,4,1,5,55,18,2,2,1,2,1,2,2,3,2,2,2,3,8,2,2,3,3,1,3,3,1,1,2,0,0,0,0,0,2,2,2,2,1,1,3,3,2,3,2,3,2,3,1,4,4,2,3,1,2,3,2,4,2,1,2,2,100,35,3,1,3,1,1,1,1,1,3,5,1,1,1,1,1,2,1,2,12,13
1,100,36,3,4,1,3,3,1,3,72,21,2,2,1,2,3,1,2,4,3,3,3,2,8,2,2,3,1,4,3,3,1,1,2,0,2,1,1,5,1,1,1,2,0,1,3,4,2,2,1,3,1,2,1,4,8,1,3,1,4,2,1,4,2,1,3,2,100,36,3,2,2,1,1,2,2,2,2,4,2,2,0,0,0,0,2,2,4,27
