CARD.,DECK.,BALLOT.,FORM.,Q.1A.,Q.1B.,Q.2.,Q.3.,Q.4.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52A.,Q.53.,Q.54.,Q.55.,Q.56.,Q.57.,Q.58.,Q.59.,Q.60.,Q.60..1,Q.60..2,Q.60..3,CARD..1,DECK..1,BALLOT..1,FORM..1,FORM..2,FORM..3,FORM..4,FORM..5,FORM..6,FORM..7,FORM..8,Q.62.,Q.63.,Q.64.,Q.65.,Q.66.,Q.67.,Q.68.,Q.69.,Q.70.,Q.71.,Q.72.,Q.73.,Q.74.,Q.75.,Q.76.,Q.77A.,Q.78.,Q.79A.,Q.80.,Q.81.,Q.82.,Q.83.,Q.84.,Q.85.,Q.86.,Q.87.,Q.88.,Q.89.,Q.90.,Q.91.,Q.92.,Q.93.,Q.94.,Q.95.,Q.96.,Q.97.,Q.98.,Q.99.,Q.100A.,Q.101A.,Q.102.,Q.103.,Q.104.,Q.105.,V.107.,V.108.,V.109.,V.110.,V.111.,V.112.,V.113.,V.114.,V.115.,V.116.,V.117.
1,133,11,1,2,5,11,5,4,1,2,6,6,3,2,12,10,4,3,2,1,1,2,2,1,3,5,4,3,1,2,1,2,1,1,1,2,1,4,2,3,1,1,2,2,2,3,1,1,3,4,4,3,3,2,1,4,1,1,3,5,4,5,2,2,2,2,2,133,11,1,2,2,2,2,2,2,2,0,2,1,1,4,1,1,8,1,1,4,1,2,1,1,4,1,1,4,2,4,1,6,2,5,2,1,4,2,2,2,2,3,2,3,3,1,1,3,2,3,2,2,1,9,9,9,9,9,9,9,9,2,1,1
1,133,12,1,4,2,9,5,1,5,1,5,5,3,1,12,12,0,4,1,2,1,1,1,2,1,1,1,1,3,4,3,2,2,2,2,3,2,3,1,1,3,1,1,1,2,3,1,1,3,4,4,1,3,1,6,4,2,1,1,2,1,1,1,2,2,2,2,133,12,1,2,2,2,2,2,1,2,3,2,1,1,4,2,1,1,2,3,4,2,2,1,1,2,2,2,9,1,5,5,3,1,1,3,1,1,1,2,2,1,1,1,1,4,2,2,1,2,3,1,1,1,9,9,9,9,9,9,9,9,2,1,1
1,133,13,1,5,1,6,6,1,5,1,5,5,3,3,12,12,12,4,2,1,1,1,1,1,1,2,2,1,2,1,3,3,2,3,2,2,2,3,2,2,3,2,2,2,3,3,3,3,3,4,3,2,3,3,3,3,2,2,2,2,2,1,2,2,2,1,2,133,13,1,2,2,2,2,2,1,2,3,2,2,1,4,1,1,8,2,1,3,2,2,1,1,1,2,1,3,4,3,1,6,1,5,2,1,3,2,2,2,1,3,2,2,3,1,2,1,2,2,1,2,3,9,9,9,9,9,9,9,9,2,1,1
1,133,14,1,2,1,4,6,1,5,1,5,3,3,4,12,12,10,4,3,2,2,1,1,3,1,3,2,2,3,2,3,2,5,3,1,3,2,2,1,2,2,2,2,2,4,2,4,4,3,1,2,3,1,4,3,2,4,2,3,2,2,2,2,1,2,2,2,133,14,1,2,2,2,2,2,2,2,3,3,3,3,4,2,3,8,2,2,3,2,1,1,1,4,2,4,8,1,2,1,17,4,5,2,1,3,2,1,2,2,1,3,3,4,2,2,3,3,2,3,2,3,9,9,9,9,9,9,9,9,2,1,1
1,133,15,1,1,7,9,3,4,1,1,6,6,6,2,1,10,10,4,3,2,2,3,2,1,1,2,5,2,3,2,3,2,3,2,3,3,2,3,1,4,3,1,3,1,2,3,4,4,3,4,4,1,2,5,1,3,2,1,3,3,4,3,2,2,2,2,2,133,15,1,2,2,2,2,2,2,2,3,2,1,2,4,1,2,2,2,2,3,1,2,3,4,4,3,1,3,1,3,1,6,4,5,2,3,3,2,2,1,1,3,2,3,2,2,2,3,1,2,2,5,5,9,9,9,9,9,9,9,9,1,1,2
1,133,16,1,1,5,2,3,1,5,2,5,3,3,1,1,10,10,4,1,2,1,1,1,1,1,1,2,3,1,2,1,2,1,1,2,3,1,4,1,2,2,2,1,1,3,2,1,2,2,3,3,1,2,1,1,3,1,1,2,2,4,1,2,2,2,2,2,133,16,1,2,2,1,2,2,2,2,3,1,1,2,4,2,1,8,4,1,2,2,1,1,1,1,2,1,5,4,4,1,13,2,1,3,2,1,1,2,1,1,1,3,3,4,1,1,1,4,2,1,2,2,9,9,9,9,9,9,9,9,1,1,2
1,133,17,1,1,6,2,6,1,5,2,5,5,5,4,1,10,10,4,1,1,1,1,1,3,1,2,2,1,1,4,9,1,2,1,2,5,3,2,2,2,2,2,2,3,3,3,4,4,2,3,3,2,3,5,6,3,2,2,5,4,4,4,2,2,1,2,2,133,17,1,2,2,2,2,2,1,2,3,2,2,3,1,2,1,8,3,1,2,2,1,1,1,4,1,4,4,1,1,1,4,4,1,3,1,3,2,2,2,2,3,3,3,4,2,2,3,4,1,1,1,5,9,9,9,9,9,9,9,9,1,1,2
1,133,18,1,8,4,10,5,1,5,3,7,6,6,2,1,1,1,4,1,2,1,1,1,2,1,1,1,1,1,2,2,2,1,1,2,5,2,3,2,2,1,1,1,1,2,2,1,1,2,4,4,1,4,1,1,3,1,2,2,2,1,1,2,2,1,2,2,133,18,1,2,2,1,2,2,2,2,3,2,1,1,4,1,1,8,4,2,2,1,3,1,1,4,1,4,9,3,4,1,8,1,5,2,1,1,1,2,1,1,1,3,3,4,2,1,1,1,3,1,1,2,9,9,9,9,9,9,9,9,1,1,2
1,133,19,1,2,1,7,5,1,5,1,6,6,6,2,1,10,10,4,2,1,1,1,1,2,1,2,1,2,1,4,3,2,1,1,2,5,1,4,3,3,1,2,2,2,3,2,2,2,1,4,3,1,1,3,1,3,1,2,4,4,4,5,2,2,1,2,2,133,19,1,2,2,2,2,2,2,2,3,2,2,1,4,1,1,8,4,1,3,2,2,1,1,1,2,1,3,1,1,1,6,4,5,2,1,3,2,2,2,2,1,1,1,4,2,2,3,1,3,1,1,2,9,9,9,9,9,9,9,9,1,1,2
1,133,20,1,5,5,6,5,1,5,3,7,6,6,2,1,10,10,4,2,2,2,3,1,1,2,4,3,1,1,1,1,2,1,1,2,2,1,4,2,1,1,4,2,3,3,4,3,3,3,2,3,1,1,3,1,1,2,2,4,4,4,1,2,2,1,2,2,133,20,1,2,2,2,2,2,2,2,7,2,2,2,1,1,1,8,2,1,4,1,2,1,1,4,1,1,3,1,5,1,6,4,1,3,1,3,2,2,2,2,3,2,3,4,1,3,1,1,3,4,2,2,9,9,9,9,9,9,9,9,1,1,2
1,133,21,1,2,7,9,3,1,5,3,7,6,6,2,1,10,10,4,2,3,2,1,2,1,3,2,5,3,1,4,3,2,2,2,2,2,2,3,2,3,1,2,2,2,2,3,4,4,2,3,3,1,2,4,1,2,1,1,2,5,4,4,2,2,2,2,2,133,21,1,2,2,2,2,2,2,2,3,2,2,3,2,2,2,8,3,3,3,3,2,3,1,1,2,1,2,1,2,1,2,4,5,2,1,8,4,2,2,2,1,3,3,3,2,2,4,2,3,1,2,5,9,9,9,9,9,9,9,9,1,1,2
1,133,22,1,6,2,5,5,4,1,3,7,6,6,2,1,1,1,4,2,3,2,1,1,1,3,2,4,2,2,2,3,2,3,1,2,3,2,2,3,3,1,1,1,1,3,1,2,2,2,4,1,1,1,2,1,2,2,2,2,4,4,2,2,2,1,2,2,133,22,1,2,2,2,2,2,2,2,3,1,1,1,4,1,3,2,3,1,3,1,2,1,1,1,1,1,3,4,2,1,7,2,3,4,1,6,1,2,1,1,3,3,3,3,2,2,4,1,1,1,3,4,9,9,9,9,9,9,9,9,1,1,2
1,133,23,1,4,1,5,5,1,5,3,6,6,6,2,1,1,1,3,1,1,1,1,1,1,2,2,2,1,1,1,1,2,5,2,2,5,2,2,3,3,2,2,2,3,2,2,2,2,3,3,3,3,4,4,6,3,1,2,2,3,2,1,2,1,1,2,2,133,23,1,2,2,2,2,2,1,2,3,2,1,1,4,2,1,8,4,3,3,1,2,2,2,1,3,1,9,4,4,1,8,4,5,2,1,6,1,2,2,2,3,2,2,3,2,1,3,4,3,1,2,4,9,9,9,9,9,9,9,9,1,1,2
1,133,24,1,2,5,11,5,1,5,1,6,5,5,2,1,11,10,4,2,2,2,1,1,2,1,1,1,2,3,3,4,2,2,3,3,3,2,2,2,2,2,1,1,1,2,3,1,1,3,4,4,1,1,2,1,2,1,1,3,3,2,2,1,2,2,1,2,133,24,1,2,2,2,2,2,2,2,3,2,2,2,4,1,1,8,3,3,2,2,2,1,2,2,3,1,9,3,3,1,6,4,5,1,3,3,2,2,2,2,1,3,3,4,2,2,3,3,2,4,5,5,9,9,9,9,9,9,9,9,1,1,2
1,133,25,1,2,8,7,6,1,5,3,7,6,6,2,5,5,5,4,1,2,1,1,1,2,1,2,2,1,1,2,2,2,2,2,2,3,2,3,2,1,1,2,1,1,1,1,1,1,3,4,3,1,1,1,6,3,2,2,2,2,1,1,2,2,1,1,2,133,25,1,2,2,2,2,2,2,2,3,2,1,1,4,1,1,1,3,2,1,2,2,1,1,2,1,1,6,1,4,1,6,2,5,1,1,7,3,2,1,1,1,3,3,4,1,1,1,4,2,3,1,1,9,9,9,9,9,9,9,9,1,1,2
1,133,26,1,3,2,8,2,1,5,3,7,6,6,2,1,1,1,4,1,1,1,1,1,2,3,1,1,1,1,2,2,2,2,1,2,2,1,3,1,1,1,2,1,2,2,5,1,1,1,3,2,1,1,1,6,3,2,2,3,2,4,5,2,2,1,2,2,133,26,1,2,2,2,2,2,2,2,3,2,2,1,1,1,1,8,5,3,2,1,2,2,1,2,1,4,9,3,4,1,11,2,3,2,3,3,4,2,2,3,1,3,3,4,2,2,3,4,3,4,3,4,9,9,9,9,9,9,9,9,1,1,2
1,133,27,1,3,6,6,4,1,5,3,7,6,6,2,1,1,10,4,2,2,2,1,1,1,1,1,1,1,1,2,3,2,2,1,2,3,2,2,2,2,3,1,1,1,2,1,4,4,1,2,1,1,2,5,6,1,1,2,4,2,1,2,2,2,2,2,2,133,27,1,2,1,2,2,2,2,2,3,2,1,1,2,2,2,8,2,1,1,2,1,1,1,1,1,1,5,2,5,4,7,2,2,1,1,4,2,2,2,2,3,3,3,1,2,2,3,3,2,3,4,4,9,9,9,9,9,9,9,9,1,1,2
1,133,28,1,1,5,5,5,4,1,1,5,4,3,3,1,12,1,4,2,2,1,1,1,1,3,2,4,1,1,2,2,2,2,1,2,2,1,2,2,3,2,2,1,1,2,2,2,2,2,2,3,1,1,2,1,3,3,2,2,4,2,2,2,2,1,2,2,133,28,1,2,2,1,1,2,2,2,3,2,1,1,4,2,1,8,3,1,3,1,2,1,1,1,1,1,3,1,2,1,6,2,1,3,1,3,2,2,1,1,1,2,2,3,2,2,4,1,3,1,2,2,9,9,9,9,9,9,9,9,1,1,2
1,133,29,1,2,5,9,4,1,5,1,6,6,6,3,1,9,9,0,2,2,2,2,2,3,2,2,4,3,3,1,3,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,4,4,3,4,3,1,2,4,1,3,3,1,2,2,1,2,2,1,2,1,2,133,29,1,2,2,2,2,2,2,2,3,2,1,2,3,2,1,8,3,3,3,1,2,2,2,1,2,1,3,1,5,5,6,1,3,2,1,3,2,2,2,2,1,3,3,3,2,2,2,2,1,1,1,2,9,9,9,9,9,9,9,9,2,1,3
1,133,30,1,3,3,6,6,1,5,3,7,6,6,3,1,10,1,4,2,3,3,2,2,1,2,4,2,2,3,1,3,2,4,3,2,2,2,2,2,2,1,1,2,1,2,3,3,4,1,4,1,1,2,4,3,4,4,2,2,1,1,1,2,2,2,1,2,133,30,1,2,1,2,2,2,1,2,3,2,1,1,4,2,1,8,2,1,4,1,2,1,1,1,1,1,6,1,5,1,6,2,1,2,1,1,1,1,1,1,2,3,3,4,2,2,3,1,2,1,2,4,9,9,9,9,9,9,9,9,2,1,3
1,133,31,1,3,5,9,5,1,5,1,6,6,6,3,1,10,1,4,3,1,1,1,2,1,2,3,4,2,1,1,1,3,3,3,1,2,2,3,3,3,3,3,2,2,4,4,4,4,2,3,1,2,2,5,6,2,2,2,3,3,2,2,1,1,2,2,2,133,31,1,2,2,2,1,2,2,2,3,2,1,1,4,1,1,8,2,1,3,1,2,1,1,1,1,1,3,1,4,3,13,2,2,1,1,3,2,2,2,2,1,2,2,3,2,2,1,1,3,3,3,5,9,9,9,9,9,9,9,9,2,1,3
1,133,32,1,1,7,10,4,4,1,1,6,5,5,0,3,14,3,4,2,1,1,3,2,1,1,1,2,2,3,3,4,3,3,1,3,3,1,2,1,4,1,1,1,1,2,2,1,1,1,1,4,1,2,2,2,2,2,2,1,5,4,5,2,2,2,2,2,133,32,1,2,2,2,2,2,2,1,3,2,2,2,4,1,1,8,7,3,2,2,2,1,1,1,1,1,4,1,1,1,3,4,0,3,3,1,4,2,1,1,3,4,4,4,2,2,4,4,3,4,5,5,9,9,9,9,9,9,9,9,2,1,3
1,133,33,1,9,4,8,6,1,5,1,6,5,5,3,3,10,10,4,3,1,2,1,2,1,1,2,4,1,1,2,6,3,2,2,2,3,2,2,3,3,3,2,3,3,3,2,1,1,3,4,2,2,2,1,1,2,2,6,2,4,4,1,2,1,2,2,2,133,33,1,2,2,1,2,2,2,2,3,2,2,3,1,1,1,8,2,1,2,1,2,1,1,2,3,2,9,3,5,5,3,1,1,3,1,1,1,2,2,2,1,3,3,4,2,2,2,2,3,2,3,3,9,9,9,9,9,9,9,9,2,1,3
1,133,34,1,6,4,7,5,1,5,2,6,5,5,3,3,6,4,3,2,2,2,2,3,1,2,3,3,1,1,2,2,2,4,2,2,5,2,2,4,4,1,3,3,2,3,2,1,4,2,4,1,1,1,1,6,1,3,6,3,4,4,5,2,2,1,2,2,133,34,1,1,2,2,1,2,2,2,3,2,1,1,4,2,2,8,1,3,4,1,2,1,1,4,2,4,3,3,5,5,3,1,1,3,1,6,2,3,2,2,3,2,2,2,2,2,3,3,3,4,3,3,9,9,9,9,9,9,9,9,2,1,3
1,133,35,1,1,6,5,5,1,5,1,6,5,5,4,3,2,4,1,2,2,2,1,2,1,2,4,4,1,1,2,3,2,3,4,2,3,2,3,2,2,2,2,3,1,3,5,2,4,1,4,4,1,4,4,6,2,2,2,4,3,2,1,1,2,2,2,2,133,35,1,2,2,2,2,2,2,2,3,2,1,1,4,1,1,8,2,2,3,2,1,1,1,1,1,1,3,4,2,2,7,1,1,3,1,3,2,2,1,1,1,2,3,2,1,2,3,3,1,3,5,5,9,9,9,9,9,9,9,9,2,1,3
1,133,36,1,2,6,8,5,1,5,1,6,5,5,3,3,2,10,11,3,2,2,2,3,1,3,4,4,2,1,2,2,3,4,2,3,3,2,2,5,5,2,2,3,2,2,1,3,4,1,2,2,1,1,4,5,2,3,1,4,4,4,5,2,1,2,1,2,133,36,1,2,2,2,1,2,2,2,3,2,3,3,3,2,2,8,2,1,4,1,2,3,1,1,2,1,2,1,5,4,3,2,1,3,1,5,2,2,2,1,1,3,4,3,1,2,3,3,3,4,3,5,9,9,9,9,9,9,9,9,2,1,3
1,133,37,1,3,2,6,4,1,5,2,6,5,5,3,3,6,1,4,2,1,2,2,2,1,2,2,4,1,1,1,1,2,2,1,2,3,2,2,4,4,2,1,3,3,2,3,1,1,2,4,3,2,2,1,6,1,1,2,1,4,4,2,2,1,1,2,2,133,37,1,2,2,2,2,2,1,2,3,1,1,1,4,1,1,8,2,1,2,1,2,1,1,1,2,2,3,1,5,2,3,1,1,3,1,1,2,2,2,2,1,3,3,4,1,1,3,1,1,2,2,3,9,9,9,9,9,9,9,9,2,1,3
1,133,38,1,9,5,10,4,1,5,2,7,6,6,1,3,3,10,4,2,1,1,1,1,2,1,1,5,3,2,4,2,3,1,1,2,2,1,4,1,1,2,1,1,2,3,2,2,3,3,3,4,1,3,3,1,4,2,2,2,1,1,1,2,2,1,2,2,133,38,1,2,2,2,2,2,2,2,4,2,2,2,4,1,1,2,7,1,1,3,1,1,1,1,2,1,2,0,4,4,3,1,1,3,1,1,1,2,1,1,3,3,3,4,2,1,2,2,1,4,3,5,9,9,9,9,9,9,9,9,2,1,3
1,133,39,1,3,3,9,7,1,5,1,6,5,5,3,3,3,1,4,2,1,2,1,2,2,1,3,5,2,3,4,3,2,3,2,2,3,2,2,2,1,2,2,3,2,4,3,3,3,1,4,1,2,2,4,4,1,3,2,4,1,3,1,2,1,2,1,2,133,39,1,2,2,2,2,2,1,2,3,1,1,1,4,2,2,8,2,1,3,2,2,1,1,1,2,1,6,1,1,1,7,4,1,2,1,3,2,1,2,1,2,3,3,3,2,1,2,2,2,2,2,2,9,9,9,9,9,9,9,9,2,1,3
1,133,40,1,2,6,9,6,1,5,3,6,6,6,2,1,7,7,4,2,1,1,3,1,3,1,2,2,2,3,3,4,2,5,2,2,2,1,4,3,3,1,1,2,2,3,2,3,3,3,3,4,1,2,3,1,2,2,2,3,1,1,1,2,2,1,2,2,133,40,1,2,2,2,1,1,2,2,3,2,1,1,3,1,1,8,7,3,2,2,1,2,2,4,2,1,6,1,5,1,6,2,5,1,1,3,4,1,2,1,2,2,3,1,2,2,3,4,1,2,4,4,9,9,9,9,9,9,9,9,2,1,3
1,133,41,1,9,5,8,5,1,5,2,7,6,6,0,1,1,1,4,2,2,1,1,1,2,1,1,1,2,3,4,3,2,3,2,2,2,2,3,3,3,1,4,1,1,2,2,2,2,1,4,1,2,1,2,1,1,2,6,2,1,1,2,2,1,1,2,2,133,41,1,2,2,2,2,2,1,2,3,2,1,1,2,1,1,1,1,1,4,1,2,1,2,1,1,1,3,1,4,4,3,1,1,3,1,1,1,1,1,1,1,2,3,2,2,2,3,1,3,4,2,3,9,9,9,9,9,9,9,9,2,1,3
1,133,42,1,3,4,7,5,1,5,2,7,6,6,4,1,1,1,5,1,2,2,1,1,2,1,2,2,1,2,2,2,2,3,2,2,3,2,1,3,3,3,3,1,1,2,3,4,4,2,3,2,1,2,4,2,2,2,2,2,2,1,2,2,2,2,1,2,133,42,1,2,2,2,2,2,2,2,3,2,2,1,4,2,1,5,2,1,3,2,2,1,1,1,1,1,3,1,5,1,17,4,2,1,1,1,1,2,2,2,1,2,2,4,1,2,3,2,1,2,2,2,9,9,9,9,9,9,9,9,2,1,3
1,133,43,1,2,6,9,2,1,5,1,6,5,5,2,3,3,3,4,2,2,2,3,1,3,3,5,5,3,3,4,3,2,3,5,2,3,3,2,1,5,5,2,2,3,4,4,4,4,1,4,3,1,2,5,6,2,4,1,4,5,5,4,2,2,2,2,2,133,43,1,2,2,2,2,2,2,1,3,3,2,2,1,2,3,2,3,3,5,3,2,3,4,4,3,4,9,4,2,1,8,4,3,2,1,8,4,2,3,1,3,3,3,2,2,2,4,4,3,4,5,5,9,9,9,9,9,9,9,9,2,1,3
1,133,44,1,1,4,10,7,4,1,1,4,4,4,6,3,3,4,12,1,1,1,1,2,2,2,2,1,2,2,1,3,1,2,1,2,2,1,4,4,4,2,2,3,2,0,5,0,0,2,3,1,2,1,3,6,1,3,6,2,5,4,4,2,2,2,2,2,133,44,1,2,2,2,2,2,2,2,7,1,2,4,4,1,1,8,7,1,5,3,1,1,1,2,3,2,9,3,1,1,1,4,3,4,1,0,1,2,2,1,2,2,2,4,2,2,1,2,3,4,2,5,9,9,9,9,9,9,9,9,2,1,3
1,133,45,1,3,1,10,1,4,4,1,4,4,4,5,3,3,3,4,1,1,1,1,1,2,1,1,1,1,2,1,11,2,3,1,1,1,1,4,1,1,1,2,1,1,3,2,4,4,1,3,2,1,3,4,1,2,2,2,3,5,4,5,2,1,2,2,2,133,45,1,1,2,2,1,2,2,2,3,2,1,4,4,2,1,8,2,1,1,2,1,1,1,2,3,2,9,3,1,1,1,4,1,3,1,8,4,2,2,1,3,3,3,4,2,2,1,2,1,1,1,5,9,9,9,9,9,9,9,9,2,1,3
1,133,46,1,6,2,10,7,1,5,1,5,5,5,2,3,10,10,4,2,2,2,2,2,1,2,4,4,1,2,2,3,2,3,3,2,2,3,2,2,4,3,2,2,2,3,2,4,4,2,4,2,1,2,5,1,1,5,2,3,2,2,1,1,2,2,2,2,133,46,1,1,2,2,1,2,2,2,3,2,2,2,1,2,1,8,2,3,2,1,2,1,1,1,1,1,6,1,3,2,5,1,2,1,1,4,2,3,3,1,3,2,2,4,2,2,2,3,3,4,2,3,9,9,9,9,9,9,9,9,2,1,3
