CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.29.,Q.30A.,Q.30B.,Q.30C.,Q.30D.,Q.30E.,Q.30F.,Q.30G.,Q.30H.,Q.30I.,Q.30J.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42A.,Q.42B.,Q.42C.,Q.42D.,Q.42E.,Q.42F.,Q.42G.,Q.42H.,Q.42I.,Q.42J.,Q.42K.,Q.42L.,Q.44.,Q.45.,Q.46.,V.48.,V.49.,V.50.
1,175,1,2,11,4,7,1,2,1,2,4,2,1,1,2,2,4,5,2,2,2,1,2,2,3,2,3,3,1,1,1,1,1,1,1,1,1,1,2,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,91
1,175,2,1,7,2,9,1,4,1,5,5,4,3,2,1,1,2,2,3,3,3,1,2,2,2,1,2,3,3,3,3,2,1,2,3,1,3,3,4,1,3,2,0,3,6,3,2,2,4,1,2,4,4,2,4,2,2,3,4,4,4,4,4,0,6,69
1,175,3,1,5,5,5,1,1,1,4,5,3,4,3,2,1,2,2,2,2,3,1,2,1,2,3,5,3,2,1,1,1,2,1,1,1,1,2,4,1,2,1,2,2,7,4,1,2,1,1,3,4,3,2,4,2,2,4,4,4,2,4,3,2,3,69
1,175,4,1,8,4,5,1,1,1,3,5,3,4,3,1,1,2,3,2,2,2,1,2,2,2,2,5,3,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,5,1,2,2,1,2,3,4,4,2,4,1,2,4,4,2,1,1,2,0,6,62
1,175,5,3,10,3,1,1,3,1,1,5,3,4,3,2,1,1,2,3,3,3,1,2,1,1,2,3,3,2,2,2,2,2,1,1,1,1,1,3,1,2,1,1,3,4,1,1,3,4,2,4,4,4,1,2,1,4,4,4,4,1,1,2,0,8,46
1,175,6,4,9,4,9,1,4,1,1,5,2,1,2,1,1,1,3,2,2,2,3,2,2,3,3,4,3,1,1,2,3,2,3,3,3,3,3,3,1,1,2,5,3,6,3,1,3,3,1,3,3,3,2,4,1,2,2,4,4,1,4,2,0,6,82
1,175,7,1,4,4,4,1,3,1,1,4,1,1,2,1,2,1,3,2,2,2,1,2,1,2,2,4,3,2,1,1,1,1,2,1,1,1,1,2,1,4,1,3,2,7,4,2,3,1,1,3,1,3,1,1,1,2,1,1,1,2,2,3,0,8,4
1,175,8,4,11,4,4,1,4,1,1,5,2,1,1,1,1,1,1,3,3,3,1,2,1,1,2,2,3,1,1,1,1,1,1,1,1,1,1,3,2,5,2,4,3,0,0,1,3,3,1,2,3,3,1,3,1,1,2,3,3,3,0,0,0,8,21
1,175,9,3,6,3,9,1,4,1,1,4,1,2,1,1,1,1,1,2,2,2,1,2,2,1,4,5,3,1,1,1,3,1,1,1,1,1,2,2,1,1,1,1,1,4,1,1,3,3,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,31
1,175,10,2,8,2,7,1,2,1,1,3,3,2,2,1,1,4,1,3,3,3,1,2,2,2,4,4,3,1,1,2,1,3,3,1,1,1,1,3,1,2,1,2,2,7,4,3,2,2,1,3,0,2,1,3,1,2,2,3,3,3,2,2,0,6,4
1,175,11,1,3,4,1,1,3,1,3,4,2,3,2,2,1,2,4,2,2,2,1,2,1,3,2,2,3,1,1,1,1,1,1,1,1,1,1,2,2,2,1,3,3,0,0,1,2,3,2,2,3,4,2,4,2,2,3,3,3,3,4,4,2,2,95
1,175,12,1,9,4,3,1,4,1,3,5,3,3,1,1,1,2,2,2,3,3,1,3,2,3,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,5,1,1,3,4,1,3,4,4,1,4,1,2,1,4,4,1,2,2,0,5,43
1,175,13,1,9,2,9,1,1,1,4,5,3,4,3,2,0,2,3,2,2,2,1,3,2,3,3,4,3,1,1,1,3,1,2,2,2,2,2,3,1,3,0,0,3,0,0,0,3,4,2,2,4,4,4,4,2,2,4,4,4,2,1,2,0,5,70
1,175,14,2,10,3,7,1,4,1,4,4,4,1,4,1,1,2,4,2,2,2,1,3,3,1,1,4,3,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,2,1,2,1,3,4,1,3,4,4,4,4,2,2,3,4,4,2,3,2,3,2,88
1,175,15,2,7,5,6,1,2,1,2,4,4,1,2,1,1,1,1,2,2,2,1,3,1,3,2,4,3,1,1,1,1,1,1,1,1,1,1,3,1,2,2,5,1,6,3,1,3,4,1,4,3,4,2,4,2,2,2,4,4,1,4,2,2,3,4
