COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85,COL86,COL87,COL88,COL89,COL90,COL91,COL92,COL93,COL94,COL95,COL96
1,92,15,6,6,0,0,0,0,2,1,6,3,4,2,1,3,5,1,4,3,5,4,2,1,2,2,3,2,1,4,6,6,4,2,1,1,5,8,2,2,1,2,2,2,1,2,2,1,2,1,3,1,3,2,4,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,,209,2001,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,21
1,92,16,5,3,7,5,5,1,3,1,11,2,4,2,1,2,3,1,1,1,3,3,1,2,2,1,3,1,2,2,3,3,4,2,1,12,2,5,2,1,1,1,2,2,1,2,2,1,2,1,2,2,2,2,3,3,2,1,9,9,9,9,9,9,9,9,9,9,9,9,,209,2001,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,45
1,92,17,4,1,7,2,5,1,2,1,11,2,2,1,1,3,2,1,2,2,3,3,1,2,2,2,2,2,1,3,4,4,4,1,2,3,4,2,2,2,1,1,1,2,1,2,2,1,2,1,2,2,1,2,1,4,1,4,9,9,9,9,9,9,9,9,9,9,9,9,,209,2001,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,47
1,92,18,4,1,7,7,5,1,3,1,11,2,3,1,1,3,2,2,4,2,2,3,1,2,2,2,3,2,1,4,1,2,1,3,2,1,4,2,2,2,1,2,2,2,1,2,2,1,2,1,1,1,1,1,1,4,1,1,9,9,9,9,9,9,9,9,9,9,9,9,,209,2001,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,48
1,92,19,4,2,8,1,5,3,2,1,11,2,4,1,1,1,2,2,2,3,3,4,2,2,0,0,1,3,3,3,4,4,4,2,1,3,5,2,2,2,1,1,2,3,1,2,2,1,2,1,2,2,1,2,1,4,1,2,9,9,9,9,9,9,9,9,9,9,9,9,,209,2001,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,42
1,92,20,1,1,6,2,5,1,2,1,10,2,4,2,1,3,2,2,4,2,1,3,1,2,2,2,2,1,2,4,3,4,5,4,1,2,4,7,2,2,1,2,1,2,1,2,2,1,2,1,2,1,2,2,2,3,1,3,9,9,9,9,9,9,9,9,9,9,9,9,,209,2002,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,48
1,92,21,1,2,6,2,5,4,2,1,10,2,3,2,1,3,2,2,4,2,1,3,1,2,2,2,3,1,2,4,3,4,5,1,4,2,2,7,2,2,1,2,1,2,1,2,2,1,2,1,2,1,1,2,3,4,2,4,9,9,9,9,9,9,9,9,9,9,9,9,,209,2002,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,48
1,92,22,1,2,6,3,5,0,2,1,10,2,3,3,1,2,1,2,2,3,3,3,1,1,2,2,2,1,2,5,4,3,6,4,2,2,4,2,2,2,1,1,1,2,1,2,2,1,2,1,2,1,3,3,2,3,2,1,9,9,9,9,9,9,9,1,9,9,9,9,,209,2002,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,47
1,92,23,4,2,6,2,5,1,2,1,11,2,4,3,1,3,4,2,2,1,1,2,1,2,1,1,2,1,2,2,2,1,4,6,5,3,5,2,2,2,1,2,1,1,1,2,2,1,2,1,2,1,1,1,1,4,1,5,9,9,9,9,9,9,9,9,9,9,9,9,,209,2002,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,41
1,92,24,4,2,6,2,3,1,3,1,11,2,2,1,1,3,2,2,2,2,1,2,1,2,2,1,2,3,3,2,3,3,3,2,4,2,3,1,1,2,1,1,1,1,1,2,2,1,2,1,2,1,2,3,1,4,1,2,9,9,9,9,9,9,9,9,9,9,9,9,,209,2002,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,45
1,92,25,1,1,5,3,5,1,2,1,10,1,1,1,1,3,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,4,2,2,2,2,2,1,1,1,1,1,1,2,2,1,2,1,2,1,1,1,1,4,1,1,9,9,9,9,9,9,9,9,9,9,9,9,,209,2002,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,44
1,92,26,1,1,5,2,2,2,2,1,2,2,2,3,1,1,3,2,3,2,2,2,1,2,3,1,3,2,1,5,6,6,4,2,4,2,3,2,2,2,1,1,2,3,1,2,2,1,2,1,1,2,1,3,2,4,2,6,9,9,9,9,9,9,9,9,9,9,9,9,,209,2002,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,47
1,92,27,1,1,5,2,5,1,2,1,11,2,5,2,1,3,3,1,2,3,5,2,1,1,1,1,4,1,2,0,4,1,4,4,3,2,2,6,2,1,1,2,2,2,1,2,2,1,2,1,2,1,1,1,2,4,1,1,9,9,9,9,9,9,9,9,9,9,9,9,,209,2002,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,44
1,92,28,1,1,5,6,3,1,2,1,5,2,3,3,1,3,2,2,2,2,5,0,1,2,0,3,2,2,1,3,1,2,1,1,5,2,2,8,2,1,2,2,2,2,1,2,2,1,2,1,1,2,2,1,1,3,2,1,9,9,9,9,9,9,9,9,9,9,9,9,,209,2002,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,45
1,92,29,4,2,6,5,4,4,3,1,11,3,4,1,1,1,2,2,2,2,2,4,1,2,2,2,2,2,1,2,4,4,4,2,1,2,4,2,1,2,1,2,1,1,1,2,2,1,2,1,2,1,1,2,1,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,,209,2002,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,53
1,92,30,4,2,6,0,5,1,2,1,11,3,4,2,1,3,4,1,1,2,1,2,1,2,2,2,2,1,2,3,2,2,4,2,1,2,5,2,2,2,1,2,2,2,1,2,2,1,2,1,1,1,1,1,1,4,2,3,9,9,9,9,9,9,9,9,9,9,9,9,,209,2003,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,50
1,92,31,1,2,4,4,5,3,2,1,4,2,3,1,1,3,3,2,3,2,1,3,1,2,2,2,3,1,2,5,2,2,4,4,2,2,4,4,2,1,1,2,1,2,1,2,2,1,2,1,3,1,1,2,2,4,1,3,9,9,9,9,9,9,9,9,9,9,9,9,,209,2003,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,52
1,92,32,5,2,7,2,5,1,3,1,11,2,5,1,3,3,6,1,2,2,3,4,1,2,2,1,2,2,1,5,5,4,7,1,2,3,6,2,2,2,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,4,1,4,9,9,9,9,9,9,9,9,9,9,9,9,,209,2003,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,52
1,92,33,5,1,6,3,4,4,3,1,11,2,2,1,1,3,4,3,2,2,2,1,2,2,2,1,4,1,1,2,4,3,3,2,4,2,4,2,2,1,1,2,1,1,1,2,2,1,2,1,2,2,2,2,1,3,1,5,9,9,9,9,9,9,9,9,9,9,9,9,,209,2003,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,54
1,92,34,4,2,6,2,5,1,2,1,11,2,3,2,1,2,4,1,2,2,2,3,2,2,3,1,2,1,2,3,6,6,6,3,1,3,4,2,2,1,1,2,2,1,1,2,2,1,2,1,1,1,1,1,1,4,2,2,9,9,9,9,9,9,9,9,9,9,9,9,,209,2003,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,51
1,92,35,4,3,5,3,5,3,3,1,11,2,4,2,1,2,2,4,3,5,2,4,2,2,1,2,5,2,1,4,2,2,6,2,1,2,5,2,2,2,1,1,1,2,1,2,2,1,2,1,2,2,4,2,2,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,,209,2003,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,52
1,92,36,1,1,5,2,5,1,2,1,6,3,3,3,1,3,2,2,3,3,2,2,2,1,2,2,2,2,1,4,3,3,3,5,5,2,3,2,2,2,1,1,1,1,1,2,2,1,2,1,2,1,2,3,1,3,1,2,9,9,9,9,9,9,9,9,9,9,9,9,,209,2003,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,50
1,92,37,1,3,5,6,3,3,5,1,7,1,3,1,2,6,3,5,3,3,2,3,2,2,2,1,4,1,2,4,5,4,5,4,2,3,4,2,2,2,1,1,1,2,1,2,2,1,2,1,3,3,2,1,2,3,2,3,9,9,9,9,9,9,9,9,9,9,9,9,,209,2003,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,52
1,92,38,1,5,5,2,4,3,2,1,7,2,2,2,1,3,2,2,3,2,1,3,1,2,2,1,2,1,2,5,2,2,4,4,2,2,4,8,2,1,1,2,1,2,1,2,2,1,2,1,1,1,1,2,1,4,1,3,9,9,9,9,9,9,9,9,9,9,9,9,,209,2003,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,50
1,92,39,3,2,3,0,3,4,5,1,10,2,3,1,1,3,4,2,2,4,5,0,1,2,3,3,3,1,1,3,5,4,6,2,4,1,1,2,2,3,1,1,1,2,1,2,2,1,2,1,3,1,2,2,2,3,2,2,9,9,9,9,9,9,9,9,9,9,9,9,,209,2003,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,22
1,92,40,5,4,8,9,3,1,3,1,8,4,4,1,2,5,2,1,2,4,3,4,1,1,2,2,2,1,2,2,4,4,3,2,1,2,2,2,2,2,1,1,2,2,1,2,1,2,1,1,2,2,1,2,3,4,1,5,9,9,9,9,9,9,9,9,9,9,9,9,,209,2004,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,51
1,92,41,4,2,7,5,5,1,2,1,11,2,3,1,2,5,2,1,2,2,1,4,1,2,2,2,2,1,2,3,4,4,3,2,3,2,5,5,2,2,1,1,3,1,1,2,1,2,1,1,1,2,1,2,1,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,,209,2004,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,51
1,92,42,1,2,7,4,5,1,2,1,10,0,3,1,1,1,2,2,3,2,2,2,2,2,2,1,2,2,1,4,4,4,3,4,4,3,4,0,2,2,1,2,2,1,1,2,1,2,2,1,2,1,2,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,,209,2004,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,28
1,92,43,1,2,5,2,3,1,5,4,3,2,5,2,1,1,2,2,1,2,1,2,2,2,1,1,3,1,2,1,1,1,1,2,4,2,1,2,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,,209,2004,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,26
1,92,44,1,4,6,2,4,3,2,1,3,2,4,1,1,3,3,3,3,2,4,3,2,2,2,1,3,2,1,3,2,2,3,2,1,3,7,2,2,2,1,1,1,2,1,2,1,2,2,1,1,1,1,2,1,4,2,2,9,9,9,9,9,9,9,9,9,9,9,9,,209,2004,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,13
1,92,45,1,2,6,2,5,1,4,1,5,2,3,2,1,3,2,2,3,3,3,2,1,1,2,2,3,2,1,3,3,4,3,2,1,3,4,2,2,2,1,2,1,2,1,2,2,1,1,1,1,1,2,1,1,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,,209,2004,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,25
1,92,46,4,3,6,2,4,1,5,1,10,2,4,1,1,1,2,2,4,3,2,4,1,1,2,1,4,2,1,4,3,4,3,3,2,1,2,8,2,1,1,1,2,3,1,2,2,1,1,1,1,1,2,2,1,3,1,5,9,9,9,9,9,9,9,9,9,9,9,9,,209,2004,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,27
1,92,47,1,5,5,3,5,5,5,2,6,2,2,1,1,2,2,4,3,4,1,2,2,2,2,1,1,2,1,5,3,4,4,4,2,2,4,8,2,1,1,2,2,2,1,2,2,1,1,1,1,1,2,3,1,4,2,3,9,9,9,9,9,9,9,9,9,9,9,9,,209,2004,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,22
1,92,48,1,4,5,6,5,3,2,1,3,2,2,1,1,3,4,2,2,5,1,2,2,2,1,1,4,3,3,2,2,2,4,4,2,1,2,2,1,1,1,1,1,2,1,2,2,1,1,1,2,3,2,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,,209,2004,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,27
1,92,49,1,3,5,2,5,1,2,1,4,3,3,2,1,3,2,2,2,3,4,3,2,3,2,1,3,3,1,3,2,3,4,6,6,2,3,1,2,1,2,2,3,2,1,2,2,1,1,1,2,1,1,2,1,3,1,3,9,9,9,9,9,9,9,9,9,9,9,9,,209,2004,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,27
1,92,50,1,3,5,2,5,3,2,1,6,3,4,2,1,1,2,2,4,3,4,2,1,1,1,1,3,2,1,2,1,1,4,4,2,1,6,2,2,2,1,1,1,2,1,2,2,1,1,1,2,2,1,2,1,4,1,2,9,9,9,9,9,9,9,9,9,9,9,9,,209,2005,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,21
1,92,51,2,3,6,5,4,3,5,4,5,2,5,2,1,3,2,2,2,2,1,1,1,2,1,1,4,1,1,2,2,2,3,4,1,2,4,2,2,2,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,,209,2005,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,12
1,92,52,2,6,0,0,1,1,5,6,3,2,1,1,1,1,4,5,2,4,2,4,2,1,2,1,5,1,1,3,6,6,1,6,4,9,11,8,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,,209,2005,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,35
1,92,53,2,3,3,5,3,2,5,1,3,1,3,2,1,3,2,2,5,5,3,1,3,2,1,1,2,3,1,3,4,4,6,6,6,2,6,2,2,3,3,1,1,4,1,2,2,1,1,1,2,1,1,1,1,4,1,1,9,9,9,9,9,9,9,9,9,9,9,9,,209,2005,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,30
1,92,54,1,3,3,5,4,1,4,1,5,2,4,3,1,4,2,2,5,2,2,3,1,2,1,1,5,2,1,2,6,6,6,4,5,1,3,1,2,1,3,3,3,4,1,2,2,1,1,1,1,1,5,4,5,5,6,6,9,9,9,9,9,9,9,9,9,9,9,9,,209,2005,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,33
1,92,55,1,2,3,5,1,2,5,1,3,3,4,1,1,2,6,2,4,5,1,1,3,1,1,1,5,2,1,3,4,4,6,4,1,10,10,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,4,1,1,9,9,9,9,9,9,9,9,9,9,9,9,,209,2005,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,32
1,92,56,1,4,6,7,2,3,5,1,3,1,3,1,1,3,4,2,5,5,1,1,2,2,1,1,3,3,1,3,4,4,6,5,5,2,4,0,2,1,1,1,2,2,1,2,2,1,1,1,2,3,1,1,1,4,1,2,9,9,9,9,9,9,9,9,9,9,9,9,,209,2005,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,30
1,92,57,5,3,8,2,5,3,1,1,11,3,4,2,1,3,2,2,1,3,3,4,2,2,2,1,4,1,1,2,3,3,4,2,1,3,5,2,2,2,1,1,2,2,1,2,2,1,1,1,2,1,1,1,1,2,1,1,9,9,9,9,9,9,9,9,9,9,9,9,,209,2005,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,49
1,92,58,4,1,7,1,4,1,2,1,11,3,4,2,1,2,2,2,4,3,3,2,2,1,2,2,3,2,1,2,4,4,2,3,5,3,5,7,2,2,1,1,1,1,1,2,2,1,1,1,2,1,3,2,4,2,5,5,9,9,9,9,9,9,9,9,9,9,9,9,,209,2005,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,46
1,92,59,1,3,6,2,5,2,2,1,11,3,4,2,1,3,2,4,4,2,5,0,3,1,0,2,3,2,1,0,6,6,2,2,1,4,6,8,1,1,2,2,1,3,1,2,2,1,1,1,1,1,2,2,4,1,3,6,9,9,9,9,9,9,9,9,9,9,9,9,,209,2005,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,40
1,92,60,4,3,6,2,5,4,5,1,11,4,4,2,1,3,2,1,1,4,2,4,3,2,2,1,4,1,2,2,2,1,2,2,1,3,7,2,2,2,1,1,2,2,1,2,2,1,1,1,2,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,,209,2006,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,41
1,92,61,4,3,3,7,4,1,5,1,11,1,1,1,2,1,2,2,2,2,2,2,1,2,2,1,2,2,1,4,2,2,2,1,2,3,5,7,2,2,1,2,1,1,1,2,2,1,1,1,2,1,1,1,2,4,1,2,9,9,9,9,9,9,9,9,9,9,9,9,,209,2006,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,49
1,92,62,1,4,6,7,1,1,5,1,3,2,2,1,1,3,3,2,3,5,3,4,3,1,2,2,5,2,1,3,2,2,6,6,5,2,2,8,2,2,1,1,2,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,,209,2006,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,34
1,92,63,4,2,6,5,1,1,4,1,5,2,3,1,2,5,1,2,2,2,1,2,1,2,1,1,4,1,2,2,2,1,3,4,2,2,2,2,2,2,1,2,2,3,1,2,2,1,1,1,2,2,2,1,1,4,1,2,9,9,9,9,9,9,9,9,9,9,9,9,,209,2006,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,33
1,92,64,1,4,5,2,5,3,5,1,3,1,1,2,1,3,2,2,3,5,1,1,2,2,1,2,1,1,1,4,5,5,3,2,3,2,3,3,2,1,1,2,2,1,1,2,2,1,1,1,3,1,1,1,1,4,2,2,9,9,9,9,9,9,9,9,9,9,9,9,,209,2006,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,31
1,92,65,1,2,5,2,5,4,5,1,3,2,2,1,2,5,4,2,3,5,3,2,2,1,2,2,4,2,1,4,4,5,2,2,3,1,4,5,1,2,1,1,1,1,1,2,2,1,1,1,2,1,2,2,1,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,,209,2006,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,34
1,92,66,1,2,5,3,5,2,5,1,5,2,5,2,1,3,2,1,3,1,1,2,1,2,2,1,1,3,1,3,3,4,1,6,6,2,4,2,2,2,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,3,2,1,9,9,9,9,9,9,9,9,9,9,9,9,,209,2006,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,35
1,92,67,1,3,5,1,5,1,5,1,3,2,3,1,1,3,2,2,3,2,1,3,1,1,1,1,1,2,1,2,3,3,4,4,2,2,3,2,2,2,1,2,1,1,1,2,2,1,1,1,1,1,2,2,2,2,1,1,9,9,9,9,9,9,9,9,9,9,9,9,,209,2006,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,35
1,92,68,1,1,6,3,5,1,2,1,5,3,2,2,1,3,2,2,2,2,4,3,2,2,2,2,3,2,1,3,4,3,3,2,1,2,3,2,2,2,1,1,1,3,1,2,2,1,1,1,2,1,1,1,1,4,1,1,9,9,9,9,9,9,9,9,9,9,9,9,,209,2006,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,1,2,9,22
