CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.55.,Q.56.,Q.57.,Q.58A.,Q.58B.,Q.59A.,Q.59B.,Q.60.,Q.61.,Q.62.,Q.63.,Q.64.,Q.65.,Q.66.,Q.67.,Q.68.,CARD..1,DECK..1,BALLOT..1,Q.69.,Q.70.,Q.71.,Q.72.,Q.73.,Q.74.,Q.75.,Q.76.,Q.77.,Q.78.,Q.79.,Q.80A.,Q.80B.,Q.80B..1,Q.80B..2,Q.80B..3,Q.80B..4,Q.80B..5,Q.80B..6,Q.80B..7,Q.80B..8,Q.80B..9,Q.80B..10,Q.80B..11,Q.80B..12,Q.81A.,Q.81B.,Q.81B..1,Q.81B..2,Q.81B..3,Q.81B..4,Q.81B..5,Q.81B..6,Q.81B..7,Q.81B..8,Q.81B..9,Q.81B..10,Q.81B..11,Q.81B..12,Q.82.,Q.83.,Q.84.,Q.85.,Q.86.,Q.87.,Q.88.,Q.89.,Q.90.,Q.91.,Q.92A.,Q.93.,Q.94.,Q.95.,Q.96.,Q.97.,Q.98.,Q.99.,Q.100.,Q.101.,Q.102.,Q.103.,Q.104.,V.106.,V.107.,V.108.,V.109.,V.110.,V.111.,CARD..2,DECK..2,BALLOT..2,V.112.,V.113.
1,131,1,2,12,9,11,6,1,0,1,4,5,5,5,4,5,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,1,6,2,4,4,2,3,3,2,1,3,3,2,1,3,3,3,3,1,2,3,2,2,4,1,3,1,3,2,2,1,2,3,2,2,2,2,2,131,1,2,3,4,2,2,6,1,2,4,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,3,2,2,2,3,2,2,1,2,2,1,2,1,1,4,1,3,2,3,2,2,2,2,1,2,0,0,3,131,1,16,2
1,131,2,1,12,9,11,1,1,0,1,4,6,3,0,5,1,0,3,2,1,3,1,3,2,2,3,1,1,3,1,1,3,2,2,1,2,5,4,5,2,2,2,12,2,12,2,1,3,3,2,2,5,6,4,5,5,2,1,3,4,1,1,6,3,0,3,1,1,2,2,2,131,2,5,0,0,3,1,2,2,2,2,1,2,5,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,5,5,2,2,4,2,2,2,1,2,1,2,2,2,4,1,4,5,5,5,5,2,2,2,0,0,5,3,131,2,15,2
1,131,3,1,12,5,11,1,3,5,1,4,3,3,1,1,1,1,3,3,3,1,3,3,1,3,3,3,3,2,1,5,2,2,3,2,3,2,1,2,3,2,2,11,2,11,2,3,2,4,3,1,5,4,3,3,3,5,2,3,0,3,2,6,4,0,1,0,0,1,4,2,131,3,2,2,5,2,7,6,4,4,4,2,4,4,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,4,6,4,4,4,5,4,4,4,4,3,2,4,3,3,4,1,3,3,4,4,4,4,2,2,2,0,0,5,3,131,3,12,2
1,131,4,4,3,7,3,5,1,5,1,3,1,1,1,2,3,2,2,2,1,1,2,1,1,2,3,2,1,3,1,2,1,2,1,1,1,3,3,2,4,2,2,1,3,3,3,1,3,3,2,2,1,2,1,1,1,2,3,1,2,1,2,1,1,1,3,2,1,1,2,2,131,4,2,2,2,1,2,2,2,2,4,2,1,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,3,1,2,2,2,2,3,4,1,2,2,1,1,2,2,2,5,5,5,5,4,5,1,3,0,0,3,131,4,30,2
1,131,5,3,9,7,3,4,1,5,1,3,1,1,1,2,3,4,2,3,1,1,2,1,2,1,1,2,1,1,2,4,2,4,1,1,1,4,4,1,3,2,2,1,3,4,3,1,2,2,3,5,3,4,1,2,3,2,2,1,2,1,2,5,2,1,2,3,3,2,1,2,131,5,4,5,5,2,1,2,2,1,3,2,1,3,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,1,3,4,3,3,4,1,1,1,2,4,1,1,4,1,3,2,1,2,1,4,5,1,3,0,0,3,131,5,9,2
1,131,6,3,2,2,6,1,1,5,1,3,1,1,1,1,3,3,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,4,2,1,4,2,2,1,2,3,3,1,1,1,1,2,1,2,1,1,1,2,2,1,2,1,1,3,1,1,3,1,1,2,2,2,131,6,1,2,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,1,1,3,1,1,1,1,2,2,2,1,1,4,1,3,1,2,3,2,4,5,1,3,0,0,3,131,6,3,2
1,131,7,3,3,5,2,5,1,5,1,3,1,1,1,2,3,2,2,3,2,3,1,2,4,3,3,1,1,2,3,4,2,4,1,1,2,4,4,2,4,3,2,8,3,2,2,1,1,1,2,3,1,4,1,3,2,2,2,1,1,1,3,5,1,2,2,3,2,4,4,2,131,7,5,5,2,3,1,2,3,2,4,2,3,3,2,2,2,2,2,2,2,2,2,2,2,1,2,4,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,3,2,3,3,2,3,1,3,2,3,1,1,1,4,1,2,3,1,3,3,4,5,1,3,0,0,3,131,7,0,2
1,131,8,3,3,5,2,5,1,5,1,3,1,1,1,1,3,2,2,3,2,1,2,2,2,1,1,1,2,1,1,4,2,3,3,2,1,3,2,2,3,2,2,1,3,3,3,2,1,3,2,3,2,2,1,3,4,2,2,1,3,1,2,2,2,1,2,2,1,1,2,2,131,8,3,1,2,1,1,5,1,3,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,3,1,3,2,3,3,1,1,4,1,1,4,2,4,4,4,5,1,3,0,0,3,131,8,24,2
1,131,9,3,9,4,2,5,1,5,1,3,1,1,1,2,3,6,3,3,2,1,2,2,2,1,1,2,2,3,2,3,2,3,1,1,2,4,4,3,3,2,2,3,3,4,3,2,1,3,2,3,2,3,2,3,4,4,4,3,2,1,3,4,2,1,2,3,3,3,2,2,131,9,3,4,3,1,1,1,1,2,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,3,3,3,2,1,2,4,2,1,1,4,2,4,3,1,1,2,4,5,1,3,0,0,3,131,9,40,2
1,131,10,3,4,3,5,1,1,5,1,3,1,1,1,2,3,2,1,4,3,1,2,1,3,1,1,2,2,3,2,3,2,3,1,2,3,4,4,2,3,2,2,2,3,2,2,2,1,3,1,3,1,4,2,3,2,4,1,1,3,3,2,3,2,2,1,2,1,2,3,2,131,10,3,5,4,2,1,2,1,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,4,2,3,4,1,3,2,3,2,1,1,4,1,1,4,2,4,2,4,5,1,3,0,0,3,131,10,17,2
