,CARD,DECK,BALLOT,FORM,S192A.Q1,S192A.Q2,S192A.Q3,S192A.Q4,S192A.Q5,S192A.Q6,S192A.Q7,S192A.Q8,S192A.Q9,S192A.Q10,S192A.Q11,S192A.Q12,S192A.Q13,S192A.Q14,S192A.Q15,S192A.Q16,S192A.Q17,S192A.Q18,S192A.Q19,S192A.Q20,S192A.Q21,S192A.Q22,S192A.Q23,S192A.Q24,S192A.Q25,S192A.Q26,S192A.Q27,S192A.Q28,S192A.Q29,S192A.Q30,S192A.Q31,S192A.Q32,S192A.Q33,S192A.Q34,S192A.Q35,S192A.Q36,S192A.Q37,S192A.Q38,S192A.Q39,S192A.Q40,S192A.Q41,S192A.Q42,S192A.Q43,S192A.Q44,S192A.Q45,S192A.Q46,S192A.Q47,S192A.Q48,S192A.Q49,S192A.Q50,S192A.Q51,S192A.Q52A,S192A.Q52B,S192A.Q52C,S192A.Q52D.n,S192A.Q53.n,S192A.V54,S192A.V55
88,1.0,192.0,89.0,1.0,2.0,3.0,6.0,6.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,4.0,4.0,2.0,1.0,2.0,2.0,3.0,3.0,5.0,4.0,2.0,5.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,5.0,2.0,2.0,3.0,,,8.0,2.0
89,1.0,192.0,90.0,1.0,1.0,48.0,6.0,6.0,3.0,1.0,1.0,5.0,1.0,0.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,2.0,2.0,,,7.0,2.0
90,1.0,192.0,91.0,1.0,2.0,18.0,6.0,7.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,5.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,3.0,4.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,,,4.0,2.0
91,1.0,192.0,92.0,1.0,1.0,35.0,5.0,6.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,,,7.0,2.0
92,1.0,192.0,93.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,,,8.0,2.0
93,1.0,192.0,94.0,1.0,2.0,7.0,6.0,6.0,2.0,2.0,2.0,4.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,5.0,3.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,5.0,2.0,1.0,2.0,,,7.0,2.0
94,1.0,192.0,95.0,1.0,1.0,45.0,6.0,6.0,3.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,4.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,,,7.0,2.0
95,1.0,192.0,96.0,1.0,1.0,28.0,5.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,5.0,3.0,2.0,4.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,4.0,2.0
96,1.0,192.0,97.0,1.0,1.0,48.0,6.0,6.0,3.0,1.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,5.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,3.0,5.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,,,7.0,2.0
97,1.0,192.0,98.0,1.0,3.0,8.0,6.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,7.0,2.0
