,CARD,DECK,BALLOT,X,S100A.Q1,S100A.Q2,S100A.Q3,S100A.Q4,S100A.Q5,S100A.Q6,S100A.Q7,S100A.Q8A,S100A.Q8B,S100A.Q9,S100A.Q10,S100A.Q11,S100A.V11A,S100A.Q12,S100A.Q13,S100A.Q14,S100A.Q15,S100A.Q16A,S100A.Q16B,S100A.Q17A,S100A.Q17B,S100A.Q17C,S100A.Q17D,S100A.Q17E,S100A.Q17F,S100A.Q18A,S100A.Q18B,S100A.Q18C,S100A.Q18D,S100A.Q19,S100A.Q20,S100A.Q21A,S100A.Q21B,S100A.Q21C,S100A.Q21D,S100A.Q21E,S100A.Q21F,S100A.Q21G,S100A.Q21H,S100A.Q21I,S100A.Q21J,S100A.Q21K,S100A.Q21L,S100A.Q21M,S100A.Q21N,S100A.Q21O,S100A.Q21P,S100A.Q21Q,S100A.Q21R,S100A.Q21S,S100A.Q21T,S100A.Q21U,S100A.Q21V,S100A.Q22,S100A.Q23,S100A.Q24,S100A.Q25,S100A.Q26,S100A.Q27,S100A.Q28,S100A.Q29,CARD..1,DECK..1,BALLOT..1,NA.1,S100A.Q30,S100A.Q31,S100A.Q32,S100A.V32A,S100A.Q33,S100A.Q34,S100A.Q35,S100A.Q36,S100A.Q37,S100A.V37A.1,S100A.V37A.2,S100A.V37A.3,S100A.V37A.4,S100A.V37A.5,S100A.V37A.6,S100A.V37A.7,S100A.V37A.8,S100A.V37A.9,S100A.V37A.10,S100A.V37A.11,S100A.V37A.12,S100A.V37A.13,S100A.V37A.14,S100A.V37A.15,S100A.V37A.16,S100A.V37A.17,S100A.V37A.18,S100A.V37A.19,S100A.V37A.20,S100A.Q38,S100A.V38A.1,S100A.V38A.2,S100A.V38A.3,S100A.V38A.4,S100A.V38A.5,S100A.V38A.6,S100A.V38A.7,S100A.V38A.8,S100A.V38A.9,S100A.V38A.10,S100A.V38A.11,S100A.V38A.12,S100A.V38A.13,S100A.V38A.14,S100A.V38A.15,S100A.V38A.16,S100A.V38A.17,S100A.V38A.18,S100A.V38A.19,S100A.V38A.20,S100A.Q39,S100A.Q40,S100A.Q41,S100A.Q42,S100A.Q43A,S100A.Q43B,S100A.Q44,S100A.Q45,S100A.Q46,S100A.Q47,S100A.Q48,S100A.Q49,S100A.Q50,S100A.Q51,S100A.Q52,S100A.Q53,S100A.Q54,CARD..2,DECK..2,BALLOT..2,NA.3,S100A.V54A.1,S100A.V54A.2,S100A.V54A.3,S100A.V54A.4,S100A.V54A.5,S100A.V54A.6,S100A.V54A.7,S100A.V54A.8,S100A.V54A.9,S100A.V54A.10,S100A.V54A.11,S100A.V54A.12,S100A.V54A.13,S100A.V54A.14,S100A.V54A.15,S100A.V54A.16,S100A.V54A.17,S100A.V54A.18,S100A.V54A.19,S100A.Q55,S100A.Q56,S100A.Q57,S100A.Q58.n,S100A.Q59.n,S100A.Q60.n,S100A.V61,S100A.V62
0,1.0,100.0,1.0,1.0,8.0,9.0,8.0,1.0,1.0,7.0,3.0,4.0,2.0,2.0,2.0,4.0,3.0,1.0,4.0,1.0,10.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,100.0,1.0,1.0,2.0,5.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,100.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,,842.0,5.0
1,1.0,100.0,2.0,1.0,2.0,8.0,5.0,1.0,1.0,5.0,2.0,5.0,2.0,2.0,2.0,7.0,5.0,3.0,4.0,1.0,10.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0,2.0,1.0,1.0,1.0,5.0,4.0,2.0,2.0,100.0,2.0,1.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,83.0,1.0,2.0,4.0,1.0,2.0,2.0,2.0,3.0,0.0,1.0,2.0,3.0,100.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,,811.0,5.0
2,1.0,100.0,3.0,1.0,2.0,7.0,2.0,1.0,1.0,7.0,3.0,5.0,2.0,2.0,2.0,7.0,5.0,1.0,4.0,1.0,10.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,2.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,100.0,3.0,1.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,6.0,4.0,1.0,1.0,11.0,47.0,2.0,3.0,4.0,2.0,1.0,2.0,2.0,3.0,0.0,1.0,1.0,3.0,100.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,,894.0,5.0
3,1.0,100.0,4.0,1.0,6.0,5.0,5.0,2.0,2.0,5.0,3.0,5.0,2.0,2.0,2.0,6.0,4.0,3.0,4.0,1.0,10.0,4.0,2.0,1.0,1.0,2.0,1.0,5.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,4.0,1.0,1.0,9.0,7.0,2.0,2.0,100.0,4.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,88.0,5.0,2.0,3.0,4.0,2.0,4.0,4.0,3.0,2.0,1.0,1.0,3.0,100.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,,870.0,5.0
4,1.0,100.0,5.0,1.0,2.0,5.0,1.0,1.0,1.0,4.0,3.0,5.0,2.0,2.0,2.0,6.0,4.0,5.0,4.0,1.0,10.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,4.0,1.0,1.0,5.0,6.0,2.0,2.0,100.0,5.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,5.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,90.0,5.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,1.0,1.0,3.0,100.0,5.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,,855.0,5.0
5,1.0,100.0,6.0,1.0,9.0,11.0,7.0,2.0,2.0,7.0,3.0,5.0,2.0,2.0,2.0,6.0,4.0,1.0,4.0,1.0,10.0,4.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,4.0,1.0,1.0,9.0,7.0,2.0,2.0,100.0,6.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,11.0,93.0,5.0,2.0,3.0,4.0,2.0,4.0,4.0,3.0,2.0,1.0,1.0,3.0,100.0,6.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,,854.0,5.0
6,1.0,100.0,7.0,1.0,2.0,3.0,7.0,1.0,1.0,4.0,3.0,3.0,2.0,2.0,2.0,9.0,7.0,4.0,4.0,1.0,10.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,6.0,4.0,1.0,2.0,100.0,7.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,85.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,1.0,1.0,3.0,100.0,7.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,,848.0,5.0
7,1.0,100.0,8.0,1.0,8.0,8.0,5.0,1.0,1.0,7.0,3.0,4.0,2.0,2.0,2.0,4.0,3.0,1.0,4.0,1.0,10.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,100.0,8.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,4.0,11.0,85.0,1.0,3.0,4.0,3.0,1.0,4.0,4.0,3.0,3.0,1.0,1.0,3.0,100.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,,899.0,5.0
8,1.0,100.0,9.0,1.0,2.0,6.0,5.0,1.0,1.0,6.0,2.0,4.0,2.0,2.0,2.0,9.0,7.0,2.0,4.0,1.0,10.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,6.0,2.0,2.0,100.0,9.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,93.0,10.0,3.0,1.0,3.0,2.0,4.0,4.0,3.0,1.0,1.0,1.0,3.0,100.0,9.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,,872.0,5.0
9,1.0,100.0,10.0,1.0,2.0,5.0,4.0,2.0,2.0,5.0,3.0,5.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,1.0,10.0,4.0,2.0,3.0,1.0,5.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,1.0,2.0,4.0,1.0,2.0,100.0,10.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,4.0,72.0,1.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,1.0,1.0,3.0,100.0,10.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,,850.0,5.0
