,CARD,DECK,BALLOT,S174.Q1,S174.Q2,S174.Q3,S174.Q4.1,S174.Q4.2,S174.Q5,S174.Q6,S174.Q7,S174.Q8,S174.Q9,S174.Q10,S174.Q11,S174.Q12,S174.Q13,S174.Q14,S174.Q15A,S174.Q15B.n,S174.Q16,S174.Q17,S174.Q18,S174.Q19,S174.Q20,S174.Q21,S174.Q22,S174.Q23,S174.Q24,S174.Q25,S174.Q26,S174.Q27,S174.Q28,S174.Q29,S174.Q30,S174.Q31,S174.Q32,S174.Q33A,S174.Q33B.n,S174.Q34,S174.Q35A,S174.Q35B.n,S174.Q36,S174.Q37.n,S174.Q38,S174.Q39,S174.Q40,S174.Q41,S174.Q42,S174.Q43,S174.Q44,S174.Q45A,S174.Q45B.n,S174.Q46A,S174.Q46B.n,S174.Q47,S174.Q48A,S174.Q48B.n,S174.Q49,S174.Q50,S174.Q51A,S174.Q51B.n,S174.Q52A,S174.Q52B.n,S174.Q53,S174.Q54,S174.Q55.n,S174.Q56.n,S174.Q57.n,S174.V58,S174.V59
12,1.0,174.0,13.0,3.0,11.0,4.0,7.0,71.0,3.0,3.0,2.0,1.0,3.0,4.0,3.0,5.0,2.0,3.0,1.0,,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,3.0,3.0,6.0,4.0,,2.0,0.0,,4.0,,0.0,0.0,0.0,4.0,3.0,2.0,0.0,5.0,,4.0,,1.0,1.0,,1.0,1.0,1.0,,0.0,,0.0,0.0,,,,5.0,27.0
13,1.0,174.0,14.0,3.0,9.0,2.0,7.0,74.0,4.0,3.0,2.0,1.0,1.0,0.0,3.0,2.0,1.0,2.0,1.0,,1.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,5.0,2.0,2.0,3.0,3.0,6.0,1.0,,2.0,1.0,,4.0,,0.0,1.0,4.0,4.0,1.0,2.0,1.0,5.0,,2.0,,1.0,1.0,,2.0,1.0,2.0,,1.0,,2.0,1.0,,,,5.0,45.0
14,1.0,174.0,15.0,3.0,10.0,5.0,6.0,64.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,6.0,3.0,,2.0,2.0,,4.0,,1.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,,2.0,,2.0,1.0,,2.0,2.0,1.0,,3.0,,3.0,4.0,,,,5.0,93.0
15,1.0,174.0,16.0,1.0,11.0,4.0,5.0,59.0,5.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,2.0,2.0,3.0,3.0,3.0,3.0,,2.0,0.0,,1.0,,1.0,2.0,3.0,4.0,1.0,2.0,2.0,1.0,,3.0,,2.0,1.0,,1.0,1.0,2.0,,1.0,,3.0,1.0,,,,5.0,16.0
16,1.0,174.0,17.0,1.0,3.0,3.0,5.0,59.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,,1.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,3.0,3.0,0.0,1.0,,2.0,0.0,,0.0,,0.0,0.0,3.0,3.0,1.0,2.0,2.0,3.0,,1.0,,1.0,1.0,,1.0,1.0,2.0,,1.0,,3.0,2.0,,,,5.0,24.0
17,1.0,174.0,18.0,1.0,9.0,0.0,2.0,22.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,4.0,2.0,2.0,1.0,3.0,6.0,3.0,,2.0,2.0,,4.0,,1.0,1.0,3.0,4.0,1.0,2.0,1.0,5.0,,2.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,,3.0,2.0,,,,5.0,97.0
18,1.0,174.0,19.0,2.0,11.0,6.0,9.0,93.0,5.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,6.0,2.0,,2.0,2.0,,4.0,,1.0,1.0,2.0,4.0,2.0,1.0,3.0,4.0,,3.0,,2.0,1.0,,1.0,1.0,1.0,,3.0,,3.0,2.0,,,,5.0,39.0
19,1.0,174.0,20.0,2.0,7.0,3.0,7.0,74.0,4.0,3.0,3.0,2.0,3.0,4.0,5.0,3.0,2.0,4.0,3.0,,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,,0.0,0.0,,4.0,,1.0,4.0,2.0,4.0,1.0,1.0,1.0,4.0,,4.0,,1.0,1.0,,1.0,1.0,2.0,,1.0,,3.0,3.0,,,,5.0,84.0
20,1.0,174.0,21.0,1.0,9.0,1.0,0.0,0.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,1.0,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,4.0,2.0,2.0,3.0,1.0,3.0,3.0,,1.0,2.0,,4.0,,2.0,2.0,4.0,4.0,2.0,1.0,4.0,4.0,,4.0,,2.0,1.0,,2.0,1.0,1.0,,1.0,,3.0,3.0,,,,5.0,86.0
21,1.0,174.0,22.0,3.0,10.0,5.0,7.0,74.0,5.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,5.0,1.0,3.0,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,4.0,2.0,1.0,3.0,3.0,6.0,5.0,,2.0,5.0,,1.0,,2.0,2.0,3.0,4.0,2.0,2.0,2.0,5.0,,4.0,,2.0,1.0,,2.0,2.0,1.0,,1.0,,3.0,2.0,,,,5.0,91.0
22,1.0,174.0,23.0,3.0,10.0,6.0,6.0,64.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,3.0,3.0,6.0,2.0,,2.0,5.0,,4.0,,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,,4.0,,1.0,1.0,,2.0,2.0,2.0,,1.0,,3.0,2.0,,,,5.0,92.0
23,1.0,174.0,24.0,1.0,11.0,1.0,3.0,33.0,0.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,4.0,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,3.0,6.0,2.0,,1.0,1.0,,4.0,,1.0,1.0,2.0,4.0,1.0,1.0,4.0,5.0,,2.0,,3.0,4.0,,3.0,1.0,2.0,,1.0,,3.0,2.0,,,,5.0,5.0
24,1.0,174.0,25.0,3.0,11.0,3.0,7.0,74.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,1.0,3.0,3.0,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,5.0,2.0,2.0,3.0,2.0,1.0,2.0,,2.0,2.0,,4.0,,2.0,3.0,3.0,3.0,2.0,2.0,1.0,5.0,,2.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,,3.0,2.0,,,,5.0,12.0
25,1.0,174.0,26.0,1.0,11.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,5.0,3.0,,1.0,1.0,1.0,2.0,2.0,4.0,5.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,4.0,,2.0,3.0,,4.0,,2.0,2.0,3.0,4.0,3.0,2.0,4.0,5.0,,2.0,,3.0,1.0,,1.0,1.0,2.0,,3.0,,3.0,2.0,,,,5.0,34.0
26,1.0,174.0,27.0,2.0,8.0,5.0,5.0,59.0,5.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,,1.0,1.0,1.0,2.0,2.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,6.0,2.0,,2.0,2.0,,4.0,,1.0,3.0,3.0,4.0,1.0,3.0,2.0,5.0,,4.0,,1.0,1.0,,2.0,2.0,1.0,,1.0,,3.0,2.0,,,,5.0,15.0
27,1.0,174.0,28.0,1.0,5.0,3.0,5.0,52.0,3.0,3.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,3.0,3.0,,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,,2.0,5.0,,4.0,,4.0,4.0,3.0,3.0,1.0,3.0,2.0,4.0,,3.0,,1.0,1.0,,2.0,2.0,2.0,,0.0,,0.0,0.0,,,,5.0,79.0
28,1.0,174.0,29.0,1.0,8.0,5.0,4.0,42.0,4.0,3.0,3.0,4.0,3.0,3.0,5.0,5.0,3.0,1.0,1.0,,1.0,3.0,3.0,2.0,3.0,5.0,4.0,4.0,4.0,1.0,1.0,4.0,0.0,0.0,0.0,3.0,6.0,1.0,,1.0,1.0,,4.0,,2.0,3.0,3.0,6.0,2.0,4.0,1.0,4.0,,4.0,,1.0,1.0,,2.0,2.0,3.0,,1.0,,3.0,2.0,,,,5.0,40.0
29,1.0,174.0,30.0,1.0,0.0,5.0,6.0,62.0,5.0,3.0,3.0,2.0,3.0,3.0,5.0,5.0,2.0,3.0,1.0,,1.0,1.0,1.0,2.0,3.0,3.0,5.0,3.0,3.0,1.0,1.0,5.0,1.0,2.0,3.0,3.0,6.0,2.0,,2.0,3.0,,4.0,,1.0,2.0,3.0,3.0,3.0,2.0,4.0,5.0,,4.0,,2.0,1.0,,2.0,3.0,2.0,,3.0,,2.0,3.0,,,,5.0,55.0
30,1.0,174.0,31.0,3.0,10.0,6.0,2.0,22.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,,2.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,,2.0,3.0,,4.0,,1.0,4.0,3.0,4.0,1.0,2.0,3.0,5.0,,3.0,,2.0,1.0,,2.0,2.0,1.0,,1.0,,2.0,2.0,,,,7.0,98.0
31,1.0,174.0,32.0,1.0,3.0,5.0,3.0,31.0,3.0,2.0,3.0,4.0,3.0,4.0,2.0,2.0,2.0,5.0,4.0,,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,1.0,2.0,2.0,5.0,2.0,2.0,3.0,2.0,1.0,4.0,,2.0,4.0,,4.0,,2.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,,4.0,,1.0,1.0,,3.0,3.0,2.0,,1.0,,3.0,3.0,,,,7.0,91.0
32,1.0,174.0,33.0,4.0,4.0,7.0,5.0,58.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,,3.0,1.0,1.0,2.0,2.0,1.0,5.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,6.0,4.0,,2.0,5.0,,4.0,,4.0,3.0,3.0,4.0,2.0,1.0,1.0,4.0,,4.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,,3.0,4.0,,,,7.0,15.0
33,1.0,174.0,34.0,4.0,2.0,7.0,3.0,32.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0,,3.0,2.0,3.0,2.0,2.0,1.0,3.0,4.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,6.0,2.0,,2.0,0.0,,4.0,,1.0,3.0,3.0,3.0,2.0,1.0,1.0,5.0,,4.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,,3.0,2.0,,,,7.0,20.0
34,1.0,174.0,35.0,3.0,7.0,5.0,4.0,43.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,0.0,2.0,3.0,3.0,6.0,2.0,,2.0,5.0,,3.0,,4.0,4.0,4.0,4.0,1.0,1.0,1.0,5.0,,3.0,,2.0,1.0,,1.0,1.0,1.0,,1.0,,3.0,2.0,,,,7.0,35.0
35,1.0,174.0,36.0,3.0,3.0,5.0,5.0,54.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,1.0,3.0,4.0,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,3.0,6.0,1.0,,2.0,5.0,,4.0,,3.0,3.0,3.0,4.0,1.0,2.0,2.0,1.0,,3.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,,3.0,2.0,,,,7.0,17.0
36,1.0,174.0,37.0,1.0,6.0,4.0,5.0,57.0,4.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,5.0,3.0,4.0,,2.0,1.0,1.0,2.0,2.0,2.0,5.0,5.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,,2.0,5.0,,4.0,,4.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,,1.0,,1.0,1.0,,2.0,2.0,1.0,,3.0,,3.0,2.0,,,,7.0,73.0
37,1.0,174.0,38.0,3.0,10.0,4.0,3.0,33.0,5.0,2.0,3.0,3.0,3.0,2.0,5.0,5.0,5.0,5.0,2.0,,1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,2.0,2.0,1.0,4.0,2.0,2.0,3.0,3.0,2.0,4.0,,2.0,5.0,,4.0,,4.0,3.0,4.0,4.0,3.0,3.0,3.0,5.0,,4.0,,2.0,1.0,,1.0,1.0,2.0,,3.0,,3.0,3.0,,,,7.0,44.0
38,1.0,174.0,39.0,3.0,2.0,3.0,7.0,74.0,4.0,1.0,3.0,2.0,2.0,2.0,5.0,5.0,2.0,3.0,3.0,,1.0,2.0,1.0,2.0,2.0,3.0,5.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,,1.0,2.0,,4.0,,2.0,4.0,4.0,3.0,1.0,2.0,3.0,1.0,,2.0,,2.0,1.0,,2.0,2.0,2.0,,2.0,,2.0,4.0,,,,7.0,1.0
39,1.0,174.0,40.0,3.0,7.0,5.0,5.0,54.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,5.0,2.0,3.0,4.0,,1.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,6.0,2.0,,1.0,1.0,,4.0,,0.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,,3.0,,1.0,2.0,,2.0,2.0,1.0,,3.0,,3.0,3.0,,,,7.0,5.0
40,1.0,174.0,41.0,3.0,5.0,6.0,2.0,21.0,5.0,2.0,3.0,2.0,3.0,4.0,5.0,5.0,4.0,3.0,2.0,,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,2.0,2.0,3.0,2.0,1.0,2.0,,2.0,3.0,,4.0,,4.0,0.0,3.0,4.0,2.0,3.0,1.0,4.0,,3.0,,1.0,4.0,,2.0,3.0,2.0,,1.0,,3.0,4.0,,,,7.0,24.0
41,1.0,174.0,42.0,1.0,9.0,1.0,5.0,58.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,5.0,2.0,3.0,1.0,,1.0,1.0,2.0,2.0,2.0,1.0,4.0,3.0,3.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,6.0,3.0,,2.0,5.0,,4.0,,2.0,3.0,3.0,2.0,3.0,1.0,1.0,5.0,,4.0,,2.0,1.0,,3.0,1.0,1.0,,1.0,,3.0,4.0,,,,7.0,32.0
42,1.0,174.0,43.0,1.0,5.0,1.0,5.0,58.0,3.0,2.0,3.0,2.0,2.0,2.0,5.0,5.0,3.0,5.0,4.0,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,,2.0,5.0,,4.0,,3.0,3.0,3.0,4.0,1.0,1.0,4.0,4.0,,2.0,,1.0,1.0,,3.0,1.0,1.0,,1.0,,3.0,2.0,,,,7.0,27.0
43,1.0,174.0,44.0,3.0,3.0,3.0,6.0,64.0,1.0,2.0,3.0,3.0,3.0,4.0,3.0,5.0,2.0,3.0,2.0,,2.0,3.0,3.0,2.0,2.0,4.0,3.0,0.0,4.0,2.0,2.0,5.0,2.0,2.0,3.0,1.0,1.0,3.0,,2.0,3.0,,4.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,,4.0,,2.0,1.0,,4.0,3.0,2.0,,1.0,,3.0,2.0,,,,7.0,21.0
44,1.0,174.0,45.0,0.0,0.0,1.0,6.0,64.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,0.0,2.0,2.0,3.0,1.0,0.0,,2.0,0.0,,4.0,,1.0,3.0,3.0,4.0,3.0,1.0,3.0,0.0,,2.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,,0.0,0.0,,,,7.0,52.0
45,1.0,174.0,46.0,1.0,6.0,1.0,5.0,54.0,1.0,2.0,2.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,,1.0,3.0,3.0,2.0,3.0,1.0,5.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,6.0,4.0,,2.0,5.0,,4.0,,4.0,3.0,3.0,4.0,2.0,2.0,3.0,1.0,,4.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,,3.0,2.0,,,,7.0,63.0
46,1.0,174.0,47.0,1.0,2.0,5.0,2.0,21.0,5.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,1.0,1.0,,1.0,1.0,1.0,2.0,3.0,4.0,3.0,3.0,4.0,2.0,1.0,6.0,1.0,2.0,2.0,1.0,6.0,3.0,,2.0,0.0,,4.0,,2.0,2.0,3.0,2.0,3.0,2.0,1.0,4.0,,4.0,,2.0,1.0,,3.0,2.0,2.0,,1.0,,3.0,2.0,,,,7.0,54.0
47,1.0,174.0,48.0,3.0,9.0,4.0,2.0,21.0,5.0,2.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,1.0,3.0,,1.0,3.0,3.0,2.0,3.0,3.0,5.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,3.0,3.0,2.0,4.0,,2.0,2.0,,4.0,,3.0,0.0,3.0,3.0,2.0,1.0,4.0,2.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,,3.0,4.0,,,,7.0,13.0
48,1.0,174.0,49.0,1.0,8.0,6.0,2.0,23.0,5.0,2.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,1.0,3.0,,1.0,3.0,3.0,2.0,3.0,3.0,5.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,3.0,3.0,1.0,4.0,,2.0,2.0,,4.0,,1.0,3.0,3.0,3.0,2.0,1.0,4.0,2.0,,1.0,,2.0,1.0,,1.0,1.0,1.0,,1.0,,3.0,4.0,,,,7.0,14.0
49,1.0,174.0,50.0,5.0,9.0,7.0,0.0,0.0,5.0,4.0,2.0,4.0,3.0,4.0,5.0,5.0,5.0,3.0,4.0,,2.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,3.0,6.0,4.0,,1.0,2.0,,4.0,,1.0,3.0,3.0,3.0,2.0,1.0,1.0,4.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,,3.0,,3.0,4.0,,,,7.0,45.0
50,1.0,174.0,51.0,4.0,9.0,5.0,6.0,64.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,2.0,,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,6.0,2.0,,2.0,3.0,,4.0,,1.0,3.0,3.0,4.0,3.0,2.0,3.0,5.0,,2.0,,1.0,1.0,,2.0,1.0,1.0,,3.0,,3.0,4.0,,,,7.0,78.0
