,CARD,DECK,BALLOT,S175.Q1,S175.Q2,S175.Q3,S175.Q4,S175.Q5,S175.Q6,S175.Q7.n,S175.Q8,S175.Q9,S175.Q10,S175.Q11,S175.Q12,S175.Q13,S175.Q14,S175.Q15,S175.Q16.n,S175.Q17,S175.Q18,S175.Q19,S175.Q20,S175.Q21,S175.Q22,S175.Q23,S175.Q24,S175.Q25,S175.Q26,S175.Q27,S175.Q28.n,S175.Q29,S175.Q30A,S175.Q30B,S175.Q30C,S175.Q30D,S175.Q30E,S175.Q30F,S175.Q30G,S175.Q30H,S175.Q30I,S175.Q30J,S175.Q31.n,S175.Q32,S175.Q33,S175.Q34,S175.Q35,S175.Q36,S175.Q37,S175.Q38,S175.Q39,S175.Q40,S175.Q41,S175.Q42A,S175.Q42B,S175.Q42C,S175.Q42D,S175.Q42E,S175.Q42F,S175.Q42G,S175.Q42H,S175.Q42I,S175.Q42J,S175.Q42K,S175.Q42L,S175.Q43.n,S175.Q44,S175.Q45,S175.Q46,S175.Q47.n,S175.V48,S175.V49,S175.V50
0,1.0,175.0,1.0,2.0,11.0,4.0,7.0,1.0,2.0,,1.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,,4.0,5.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,6.0,91.0
1,1.0,175.0,2.0,1.0,7.0,2.0,9.0,1.0,4.0,,1.0,5.0,5.0,4.0,3.0,2.0,1.0,1.0,,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,,3.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0,,4.0,1.0,3.0,2.0,0.0,3.0,6.0,3.0,2.0,2.0,4.0,1.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,3.0,4.0,4.0,,4.0,4.0,4.0,,0.0,6.0,69.0
2,1.0,175.0,3.0,1.0,5.0,5.0,5.0,1.0,1.0,,1.0,4.0,5.0,3.0,4.0,3.0,2.0,1.0,,2.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,5.0,,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,4.0,1.0,2.0,1.0,2.0,2.0,7.0,4.0,1.0,2.0,1.0,1.0,3.0,4.0,3.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,,2.0,4.0,3.0,,2.0,3.0,69.0
3,1.0,175.0,4.0,1.0,8.0,4.0,5.0,1.0,1.0,,1.0,3.0,5.0,3.0,4.0,3.0,1.0,1.0,,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,1.0,1.0,2.0,2.0,1.0,5.0,1.0,2.0,2.0,1.0,2.0,3.0,4.0,4.0,2.0,4.0,1.0,2.0,4.0,4.0,2.0,,1.0,1.0,2.0,,0.0,6.0,62.0
4,1.0,175.0,5.0,3.0,10.0,3.0,1.0,1.0,3.0,,1.0,1.0,5.0,3.0,4.0,3.0,2.0,1.0,,1.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,3.0,1.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,3.0,4.0,2.0,4.0,4.0,4.0,1.0,2.0,1.0,4.0,4.0,4.0,4.0,,1.0,1.0,2.0,,0.0,8.0,46.0
5,1.0,175.0,6.0,4.0,9.0,4.0,9.0,1.0,4.0,,1.0,1.0,5.0,2.0,1.0,2.0,1.0,1.0,,1.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,,3.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,,3.0,1.0,1.0,2.0,5.0,3.0,6.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0,4.0,4.0,,1.0,4.0,2.0,,0.0,6.0,82.0
6,1.0,175.0,7.0,1.0,4.0,4.0,4.0,1.0,3.0,,1.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,,1.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,2.0,1.0,4.0,1.0,3.0,2.0,7.0,4.0,2.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,2.0,2.0,3.0,,0.0,8.0,4.0
7,1.0,175.0,8.0,4.0,11.0,4.0,4.0,1.0,4.0,,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,3.0,2.0,5.0,2.0,4.0,3.0,0.0,0.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,,3.0,0.0,0.0,,0.0,8.0,21.0
8,1.0,175.0,9.0,3.0,6.0,3.0,9.0,1.0,4.0,,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,5.0,,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,31.0
9,1.0,175.0,10.0,2.0,8.0,2.0,7.0,1.0,2.0,,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,,4.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,4.0,4.0,,3.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,,3.0,1.0,2.0,1.0,2.0,2.0,7.0,4.0,3.0,2.0,2.0,1.0,3.0,0.0,2.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,,3.0,2.0,2.0,,0.0,6.0,4.0
