,CARD,DECK,BALLOT,S210.Q1,S210.Q2,S210.Q3,S210.Q4,S210.Q5,S210.Q6,S210.Q7,S210.Q8,S210.Q9,S210.Q10,S210.Q11,S210.Q12,S210.Q13,S210.Q14,S210.Q15,S210.Q16,S210.Q17,S210.Q18,S210.Q19,S210.Q20,S210.Q21,S210.Q22,S210.Q23,S210.Q24,S210.Q25,S210.Q27,S210.Q28,S210.Q29,S210.Q30,S210.Q31,S210.Q32,S210.Q33,S210.Q34,S210.Q35,S210.Q36,S210.Q37,S210.Q38,S210.Q39,S210.Q40,S210.Q41,S210.Q42,S210.Q44,S210.Q45,S210.Q46,S210.Q47,S210.Q48,S210.Q49,S210.Q50.n,S210.Q51,S210.Q52,S210.Q53.1,S210.Q53.2,S210.Q53.3,S210.Q53.4,S210.Q53.5,S210.Q53.6,S210.Q53.7,S210.Q53.8,S210.Q53.9,S210.Q53.10,S210.Q53.11,S210.Q53.12,S210.Q53.13,S210.Q53.14,S210.V54,S210.V55,S210.V56,S210.V57
10,1.0,210.0,11.0,4.0,9.0,7.0,2.0,5.0,2.0,2.0,4.0,2.0,7.0,3.0,1.0,7.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,,4.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,9.0
11,1.0,210.0,12.0,4.0,10.0,5.0,2.0,5.0,2.0,1.0,4.0,1.0,4.0,6.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,1.0,2.0,0.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,5.0,,4.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,10.0
12,1.0,210.0,13.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,1.0,6.0,7.0,1.0,7.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,5.0,,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,11.0
13,1.0,210.0,14.0,3.0,7.0,6.0,4.0,3.0,2.0,1.0,1.0,1.0,5.0,6.0,1.0,7.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,2.0,4.0,5.0,4.0,3.0,5.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,,4.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,12.0
14,1.0,210.0,15.0,1.0,1.0,5.0,4.0,1.0,1.0,3.0,5.0,1.0,4.0,1.0,1.0,7.0,5.0,2.0,3.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,5.0,3.0,1.0,3.0,3.0,5.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,5.0,,4.0,7.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,13.0
15,1.0,210.0,16.0,2.0,8.0,6.0,2.0,5.0,1.0,3.0,5.0,2.0,5.0,6.0,1.0,7.0,2.0,2.0,3.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,5.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,,4.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,14.0
16,1.0,210.0,17.0,1.0,3.0,6.0,6.0,2.0,1.0,3.0,5.0,1.0,5.0,6.0,1.0,7.0,5.0,2.0,2.0,2.0,4.0,2.0,3.0,1.0,3.0,4.0,4.0,3.0,3.0,5.0,5.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,1.0,1.0,5.0,,4.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,15.0
17,1.0,210.0,18.0,1.0,4.0,6.0,2.0,5.0,2.0,2.0,4.0,2.0,4.0,1.0,1.0,7.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,4.0,4.0,4.0,4.0,1.0,5.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,5.0,,4.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,16.0
18,1.0,210.0,19.0,5.0,8.0,5.0,7.0,3.0,2.0,1.0,4.0,1.0,5.0,6.0,1.0,7.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,6.0,6.0,5.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,5.0,,4.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,17.0
19,1.0,210.0,20.0,4.0,10.0,4.0,4.0,2.0,2.0,1.0,4.0,1.0,5.0,6.0,1.0,7.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,5.0,,4.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,18.0
20,1.0,210.0,21.0,2.0,8.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,5.0,5.0,1.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,5.0,,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,19.0
21,1.0,210.0,22.0,1.0,5.0,5.0,3.0,4.0,1.0,3.0,5.0,1.0,5.0,6.0,3.0,7.0,2.0,1.0,2.0,2.0,4.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,4.0,3.0,4.0,1.0,1.0,5.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,5.0,,4.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,20.0
22,1.0,210.0,23.0,3.0,4.0,6.0,2.0,5.0,1.0,3.0,5.0,1.0,5.0,5.0,1.0,7.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,4.0,4.0,5.0,4.0,4.0,5.0,1.0,4.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,5.0,,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,21.0
23,1.0,210.0,24.0,2.0,2.0,5.0,1.0,1.0,1.0,3.0,5.0,2.0,4.0,4.0,1.0,7.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,5.0,,4.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,22.0
24,1.0,210.0,25.0,3.0,7.0,5.0,2.0,3.0,1.0,3.0,5.0,1.0,5.0,6.0,2.0,7.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,5.0,,4.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,23.0
25,1.0,210.0,26.0,3.0,10.0,8.0,3.0,4.0,1.0,3.0,5.0,1.0,5.0,5.0,1.0,7.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,4.0,4.0,1.0,4.0,3.0,5.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,5.0,,4.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,24.0
26,1.0,210.0,27.0,3.0,8.0,5.0,9.0,3.0,1.0,3.0,5.0,2.0,5.0,6.0,1.0,7.0,0.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,4.0,1.0,4.0,3.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,,4.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,25.0
27,1.0,210.0,28.0,2.0,9.0,4.0,5.0,4.0,2.0,1.0,4.0,1.0,5.0,5.0,1.0,7.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,4.0,2.0,1.0,2.0,4.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,5.0,,4.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,26.0
28,1.0,210.0,29.0,1.0,9.0,5.0,4.0,5.0,3.0,3.0,4.0,2.0,5.0,1.0,1.0,7.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,4.0,4.0,3.0,3.0,5.0,1.0,1.0,1.0,2.0,0.0,3.0,3.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,5.0,,4.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,27.0
29,1.0,210.0,30.0,1.0,8.0,5.0,2.0,5.0,1.0,3.0,5.0,2.0,5.0,6.0,6.0,7.0,2.0,1.0,3.0,2.0,4.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,5.0,1.0,4.0,3.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,5.0,,4.0,6.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,28.0
30,1.0,210.0,31.0,3.0,6.0,5.0,2.0,5.0,1.0,3.0,1.0,3.0,7.0,7.0,1.0,1.0,1.0,3.0,0.0,1.0,3.0,4.0,3.0,1.0,2.0,2.0,5.0,5.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,4.0,4.0,2.0,2.0,3.0,0.0,1.0,3.0,4.0,3.0,2.0,2.0,1.0,2.0,5.0,,4.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,5.0,2.0,0.0
31,1.0,210.0,32.0,3.0,10.0,5.0,2.0,5.0,2.0,1.0,4.0,1.0,5.0,7.0,1.0,1.0,2.0,1.0,3.0,1.0,5.0,3.0,2.0,2.0,2.0,2.0,5.0,5.0,1.0,5.0,5.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,4.0,2.0,1.0,2.0,2.0,4.0,5.0,,4.0,6.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,5.0,2.0,1.0
32,1.0,210.0,33.0,5.0,8.0,6.0,2.0,2.0,1.0,3.0,5.0,2.0,7.0,7.0,1.0,1.0,2.0,2.0,3.0,1.0,5.0,3.0,2.0,2.0,3.0,2.0,5.0,5.0,1.0,4.0,5.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,,4.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,5.0,2.0,2.0
33,1.0,210.0,34.0,0.0,10.0,6.0,2.0,5.0,4.0,3.0,4.0,1.0,6.0,7.0,1.0,1.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,6.0,1.0,5.0,5.0,7.0,2.0,2.0,2.0,5.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,,4.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,5.0,2.0,3.0
34,1.0,210.0,35.0,1.0,10.0,4.0,3.0,1.0,2.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,5.0,3.0,3.0,4.0,1.0,1.0,2.0,3.0,2.0,2.0,5.0,5.0,2.0,4.0,4.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0,5.0,,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,2.0,4.0
35,1.0,210.0,36.0,3.0,5.0,6.0,2.0,2.0,1.0,3.0,5.0,1.0,5.0,3.0,1.0,1.0,4.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,5.0,,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,2.0,5.0
36,1.0,210.0,37.0,4.0,9.0,6.0,4.0,3.0,1.0,3.0,5.0,1.0,5.0,7.0,1.0,1.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,1.0,3.0,4.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,5.0,,4.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,2.0,6.0
37,1.0,210.0,38.0,4.0,7.0,7.0,2.0,3.0,2.0,2.0,4.0,2.0,6.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,5.0,3.0,4.0,5.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,,4.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,2.0,7.0
38,1.0,210.0,39.0,3.0,8.0,4.0,2.0,4.0,2.0,1.0,1.0,2.0,5.0,6.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,7.0,0.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,5.0,,4.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,2.0,8.0
39,1.0,210.0,40.0,5.0,10.0,6.0,3.0,3.0,1.0,3.0,5.0,1.0,6.0,7.0,1.0,1.0,5.0,3.0,2.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0,4.0,1.0,5.0,5.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,1.0,4.0,3.0,1.0,1.0,1.0,2.0,5.0,,4.0,6.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,5.0,2.0,9.0
40,1.0,210.0,41.0,3.0,9.0,3.0,2.0,4.0,1.0,3.0,5.0,1.0,6.0,7.0,1.0,1.0,4.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,1.0,4.0,1.0,5.0,1.0,3.0,2.0,5.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,5.0,,4.0,6.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,5.0,2.0,10.0
41,1.0,210.0,42.0,7.0,9.0,4.0,2.0,4.0,1.0,3.0,5.0,1.0,5.0,7.0,1.0,1.0,2.0,3.0,2.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,5.0,5.0,1.0,6.0,6.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,,4.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,2.0,11.0
42,1.0,210.0,43.0,5.0,10.0,3.0,3.0,0.0,1.0,3.0,5.0,1.0,0.0,7.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,2.0,12.0
43,1.0,210.0,44.0,5.0,10.0,1.0,7.0,1.0,1.0,3.0,5.0,1.0,5.0,4.0,1.0,1.0,2.0,3.0,2.0,1.0,4.0,2.0,3.0,2.0,3.0,3.0,5.0,2.0,3.0,6.0,5.0,5.0,5.0,1.0,1.0,2.0,2.0,5.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,5.0,,4.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,2.0,13.0
44,1.0,210.0,45.0,3.0,8.0,5.0,2.0,3.0,1.0,3.0,5.0,1.0,6.0,7.0,1.0,1.0,5.0,2.0,3.0,1.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,,4.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,2.0,14.0
