,CARD,DECK,BALLOT,S136.Q1,S136.Q2,S136.V3,S136.Q3A.1,S136.Q3A.2,S136.Q4,S136.Q5,S136.Q6,S136.Q7,S136.Q8,S136.Q9,S136.Q10,S136.Q11,S136.Q12,S136.Q13,S136.Q14,S136.Q15,S136.Q16,S136.Q17,S136.Q18,S136.Q19A,S136.Q19B,S136.Q21,S136.Q22,S136.V23,S136.V24
17,1.0,136.0,18.0,4.0,3.0,2.0,0.0,0.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,8.0,3.0,1.0,3.0,2.0,4.0,4.0,5.0,3.0,3.0,6.0,209.0
18,1.0,136.0,19.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,4.0,3.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,7.0,209.0
19,1.0,136.0,20.0,3.0,2.0,2.0,0.0,0.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,6.0,9.0
20,1.0,136.0,21.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,4.0,5.0,1.0,2.0,3.0,109.0
21,1.0,136.0,22.0,1.0,3.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,8.0,3.0,1.0,3.0,2.0,3.0,1.0,5.0,3.0,3.0,5.0,109.0
22,1.0,136.0,23.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,1.0,3.0,4.0,2.0,8.0,3.0,2.0,3.0,1.0,1.0,1.0,5.0,2.0,1.0,4.0,509.0
23,1.0,136.0,24.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,0.0,3.0,2.0,2.0,1.0,1.0,5.0,5.0,1.0,4.0,4.0,409.0
24,1.0,136.0,25.0,4.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,8.0,3.0,1.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,9.0,9.0
25,1.0,136.0,26.0,4.0,3.0,2.0,0.0,0.0,4.0,4.0,2.0,3.0,2.0,1.0,1.0,4.0,2.0,7.0,3.0,1.0,4.0,3.0,4.0,1.0,2.0,1.0,1.0,10.0,109.0
26,1.0,136.0,27.0,4.0,3.0,2.0,0.0,0.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,109.0
27,1.0,136.0,28.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,4.0,3.0,2.0,3.0,1.0,1.0,5.0,5.0,2.0,2.0,2.0,9.0
28,1.0,136.0,29.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0,2.0,4.0,3.0,2.0,3.0,4.0,2.0,3.0,5.0,1.0,1.0,1.0,9.0
29,1.0,136.0,30.0,4.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,8.0,3.0,1.0,4.0,5.0,1.0,3.0,3.0,1.0,2.0,10.0,9.0
30,1.0,136.0,31.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,7.0,3.0,2.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,6.0,4.0
31,1.0,136.0,32.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,5.0,3.0,2.0,3.0,2.0,4.0,1.0,5.0,2.0,2.0,3.0,104.0
32,1.0,136.0,33.0,4.0,3.0,2.0,0.0,0.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,4.0,5.0,2.0,2.0,5.0,104.0
33,1.0,136.0,34.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,8.0,3.0,2.0,3.0,3.0,1.0,4.0,5.0,2.0,2.0,4.0,404.0
34,1.0,136.0,35.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,2.0,1.0,2.0,2.0,9.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,504.0
35,1.0,136.0,36.0,4.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,5.0,3.0,1.0,4.0,1.0,0.0,3.0,0.0,5.0,1.0,10.0,104.0
36,1.0,136.0,37.0,4.0,3.0,2.0,0.0,0.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,5.0,3.0,1.0,1.0,1.0,4.0,4.0,5.0,1.0,1.0,2.0,104.0
37,1.0,136.0,38.0,3.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,3.0,3.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,4.0,1.0,5.0,5.0,1.0,1.0,2.0,90.0
38,1.0,136.0,39.0,4.0,3.0,2.0,0.0,0.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,4.0,3.0,2.0,1.0,4.0,1.0,3.0,3.0,4.0,4.0,1.0,90.0
39,1.0,136.0,40.0,4.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0,4.0,1.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,5.0,5.0,1.0,2.0,1.0,90.0
40,1.0,136.0,41.0,2.0,3.0,2.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,5.0,3.0,1.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,8.0,160.0
41,1.0,136.0,42.0,4.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,10.0,260.0
42,1.0,136.0,43.0,4.0,3.0,2.0,0.0,0.0,2.0,2.0,4.0,3.0,3.0,1.0,2.0,4.0,2.0,8.0,1.0,2.0,4.0,1.0,4.0,0.0,5.0,4.0,4.0,9.0,60.0
43,1.0,136.0,44.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,8.0,3.0,1.0,3.0,2.0,1.0,3.0,5.0,1.0,1.0,7.0,160.0
44,1.0,136.0,45.0,4.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,4.0,3.0,1.0,3.0,1.0,1.0,4.0,4.0,1.0,1.0,3.0,160.0
45,1.0,136.0,46.0,3.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,8.0,3.0,1.0,2.0,3.0,2.0,3.0,5.0,1.0,1.0,5.0,160.0
46,1.0,136.0,47.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,9.0,3.0,1.0,3.0,1.0,2.0,0.0,5.0,1.0,1.0,4.0,460.0
47,1.0,136.0,48.0,4.0,3.0,2.0,0.0,0.0,1.0,2.0,4.0,2.0,3.0,1.0,3.0,3.0,1.0,6.0,3.0,1.0,3.0,1.0,1.0,4.0,5.0,2.0,1.0,7.0,60.0
48,1.0,136.0,49.0,4.0,3.0,2.0,0.0,0.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,4.0,2.0,6.0,3.0,1.0,3.0,1.0,1.0,4.0,5.0,1.0,1.0,10.0,160.0
49,1.0,136.0,50.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,4.0,3.0,3.0,1.0,3.0,4.0,2.0,6.0,3.0,2.0,2.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,160.0
50,1.0,136.0,51.0,4.0,3.0,2.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,1.0,4.0,5.0,1.0,1.0,10.0,60.0
51,1.0,136.0,52.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,7.0,3.0,1.0,2.0,1.0,0.0,6.0,4.0,4.0,4.0,2.0,60.0
52,1.0,136.0,53.0,4.0,3.0,2.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,3.0,1.0,4.0,1.0,1.0,6.0,5.0,2.0,2.0,7.0,170.0
53,1.0,136.0,54.0,2.0,3.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,11.0,3.0,1.0,2.0,1.0,2.0,3.0,4.0,1.0,1.0,8.0,170.0
54,1.0,136.0,55.0,4.0,3.0,2.0,0.0,0.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,4.0,2.0,6.0,3.0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,10.0,270.0
55,1.0,136.0,56.0,4.0,3.0,2.0,0.0,0.0,2.0,2.0,1.0,4.0,4.0,1.0,1.0,2.0,2.0,7.0,3.0,2.0,3.0,1.0,2.0,1.0,5.0,5.0,5.0,6.0,70.0
56,1.0,136.0,57.0,3.0,2.0,2.0,0.0,0.0,2.0,1.0,4.0,3.0,2.0,1.0,3.0,3.0,2.0,8.0,3.0,1.0,2.0,1.0,1.0,3.0,5.0,2.0,2.0,5.0,170.0
57,1.0,136.0,58.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,4.0,2.0,3.0,1.0,1.0,1.0,2.0,5.0,3.0,1.0,2.0,1.0,1.0,3.0,6.0,2.0,2.0,4.0,470.0
58,1.0,136.0,59.0,4.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,9.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,7.0,70.0
59,1.0,136.0,60.0,4.0,3.0,2.0,0.0,0.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,6.0,6.0,1.0,1.0,3.0,170.0
60,1.0,136.0,61.0,4.0,3.0,2.0,0.0,0.0,2.0,2.0,4.0,2.0,3.0,1.0,2.0,4.0,1.0,0.0,3.0,1.0,2.0,5.0,1.0,4.0,5.0,2.0,1.0,10.0,170.0
61,1.0,136.0,62.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,2.0,2.0,3.0,1.0,2.0,3.0,4.0,1.0,1.0,2.0,70.0
62,1.0,136.0,63.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,4.0,1.0,8.0,3.0,2.0,3.0,5.0,2.0,2.0,4.0,2.0,2.0,1.0,170.0
63,1.0,136.0,64.0,4.0,3.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,1.0,7.0,3.0,2.0,3.0,4.0,2.0,3.0,5.0,1.0,1.0,1.0,70.0
64,1.0,136.0,65.0,4.0,3.0,2.0,0.0,0.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,5.0,3.0,1.0,2.0,1.0,4.0,6.0,6.0,2.0,2.0,10.0,10.0
65,1.0,136.0,66.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,5.0,3.0,4.0,4.0,1.0,2.0,2.0,10.0
66,1.0,136.0,67.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,4.0,1.0,8.0,3.0,2.0,2.0,1.0,1.0,6.0,5.0,4.0,4.0,1.0,10.0
67,1.0,136.0,68.0,4.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,5.0,3.0,1.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,9.0,100.0
68,1.0,136.0,69.0,4.0,3.0,2.0,0.0,0.0,4.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,4.0,3.0,2.0,5.0,2.0,2.0,7.0,100.0
69,1.0,136.0,70.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,6.0,3.0,2.0,3.0,1.0,1.0,6.0,6.0,1.0,1.0,8.0,100.0
70,1.0,136.0,71.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,5.0,1.0,200.0
71,1.0,136.0,72.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,6.0,3.0,1.0,3.0,5.0,1.0,2.0,4.0,1.0,1.0,5.0,200.0
72,1.0,136.0,73.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,1.0,3.0,1.0,2.0,9.0,3.0,1.0,3.0,1.0,3.0,1.0,5.0,2.0,1.0,6.0,200.0
73,1.0,136.0,74.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,10.0,3.0,1.0,2.0,1.0,1.0,6.0,6.0,1.0,1.0,7.0,200.0
74,1.0,136.0,75.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,6.0,5.0,1.0,5.0,3.0,100.0
75,1.0,136.0,76.0,4.0,3.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,5.0,3.0,1.0,3.0,5.0,2.0,4.0,4.0,1.0,1.0,4.0,500.0
76,1.0,136.0,77.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,6.0,3.0,2.0,3.0,1.0,1.0,4.0,4.0,1.0,1.0,2.0,100.0
77,1.0,136.0,78.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,7.0,110.0
78,1.0,136.0,79.0,2.0,3.0,2.0,0.0,0.0,1.0,3.0,0.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,0.0,1.0,4.0,4.0,4.0,8.0,110.0
79,1.0,136.0,80.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,3.0,5.0,1.0,3.0,4.0,2.0,7.0,3.0,2.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,210.0
80,1.0,136.0,81.0,4.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0,2.0,6.0,3.0,1.0,2.0,5.0,1.0,3.0,5.0,1.0,1.0,10.0,210.0
81,1.0,136.0,82.0,1.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,6.0,3.0,1.0,2.0,1.0,1.0,6.0,6.0,4.0,4.0,5.0,210.0
82,1.0,136.0,83.0,4.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,4.0,3.0,1.0,3.0,1.0,1.0,2.0,5.0,1.0,1.0,6.0,210.0
83,1.0,136.0,84.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,7.0,3.0,2.0,1.0,1.0,1.0,5.0,1.0,2.0,2.0,7.0,210.0
84,1.0,136.0,85.0,4.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,1.0,8.0,3.0,2.0,2.0,1.0,1.0,1.0,5.0,4.0,4.0,9.0,10.0
85,1.0,136.0,86.0,3.0,3.0,2.0,0.0,0.0,2.0,3.0,4.0,2.0,3.0,1.0,1.0,1.0,2.0,8.0,3.0,1.0,3.0,2.0,1.0,4.0,5.0,2.0,1.0,6.0,10.0
86,1.0,136.0,87.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,4.0,5.0,1.0,2.0,3.0,110.0
87,1.0,136.0,88.0,4.0,3.0,2.0,0.0,0.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,4.0,2.0,6.0,3.0,1.0,4.0,1.0,1.0,3.0,6.0,1.0,1.0,10.0,226.0
88,1.0,136.0,89.0,3.0,3.0,2.0,0.0,0.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,4.0,5.0,2.0,1.0,5.0,225.0
89,1.0,136.0,90.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,8.0,3.0,1.0,2.0,2.0,1.0,4.0,4.0,2.0,1.0,7.0,225.0
90,1.0,136.0,91.0,4.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,5.0,3.0,2.0,3.0,1.0,1.0,4.0,5.0,4.0,4.0,6.0,225.0
91,1.0,136.0,92.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,5.0,6.0,25.0
92,1.0,136.0,93.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,1.0,3.0,2.0,1.0,0.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,1.0,7.0,125.0
93,1.0,136.0,94.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,4.0,5.0,4.0,1.0,3.0,2.0,4.0,3.0,1.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,55.0
94,1.0,136.0,95.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,0.0,3.0,1.0,3.0,1.0,1.0,2.0,4.0,1.0,1.0,7.0,135.0
95,1.0,136.0,96.0,4.0,3.0,2.0,0.0,0.0,2.0,2.0,1.0,4.0,5.0,1.0,1.0,4.0,2.0,8.0,3.0,1.0,1.0,5.0,4.0,3.0,3.0,3.0,3.0,8.0,135.0
96,1.0,136.0,97.0,4.0,3.0,2.0,0.0,0.0,1.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,8.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,10.0,235.0
97,1.0,136.0,98.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,4.0,2.0,2.0,1.0,3.0,2.0,1.0,6.0,3.0,2.0,2.0,1.0,1.0,6.0,6.0,1.0,1.0,7.0,235.0
98,1.0,136.0,99.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,6.0,3.0,2.0,3.0,1.0,1.0,6.0,2.0,3.0,3.0,6.0,35.0
99,1.0,136.0,100.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,5.0,1.0,3.0,2.0,2.0,7.0,3.0,1.0,1.0,4.0,2.0,1.0,5.0,1.0,1.0,2.0,63.0
100,1.0,136.0,101.0,3.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,5.0,5.0,1.0,3.0,3.0,1.0,8.0,3.0,2.0,2.0,5.0,1.0,6.0,6.0,1.0,2.0,1.0,163.0
101,1.0,136.0,102.0,4.0,3.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,4.0,1.0,1.0,10.0,63.0
102,1.0,136.0,103.0,4.0,3.0,2.0,0.0,0.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,7.0,3.0,1.0,3.0,1.0,4.0,0.0,0.0,2.0,1.0,7.0,173.0
103,1.0,136.0,104.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,8.0,3.0,2.0,3.0,5.0,1.0,2.0,5.0,4.0,4.0,8.0,173.0
104,1.0,136.0,105.0,1.0,3.0,2.0,0.0,0.0,2.0,2.0,4.0,3.0,2.0,1.0,1.0,2.0,2.0,7.0,3.0,1.0,3.0,1.0,1.0,2.0,5.0,4.0,4.0,6.0,73.0
105,1.0,136.0,106.0,1.0,3.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,7.0,3.0,2.0,2.0,1.0,1.0,5.0,4.0,1.0,1.0,5.0,173.0
106,1.0,136.0,107.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,4.0,2.0,4.0,3.0,3.0,3.0,1.0,0.0,3.0,1.0,3.0,1.0,1.0,3.0,4.0,1.0,2.0,4.0,473.0
107,1.0,136.0,108.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,4.0,2.0,1.0,3.0,1.0,5.0,7.0,73.0
108,1.0,136.0,109.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,2.0,3.0,173.0
109,1.0,136.0,110.0,4.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,2.0,10.0,173.0
110,1.0,136.0,111.0,3.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,3.0,4.0,1.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,173.0
111,1.0,136.0,112.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,7.0,3.0,1.0,3.0,1.0,1.0,4.0,5.0,1.0,1.0,2.0,73.0
112,1.0,136.0,113.0,4.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,73.0
113,1.0,136.0,114.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,4.0,2.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,2.0,3.0,1.0,3.0,6.0,6.0,4.0,4.0,1.0,113.0
114,1.0,136.0,115.0,4.0,3.0,2.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,7.0,3.0,1.0,4.0,4.0,4.0,2.0,1.0,4.0,1.0,2.0,13.0
