,CARD,DECK,BALLOT,S47.Q1,S47.Q2,S47.Q3,S47.Q4,S47.Q5A,S47.Q5B,S47.Q6,S47.Q7,S47.Q8,S47.Q9,S47.Q10,S47.Q11,S47.Q12,S47.Q13,S47.Q14,S47.Q15,S47.Q16,S47.Q17,S47.Q18,S47.Q19,S47.Q20,S47.Q21,S47.Q22,S47.Q23,S47.Q24,S47.Q25,S47.Q26,S47.Q27,S47.Q28,S47.Q29,S47.Q30,S47.Q31,S47.Q32,S47.Q33,S47.Q34,S47.Q35,S47.Q36,S47.Q37,S47.Q38,S47.Q39J,S47.Q40,S47.Q40A,S47.Q41,S47.Q42,S47.Q43A,S47.Q43B,S47.Q43C,S47.Q44,S47.Q45,S47.Q46,S47.Q46A,S47.Q46B,S47.Q46C,S47.Q46D,S47.Q46E,S47.Q47A,S47.Q47B,S47.Q47C,S47.Q47D,S47.Q47E,S47.Q47F,S47.Q47G,S47.Q47H,S47.Q48,S47.Q49,CARD..1,DECK..1,BALLOT..1,S47.V50,S47.V51,S47.V52,S47.V53
20,1.0,47.0,21.0,6.0,2.0,3.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,4.0,0.0,1.0,2.0,2.0,7.0,1.0,1.0,1.0,4.0,4.0,2.0,2.0,4.0,1.0,1.0,2.0,9.0,5.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,2.0,47.0,21.0,1.0,8.0,9.0,2001.0
21,1.0,47.0,22.0,6.0,2.0,1.0,2.0,0.0,0.0,5.0,5.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,2.0,7.0,2.0,3.0,1.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,9.0,5.0,1.0,3.0,2.0,1.0,1.0,5.0,5.0,1.0,1.0,3.0,3.0,9.0,99.0,99.0,99.0,9.0,3.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,47.0,22.0,5.0,9.0,9.0,2255.0
22,1.0,47.0,23.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,5.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,47.0,23.0,4.0,6.0,9.0,2030.0
23,1.0,47.0,24.0,3.0,2.0,2.0,1.0,3.0,5.0,7.0,4.0,2.0,5.0,1.0,1.0,3.0,2.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,4.0,3.0,2.0,1.0,3.0,5.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,9.0,99.0,99.0,99.0,9.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,47.0,24.0,4.0,8.0,9.0,2147.0
24,1.0,47.0,25.0,2.0,2.0,2.0,1.0,1.0,0.0,5.0,4.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,6.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,4.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,9.0,99.0,99.0,99.0,9.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,47.0,25.0,3.0,10.0,9.0,2248.0
25,1.0,47.0,26.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,4.0,2.0,5.0,1.0,1.0,3.0,2.0,2.0,6.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,1.0,4.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,9.0,99.0,99.0,99.0,9.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,47.0,26.0,6.0,9.0,9.0,2207.0
26,1.0,47.0,27.0,2.0,2.0,2.0,1.0,5.0,5.0,7.0,5.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,6.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,4.0,4.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,5.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,9.0,99.0,99.0,99.0,9.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,47.0,27.0,3.0,9.0,9.0,2178.0
27,1.0,47.0,28.0,2.0,2.0,1.0,1.0,3.0,4.0,7.0,5.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,6.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,1.0,5.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,47.0,28.0,7.0,10.0,9.0,2037.0
28,1.0,47.0,29.0,6.0,2.0,1.0,1.0,2.0,2.0,7.0,5.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,5.0,2.0,2.0,1.0,4.0,4.0,4.0,1.0,4.0,2.0,2.0,2.0,0.0,5.0,1.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,9.0,99.0,99.0,99.0,9.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,47.0,29.0,4.0,9.0,9.0,2129.0
29,1.0,47.0,30.0,2.0,1.0,3.0,1.0,0.0,0.0,6.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,0.0,2.0,4.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,4.0,2.0,2.0,1.0,5.0,5.0,1.0,3.0,3.0,3.0,2.0,98.0,98.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,47.0,30.0,7.0,7.0,9.0,2009.0
30,1.0,47.0,31.0,4.0,1.0,2.0,1.0,11.0,11.0,7.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,9.0,2.0,1.0,5.0,5.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,9.0,99.0,99.0,99.0,9.0,3.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,47.0,31.0,5.0,9.0,9.0,2137.0
31,1.0,47.0,32.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,4.0,5.0,5.0,4.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,1.0,4.0,3.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,4.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0,9.0,99.0,99.0,99.0,9.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,47.0,32.0,6.0,6.0,9.0,2173.0
32,1.0,47.0,33.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,7.0,2.0,3.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,5.0,1.0,4.0,2.0,2.0,1.0,2.0,4.0,1.0,3.0,1.0,1.0,2.0,98.0,98.0,2.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,47.0,33.0,7.0,6.0,9.0,2233.0
33,1.0,47.0,34.0,2.0,1.0,2.0,1.0,2.0,4.0,7.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,3.0,7.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,9.0,99.0,99.0,99.0,9.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,47.0,34.0,2.0,7.0,9.0,2252.0
34,1.0,47.0,35.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0,1.0,1.0,4.0,1.0,4.0,2.0,2.0,4.0,1.0,5.0,1.0,3.0,2.0,4.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,98.0,98.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,47.0,35.0,6.0,8.0,9.0,2119.0
35,1.0,47.0,36.0,6.0,1.0,2.0,1.0,1.0,4.0,5.0,3.0,2.0,2.0,1.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,2.0,4.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,8.0,9.0,9.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,47.0,36.0,5.0,6.0,9.0,2029.0
36,1.0,47.0,37.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,8.0,1.0,1.0,4.0,5.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,9.0,99.0,99.0,99.0,9.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,47.0,37.0,4.0,7.0,9.0,2158.0
37,1.0,47.0,38.0,1.0,1.0,1.0,1.0,1.0,10.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,5.0,1.0,1.0,7.0,1.0,1.0,4.0,4.0,2.0,2.0,3.0,4.0,1.0,1.0,3.0,1.0,2.0,98.0,98.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,47.0,38.0,8.0,3.0,9.0,2051.0
38,1.0,47.0,39.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,5.0,4.0,4.0,4.0,3.0,2.0,2.0,4.0,4.0,1.0,1.0,3.0,1.0,2.0,98.0,98.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,47.0,39.0,6.0,7.0,9.0,2066.0
39,1.0,47.0,40.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,98.0,98.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,47.0,40.0,7.0,5.0,9.0,2073.0
