,CARD,DECK,BALLOT,S47.Q1,S47.Q2,S47.Q3,S47.Q4,S47.Q5A,S47.Q5B,S47.Q6,S47.Q7,S47.Q8,S47.Q9,S47.Q10,S47.Q11,S47.Q12,S47.Q13,S47.Q14,S47.Q15,S47.Q16,S47.Q17,S47.Q18,S47.Q19,S47.Q20,S47.Q21,S47.Q22,S47.Q23,S47.Q24,S47.Q25,S47.Q26,S47.Q27,S47.Q28,S47.Q29,S47.Q30,S47.Q31,S47.Q32,S47.Q33,S47.Q34,S47.Q35,S47.Q36,S47.Q37,S47.Q38,S47.Q39J,S47.Q40,S47.Q40A,S47.Q41,S47.Q42,S47.Q43A,S47.Q43B,S47.Q43C,S47.Q44,S47.Q45,S47.Q46,S47.Q46A,S47.Q46B,S47.Q46C,S47.Q46D,S47.Q46E,S47.Q47A,S47.Q47B,S47.Q47C,S47.Q47D,S47.Q47E,S47.Q47F,S47.Q47G,S47.Q47H,S47.Q48,S47.Q49,CARD..1,DECK..1,BALLOT..1,S47.V50,S47.V51,S47.V52,S47.V53
10,1.0,47.0,11.0,2.0,1.0,1.0,3.0,9.0,9.0,7.0,4.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,98.0,98.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,47.0,11.0,8.0,10.0,9.0,2215.0
11,1.0,47.0,12.0,1.0,1.0,2.0,4.0,1.0,2.0,3.0,5.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,6.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,11.0,2.0,4.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,9.0,5.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,98.0,98.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,47.0,12.0,4.0,7.0,9.0,2065.0
12,1.0,47.0,13.0,3.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,5.0,7.0,1.0,1.0,1.0,2.0,5.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,4.0,3.0,3.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,98.0,98.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,47.0,13.0,0.0,9.0,9.0,2117.0
13,1.0,47.0,14.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,4.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,7.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,4.0,4.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,5.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,98.0,98.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,47.0,14.0,0.0,10.0,9.0,2010.0
14,1.0,47.0,15.0,2.0,1.0,1.0,1.0,1.0,7.0,5.0,4.0,2.0,3.0,1.0,1.0,4.0,2.0,3.0,7.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,6.0,2.0,3.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,9.0,99.0,99.0,99.0,9.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,47.0,15.0,6.0,6.0,9.0,2254.0
15,1.0,47.0,16.0,2.0,1.0,2.0,1.0,2.0,2.0,5.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,7.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,1.0,6.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,9.0,99.0,99.0,99.0,9.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,47.0,16.0,4.0,10.0,9.0,2153.0
16,1.0,47.0,17.0,6.0,1.0,1.0,1.0,10.0,10.0,6.0,4.0,4.0,3.0,4.0,3.0,1.0,1.0,4.0,8.0,3.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,4.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,47.0,17.0,0.0,7.0,9.0,2008.0
17,1.0,47.0,18.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0,1.0,3.0,1.0,1.0,4.0,7.0,3.0,1.0,3.0,2.0,1.0,2.0,3.0,4.0,2.0,7.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,9.0,99.0,99.0,99.0,9.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,47.0,18.0,0.0,6.0,9.0,2107.0
18,1.0,47.0,19.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,7.0,2.0,0.0,3.0,2.0,3.0,2.0,3.0,10.0,2.0,5.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,4.0,1.0,5.0,5.0,3.0,4.0,4.0,0.0,1.0,1.0,2.0,3.0,4.0,1.0,3.0,3.0,3.0,9.0,99.0,99.0,99.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,47.0,19.0,6.0,6.0,9.0,2144.0
19,1.0,47.0,20.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0,2.0,7.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,1.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,98.0,98.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,47.0,20.0,6.0,8.0,9.0,2078.0
